kernel_name,layout,use_smem,M,N,run,time_ms,bw_gbps,checksum
Ar_Br_direct,Ar_Br,0,16384,16384,23,1.790080,3598.974,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,24,1.793440,3592.231,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,25,1.791136,3596.852,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,26,1.790496,3598.138,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,27,1.795360,3588.390,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,28,1.791616,3595.888,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,29,1.792096,3594.925,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,30,1.791008,3597.109,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,31,1.790720,3597.688,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,32,1.790688,3597.752,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,33,1.791968,3595.182,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,34,1.790496,3598.138,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,35,1.792288,3594.540,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,36,1.792896,3593.321,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,37,1.790848,3597.430,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,38,1.791968,3595.182,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,39,1.792768,3593.578,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,40,1.791552,3596.017,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,41,1.790464,3598.202,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,42,1.790592,3597.945,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,43,1.791552,3596.017,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,44,1.790176,3598.781,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,45,1.790016,3599.102,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,46,1.790048,3599.038,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,47,1.792320,3594.476,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,48,1.790528,3598.073,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,49,1.791488,3596.145,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,50,1.789600,3599.939,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,51,1.788800,3601.549,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,52,1.791904,3595.310,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,53,1.792384,3594.347,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,54,1.790912,3597.302,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,55,1.789856,3599.424,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,56,1.791616,3595.888,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,57,1.789088,3600.969,40260355806.111153
Ar_Br_direct,Ar_Br,0,16384,16384,58,1.790304,3598.524,40260355806.111153
