Running on nid002922
Threads: 96
Loading data...

=== GPU SWEEP: variant x tblock x coarsen x unroll ===
variant                            tblock   cf  median_ms ok
------------------------------------------------------------
gpu_baseline_aos                       32    1     0.6924 PASS
gpu_baseline_aos_u                     32    1     0.6902 PASS
gpu_eigts_t_aos                        32    1     0.6814 PASS
gpu_eigts_t_aos_u                      32    1     0.6818 PASS
gpu_shared_bec_aos                     32    1     0.6966 PASS
gpu_shared_bec_aos_u                   32    1     0.6960 PASS
gpu_optimized_aos                      32    1     2.8780 PASS
gpu_optimized_aos_u                    32    1     2.8797 PASS
gpu_baseline_soa                       32    1     0.7580 PASS
gpu_baseline_soa_u                     32    1     0.7557 PASS
gpu_eigts_t_soa                        32    1     0.7452 PASS
gpu_eigts_t_soa_u                      32    1     0.7447 PASS
gpu_shared_bec_soa                     32    1     0.7420 PASS
gpu_shared_bec_soa_u                   32    1     0.7422 PASS
gpu_optimized_soa                      32    1     6.7205 PASS
gpu_optimized_soa_u                    32    1     6.6990 PASS
gpu_baseline_aos                       32    2     1.2235 PASS
gpu_baseline_aos_u                     32    2     1.2238 PASS
gpu_eigts_t_aos                        32    2     1.2178 PASS
gpu_eigts_t_aos_u                      32    2     1.2176 PASS
gpu_shared_bec_aos                     32    2     1.2522 PASS
gpu_shared_bec_aos_u                   32    2     1.2512 PASS
gpu_optimized_aos                      32    2     2.3512 PASS
gpu_optimized_aos_u                    32    2     2.3459 PASS
gpu_baseline_soa                       32    2     1.3198 PASS
gpu_baseline_soa_u                     32    2     1.3193 PASS
gpu_eigts_t_soa                        32    2     1.2995 PASS
gpu_eigts_t_soa_u                      32    2     1.2984 PASS
gpu_shared_bec_soa                     32    2     1.2907 PASS
gpu_shared_bec_soa_u                   32    2     1.2899 PASS
gpu_optimized_soa                      32    2     5.4601 PASS
gpu_optimized_soa_u                    32    2     5.4981 PASS
gpu_baseline_aos                       32    4     2.3865 PASS
gpu_baseline_aos_u                     32    4     2.3780 PASS
gpu_eigts_t_aos                        32    4     2.3980 PASS
gpu_eigts_t_aos_u                      32    4     2.3703 PASS
gpu_shared_bec_aos                     32    4     2.4367 PASS
gpu_shared_bec_aos_u                   32    4     2.4363 PASS
gpu_optimized_aos                      32    4     3.4533 PASS
gpu_optimized_aos_u                    32    4     3.4504 PASS
gpu_baseline_soa                       32    4     2.5084 PASS
gpu_baseline_soa_u                     32    4     2.4780 PASS
gpu_eigts_t_soa                        32    4     2.4644 PASS
gpu_eigts_t_soa_u                      32    4     2.4717 PASS
gpu_shared_bec_soa                     32    4     2.4295 PASS
gpu_shared_bec_soa_u                   32    4     2.4295 PASS
gpu_optimized_soa                      32    4     6.2668 PASS
gpu_optimized_soa_u                    32    4     6.2684 PASS
gpu_baseline_aos                       32    8     4.8978 PASS
gpu_baseline_aos_u                     32    8     4.8807 PASS
gpu_eigts_t_aos                        32    8     4.9238 PASS
gpu_eigts_t_aos_u                      32    8     4.8693 PASS
gpu_shared_bec_aos                     32    8     5.0005 PASS
gpu_shared_bec_aos_u                   32    8     5.0005 PASS
gpu_optimized_aos                      32    8     3.5337 PASS
gpu_optimized_aos_u                    32    8     3.5540 PASS
gpu_baseline_soa                       32    8     4.9708 PASS
gpu_baseline_soa_u                     32    8     4.9188 PASS
gpu_eigts_t_soa                        32    8     4.8929 PASS
gpu_eigts_t_soa_u                      32    8     4.9105 PASS
gpu_shared_bec_soa                     32    8     4.9099 PASS
gpu_shared_bec_soa_u                   32    8     4.8640 PASS
gpu_optimized_soa                      32    8     8.7789 PASS
gpu_optimized_soa_u                    32    8     8.8057 PASS
gpu_baseline_aos                       32   16     9.0989 PASS
gpu_baseline_aos_u                     32   16     9.0672 PASS
gpu_eigts_t_aos                        32   16     9.1516 PASS
gpu_eigts_t_aos_u                      32   16     9.0417 PASS
gpu_shared_bec_aos                     32   16     9.5345 PASS
gpu_shared_bec_aos_u                   32   16     9.5369 PASS
gpu_optimized_aos                      32   16     6.5272 PASS
gpu_optimized_aos_u                    32   16     6.5676 PASS
gpu_baseline_soa                       32   16    10.6032 PASS
gpu_baseline_soa_u                     32   16    10.5075 PASS
gpu_eigts_t_soa                        32   16    10.4596 PASS
gpu_eigts_t_soa_u                      32   16    10.4941 PASS
gpu_shared_bec_soa                     32   16    10.4927 PASS
gpu_shared_bec_soa_u                   32   16    10.6227 PASS
gpu_optimized_soa                      32   16    17.2065 PASS
gpu_optimized_soa_u                    32   16    17.2762 PASS
gpu_baseline_aos                       64    1     0.6733 PASS
gpu_baseline_aos_u                     64    1     0.6721 PASS
gpu_eigts_t_aos                        64    1     0.6609 PASS
gpu_eigts_t_aos_u                      64    1     0.6610 PASS
gpu_shared_bec_aos                     64    1     0.6793 PASS
gpu_shared_bec_aos_u                   64    1     0.6788 PASS
gpu_optimized_aos                      64    1     2.7390 PASS
gpu_optimized_aos_u                    64    1     2.7416 PASS
gpu_baseline_soa                       64    1     0.7195 PASS
gpu_baseline_soa_u                     64    1     0.7179 PASS
gpu_eigts_t_soa                        64    1     0.7102 PASS
gpu_eigts_t_soa_u                      64    1     0.7100 PASS
gpu_shared_bec_soa                     64    1     0.6955 PASS
gpu_shared_bec_soa_u                   64    1     0.6950 PASS
gpu_optimized_soa                      64    1     5.7198 PASS
gpu_optimized_soa_u                    64    1     5.7221 PASS
gpu_baseline_aos                       64    2     1.2306 PASS
gpu_baseline_aos_u                     64    2     1.2309 PASS
gpu_eigts_t_aos                        64    2     1.2218 PASS
gpu_eigts_t_aos_u                      64    2     1.2215 PASS
gpu_shared_bec_aos                     64    2     1.2593 PASS
gpu_shared_bec_aos_u                   64    2     1.2592 PASS
gpu_optimized_aos                      64    2     2.6183 PASS
gpu_optimized_aos_u                    64    2     2.6185 PASS
gpu_baseline_soa                       64    2     1.3089 PASS
gpu_baseline_soa_u                     64    2     1.3075 PASS
gpu_eigts_t_soa                        64    2     1.2859 PASS
gpu_eigts_t_soa_u                      64    2     1.2856 PASS
gpu_shared_bec_soa                     64    2     1.2780 PASS
gpu_shared_bec_soa_u                   64    2     1.2785 PASS
gpu_optimized_soa                      64    2     5.4373 PASS
gpu_optimized_soa_u                    64    2     5.4314 PASS
gpu_baseline_aos                       64    4     2.4938 PASS
gpu_baseline_aos_u                     64    4     2.4848 PASS
gpu_eigts_t_aos                        64    4     2.5032 PASS
gpu_eigts_t_aos_u                      64    4     2.4767 PASS
gpu_shared_bec_aos                     64    4     2.5422 PASS
gpu_shared_bec_aos_u                   64    4     2.5420 PASS
gpu_optimized_aos                      64    4     4.6537 PASS
gpu_optimized_aos_u                    64    4     4.6556 PASS
gpu_baseline_soa                       64    4     2.5226 PASS
gpu_baseline_soa_u                     64    4     2.4943 PASS
gpu_eigts_t_soa                        64    4     2.4786 PASS
gpu_eigts_t_soa_u                      64    4     2.4830 PASS
gpu_shared_bec_soa                     64    4     2.4540 PASS
gpu_shared_bec_soa_u                   64    4     2.4541 PASS
gpu_optimized_soa                      64    4     7.8985 PASS
gpu_optimized_soa_u                    64    4     7.9115 PASS
gpu_baseline_aos                       64    8     5.3357 PASS
gpu_baseline_aos_u                     64    8     5.3194 PASS
gpu_eigts_t_aos                        64    8     5.3582 PASS
gpu_eigts_t_aos_u                      64    8     5.3064 PASS
gpu_shared_bec_aos                     64    8     5.4297 PASS
gpu_shared_bec_aos_u                   64    8     5.4309 PASS
gpu_optimized_aos                      64    8     7.6779 PASS
gpu_optimized_aos_u                    64    8     7.7025 PASS
gpu_baseline_soa                       64    8     5.3399 PASS
gpu_baseline_soa_u                     64    8     5.2885 PASS
gpu_eigts_t_soa                        64    8     5.2593 PASS
gpu_eigts_t_soa_u                      64    8     5.2767 PASS
gpu_shared_bec_soa                     64    8     5.2794 PASS
gpu_shared_bec_soa_u                   64    8     5.2333 PASS
gpu_optimized_soa                      64    8    12.9954 PASS
gpu_optimized_soa_u                    64    8    13.0216 PASS
gpu_baseline_aos                       64   16     9.8997 PASS
gpu_baseline_aos_u                     64   16     9.8721 PASS
gpu_eigts_t_aos                        64   16     9.9499 PASS
gpu_eigts_t_aos_u                      64   16     9.8411 PASS
gpu_shared_bec_aos                     64   16    10.3297 PASS
gpu_shared_bec_aos_u                   64   16    10.3377 PASS
gpu_optimized_aos                      64   16    14.6365 PASS
gpu_optimized_aos_u                    64   16    14.6746 PASS
gpu_baseline_soa                       64   16    11.7672 PASS
gpu_baseline_soa_u                     64   16    11.6709 PASS
gpu_eigts_t_soa                        64   16    11.6258 PASS
gpu_eigts_t_soa_u                      64   16    11.6620 PASS
gpu_shared_bec_soa                     64   16    11.6572 PASS
gpu_shared_bec_soa_u                   64   16    11.8061 PASS
