variant,blocksize,ngms,rhoc_size,nthreads,rep,time_ms
eigts_t_aos,1,55191,120000,96,24,7.588185
eigts_t_aos,1,55191,120000,96,25,7.618024
eigts_t_aos,1,55191,120000,96,26,7.499215
eigts_t_aos,1,55191,120000,96,27,8.006547
eigts_t_aos,1,55191,120000,96,28,7.654416
eigts_t_aos,1,55191,120000,96,29,7.480273
eigts_t_aos,1,55191,120000,96,30,8.170659
eigts_t_aos,1,55191,120000,96,31,7.596183
eigts_t_aos,1,55191,120000,96,32,7.721687
eigts_t_aos,1,55191,120000,96,33,7.736125
eigts_t_aos,1,55191,120000,96,34,7.783727
eigts_t_aos,1,55191,120000,96,35,7.791335
eigts_t_aos,1,55191,120000,96,36,7.721727
eigts_t_aos,1,55191,120000,96,37,7.785376
eigts_t_aos,1,55191,120000,96,38,7.950647
eigts_t_aos,1,55191,120000,96,39,7.584445
eigts_t_aos,1,55191,120000,96,40,7.161342
eigts_t_aos,1,55191,120000,96,41,7.758347
eigts_t_aos,1,55191,120000,96,42,7.911496
eigts_t_aos,1,55191,120000,96,43,7.931368
eigts_t_aos,1,55191,120000,96,44,21.961099
eigts_t_aos,1,55191,120000,96,45,7.583216
eigts_t_aos,1,55191,120000,96,46,7.213871
eigts_t_aos,1,55191,120000,96,47,7.395615
eigts_t_aos,1,55191,120000,96,48,7.450343
eigts_t_aos,1,55191,120000,96,49,7.459055
eigts_t_aos,1,55191,120000,96,50,7.482406
eigts_t_aos,1,55191,120000,96,51,8.501640
eigts_t_aos,1,55191,120000,96,52,8.474220
eigts_t_aos,1,55191,120000,96,53,8.375010
eigts_t_aos,1,55191,120000,96,54,8.314849
eigts_t_aos,1,55191,120000,96,55,7.501195
eigts_t_aos,1,55191,120000,96,56,8.199830
eigts_t_aos,1,55191,120000,96,57,8.113037
eigts_t_aos,1,55191,120000,96,58,7.999108
eigts_t_aos,1,55191,120000,96,59,7.916306
eigts_t_aos,1,55191,120000,96,60,8.176639
eigts_t_aos,1,55191,120000,96,61,8.184769
eigts_t_aos,1,55191,120000,96,62,8.204128
eigts_t_aos,1,55191,120000,96,63,8.134068
eigts_t_aos,1,55191,120000,96,64,7.938448
eigts_t_aos,1,55191,120000,96,65,6.850150
eigts_t_aos,1,55191,120000,96,66,7.037852
eigts_t_aos,1,55191,120000,96,67,8.090917
eigts_t_aos,1,55191,120000,96,68,8.100349
eigts_t_aos,1,55191,120000,96,69,7.686454
eigts_t_aos,1,55191,120000,96,70,7.872628
eigts_t_aos,1,55191,120000,96,71,7.844215
eigts_t_aos,1,55191,120000,96,72,7.801247
eigts_t_aos,1,55191,120000,96,73,8.005546
eigts_t_aos,1,55191,120000,96,74,8.160059
eigts_t_aos,1,55191,120000,96,75,8.009457
eigts_t_aos,1,55191,120000,96,76,8.021209
eigts_t_aos,1,55191,120000,96,77,7.750545
eigts_t_aos,1,55191,120000,96,78,7.078462
eigts_t_aos,1,55191,120000,96,79,7.709326
eigts_t_aos,1,55191,120000,96,80,8.015227
eigts_t_aos,1,55191,120000,96,81,8.059538
eigts_t_aos,1,55191,120000,96,82,8.231889
eigts_t_aos,1,55191,120000,96,83,7.818336
eigts_t_aos,1,55191,120000,96,84,7.725435
eigts_t_aos,1,55191,120000,96,85,7.697075
eigts_t_aos,1,55191,120000,96,86,8.046928
eigts_t_aos,1,55191,120000,96,87,7.848337
eigts_t_aos,1,55191,120000,96,88,8.263268
eigts_t_aos,1,55191,120000,96,89,8.022488
eigts_t_aos,1,55191,120000,96,90,8.656351
eigts_t_aos,1,55191,120000,96,91,8.241559
eigts_t_aos,1,55191,120000,96,92,7.883427
eigts_t_aos,1,55191,120000,96,93,7.890558
eigts_t_aos,1,55191,120000,96,94,7.899866
eigts_t_aos,1,55191,120000,96,95,6.929382
eigts_t_aos,1,55191,120000,96,96,7.838766
eigts_t_aos,1,55191,120000,96,97,7.864527
eigts_t_aos,1,55191,120000,96,98,8.134977
eigts_t_aos,1,55191,120000,96,99,8.131089
sorted_aos,1,55191,120000,96,0,11.918662
sorted_aos,1,55191,120000,96,1,11.856390
sorted_aos,1,55191,120000,96,2,11.826839
sorted_aos,1,55191,120000,96,3,11.819670
sorted_aos,1,55191,120000,96,4,11.883851
sorted_aos,1,55191,120000,96,5,11.835509
sorted_aos,1,55191,120000,96,6,11.808270
sorted_aos,1,55191,120000,96,7,11.838110
sorted_aos,1,55191,120000,96,8,11.811721
sorted_aos,1,55191,120000,96,9,11.790639
sorted_aos,1,55191,120000,96,10,11.827350
sorted_aos,1,55191,120000,96,11,11.817801
sorted_aos,1,55191,120000,96,12,11.815851
sorted_aos,1,55191,120000,96,13,11.780529
sorted_aos,1,55191,120000,96,14,11.756819
sorted_aos,1,55191,120000,96,15,11.794851
sorted_aos,1,55191,120000,96,16,11.792259
sorted_aos,1,55191,120000,96,17,11.785509
sorted_aos,1,55191,120000,96,18,11.812509
sorted_aos,1,55191,120000,96,19,12.479685
sorted_aos,1,55191,120000,96,20,11.817020
sorted_aos,1,55191,120000,96,21,11.813149
sorted_aos,1,55191,120000,96,22,11.838030
sorted_aos,1,55191,120000,96,23,11.835841
sorted_aos,1,55191,120000,96,24,11.842020
sorted_aos,1,55191,120000,96,25,12.058571
sorted_aos,1,55191,120000,96,26,12.354003
sorted_aos,1,55191,120000,96,27,11.832301
sorted_aos,1,55191,120000,96,28,11.867670
sorted_aos,1,55191,120000,96,29,11.832530
sorted_aos,1,55191,120000,96,30,11.855161
sorted_aos,1,55191,120000,96,31,11.839570
sorted_aos,1,55191,120000,96,32,11.838239
sorted_aos,1,55191,120000,96,33,11.850510
sorted_aos,1,55191,120000,96,34,11.831301
sorted_aos,1,55191,120000,96,35,11.829109
sorted_aos,1,55191,120000,96,36,11.785520
sorted_aos,1,55191,120000,96,37,11.806939
sorted_aos,1,55191,120000,96,38,11.837341
sorted_aos,1,55191,120000,96,39,11.813690
sorted_aos,1,55191,120000,96,40,11.799160
sorted_aos,1,55191,120000,96,41,11.776790
sorted_aos,1,55191,120000,96,42,11.790200
sorted_aos,1,55191,120000,96,43,11.792059
sorted_aos,1,55191,120000,96,44,11.781919
sorted_aos,1,55191,120000,96,45,11.790111
sorted_aos,1,55191,120000,96,46,11.798940
sorted_aos,1,55191,120000,96,47,11.857979
sorted_aos,1,55191,120000,96,48,11.764749
sorted_aos,1,55191,120000,96,49,11.775031
sorted_aos,1,55191,120000,96,50,11.772369
sorted_aos,1,55191,120000,96,51,11.785769
sorted_aos,1,55191,120000,96,52,11.806369
sorted_aos,1,55191,120000,96,53,11.773391
sorted_aos,1,55191,120000,96,54,11.780410
sorted_aos,1,55191,120000,96,55,11.795649
sorted_aos,1,55191,120000,96,56,11.779520
sorted_aos,1,55191,120000,96,57,11.770810
sorted_aos,1,55191,120000,96,58,11.746159
sorted_aos,1,55191,120000,96,59,11.791440
sorted_aos,1,55191,120000,96,60,11.782531
sorted_aos,1,55191,120000,96,61,11.805379
sorted_aos,1,55191,120000,96,62,11.817600
sorted_aos,1,55191,120000,96,63,11.857619
sorted_aos,1,55191,120000,96,64,11.835301
sorted_aos,1,55191,120000,96,65,12.544274
sorted_aos,1,55191,120000,96,66,11.811750
sorted_aos,1,55191,120000,96,67,13.623700
sorted_aos,1,55191,120000,96,68,11.827951
sorted_aos,1,55191,120000,96,69,11.795369
sorted_aos,1,55191,120000,96,70,11.786699
sorted_aos,1,55191,120000,96,71,11.790009
sorted_aos,1,55191,120000,96,72,11.803771
sorted_aos,1,55191,120000,96,73,11.796720
sorted_aos,1,55191,120000,96,74,11.810059
sorted_aos,1,55191,120000,96,75,11.779661
sorted_aos,1,55191,120000,96,76,11.795051
sorted_aos,1,55191,120000,96,77,11.812319
sorted_aos,1,55191,120000,96,78,11.790100
sorted_aos,1,55191,120000,96,79,11.819111
sorted_aos,1,55191,120000,96,80,11.782629
sorted_aos,1,55191,120000,96,81,11.796389
sorted_aos,1,55191,120000,96,82,11.792349
sorted_aos,1,55191,120000,96,83,11.802471
sorted_aos,1,55191,120000,96,84,11.816530
sorted_aos,1,55191,120000,96,85,11.794069
sorted_aos,1,55191,120000,96,86,11.855730
sorted_aos,1,55191,120000,96,87,11.781220
sorted_aos,1,55191,120000,96,88,11.849699
sorted_aos,1,55191,120000,96,89,11.793499
sorted_aos,1,55191,120000,96,90,11.893291
sorted_aos,1,55191,120000,96,91,11.821280
sorted_aos,1,55191,120000,96,92,11.808049
sorted_aos,1,55191,120000,96,93,11.820510
sorted_aos,1,55191,120000,96,94,11.897332
sorted_aos,1,55191,120000,96,95,12.182181
sorted_aos,1,55191,120000,96,96,13.074987
sorted_aos,1,55191,120000,96,97,12.981996
sorted_aos,1,55191,120000,96,98,12.969388
sorted_aos,1,55191,120000,96,99,12.970367
baseline_soa,1,55191,120000,96,0,6.774100
baseline_soa,1,55191,120000,96,1,8.482201
baseline_soa,1,55191,120000,96,2,8.347018
baseline_soa,1,55191,120000,96,3,8.326540
baseline_soa,1,55191,120000,96,4,8.457959
baseline_soa,1,55191,120000,96,5,8.512810
