target,block_bytes,vec_width,variant,schedule,loop_order,dist,T,mu,delta,sigma,beta,alpha,gamma,P_NUMA
GPU_warp32,128,32,V2,omp_for,klon_first,sequential,245760,80.851172,18.101432,1466.682870,1024,0.5200,2.7000,4
CPU_scalar,64,1,V2,omp_collapse2,klon_first,uniform,7864320,4.998914,1882.631818,8218.572652,1024,0.5200,2.7000,4
CPU_NEON,64,2,V2,omp_collapse2,klon_first,uniform,3932160,9.995630,940.827833,8603.179270,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V2,omp_collapse2,klon_first,uniform,983040,39.927930,154.458011,6166.575447,1024,0.5200,2.7000,4
GPU_scalar,128,1,V2,omp_collapse2,klon_first,uniform,7864320,4.497852,900.631880,3757.630853,1024,0.5200,2.7000,4
GPU_halfw,128,16,V2,omp_collapse2,klon_first,uniform,491520,71.408789,37.927633,2707.511898,1024,0.5200,2.7000,4
GPU_warp32,128,32,V2,omp_collapse2,klon_first,uniform,245760,141.650391,19.988081,2830.527514,1024,0.5200,2.7000,4
CPU_scalar,64,1,V2,omp_collapse2,klon_first,normal1,7864320,3.169592,1754.532854,4100.147857,1024,0.5200,2.7000,4
CPU_NEON,64,2,V2,omp_collapse2,klon_first,normal1,3932160,6.255908,847.799313,4298.364760,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V2,omp_collapse2,klon_first,normal1,983040,24.962012,123.780275,3090.197484,1024,0.5200,2.7000,4
GPU_scalar,128,1,V2,omp_collapse2,klon_first,normal1,7864320,2.584814,869.936943,1874.566602,1024,0.5200,2.7000,4
GPU_halfw,128,16,V2,omp_collapse2,klon_first,normal1,491520,40.713281,33.366954,1359.886278,1024,0.5200,2.7000,4
GPU_warp32,128,32,V2,omp_collapse2,klon_first,normal1,245760,80.873437,17.993612,1459.738663,1024,0.5200,2.7000,4
CPU_scalar,64,1,V2,omp_collapse2,klon_first,normal4,7864320,3.267627,1690.993482,4096.217543,1024,0.5200,2.7000,4
CPU_NEON,64,2,V2,omp_collapse2,klon_first,normal4,3932160,6.299121,836.240986,4279.448592,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V2,omp_collapse2,klon_first,normal4,983040,24.966016,123.343386,3079.894669,1024,0.5200,2.7000,4
GPU_scalar,128,1,V2,omp_collapse2,klon_first,normal4,7864320,2.632434,855.363117,1873.620613,1024,0.5200,2.7000,4
GPU_halfw,128,16,V2,omp_collapse2,klon_first,normal4,491520,40.714258,33.194085,1353.080568,1024,0.5200,2.7000,4
GPU_warp32,128,32,V2,omp_collapse2,klon_first,normal4,245760,80.856641,17.955397,1456.553004,1024,0.5200,2.7000,4
CPU_scalar,64,1,V2,omp_collapse2,klon_first,sequential,7864320,3.124744,1766.518188,4114.993072,1024,0.5200,2.7000,4
CPU_NEON,64,2,V2,omp_collapse2,klon_first,sequential,3932160,6.248779,839.479776,4288.903247,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V2,omp_collapse2,klon_first,sequential,983040,24.969531,124.047042,3098.556384,1024,0.5200,2.7000,4
GPU_scalar,128,1,V2,omp_collapse2,klon_first,sequential,7864320,2.561829,874.616948,1882.913550,1024,0.5200,2.7000,4
GPU_halfw,128,16,V2,omp_collapse2,klon_first,sequential,491520,40.715625,33.393274,1360.726577,1024,0.5200,2.7000,4
GPU_warp32,128,32,V2,omp_collapse2,klon_first,sequential,245760,80.851172,18.101432,1466.682870,1024,0.5200,2.7000,4
CPU_scalar,64,1,V3,omp_for,klev_first,uniform,7864320,0.881507,2822.814394,20804.392539,1024,0.5200,2.7000,4
CPU_NEON,64,2,V3,omp_for,klev_first,uniform,3932160,1.763015,5645.628788,41608.785078,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V3,omp_for,klev_first,uniform,983040,7.052059,22582.515152,166435.140311,1024,0.5200,2.7000,4
GPU_scalar,128,1,V3,omp_for,klev_first,uniform,7864320,0.440754,1448.939586,10402.121010,1024,0.5200,2.7000,4
GPU_halfw,128,16,V3,omp_for,klev_first,uniform,491520,7.052059,23183.033370,166433.936161,1024,0.5200,2.7000,4
GPU_warp32,128,32,V3,omp_for,klev_first,uniform,245760,14.104118,46796.020203,665728.712181,1024,0.5200,2.7000,4
CPU_scalar,64,1,V3,omp_for,klev_first,normal1,7864320,0.867846,1433.716716,10380.355750,1024,0.5200,2.7000,4
CPU_NEON,64,2,V3,omp_for,klev_first,normal1,3932160,1.735692,2867.433432,20760.711500,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V3,omp_for,klev_first,normal1,983040,6.942769,11469.733728,83042.845998,1024,0.5200,2.7000,4
GPU_scalar,128,1,V3,omp_for,klev_first,normal1,7864320,0.433923,735.891290,5190.138973,1024,0.5200,2.7000,4
GPU_halfw,128,16,V3,omp_for,klev_first,normal1,491520,6.942769,11774.260641,83042.223574,1024,0.5200,2.7000,4
GPU_warp32,128,32,V3,omp_for,klev_first,normal1,245760,13.885539,23767.079608,332163.086532,1024,0.5200,2.7000,4
CPU_scalar,64,1,V3,omp_for,klev_first,normal4,7864320,0.867694,1433.315633,10369.758169,1024,0.5200,2.7000,4
CPU_NEON,64,2,V3,omp_for,klev_first,normal4,3932160,1.735387,2866.631266,20739.516338,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V3,omp_for,klev_first,normal4,983040,6.941549,11466.525063,82958.065353,1024,0.5200,2.7000,4
GPU_scalar,128,1,V3,omp_for,klev_first,normal4,7864320,0.433847,735.542262,5184.839976,1024,0.5200,2.7000,4
GPU_halfw,128,16,V3,omp_for,klev_first,normal4,491520,6.941549,11768.676189,82957.439611,1024,0.5200,2.7000,4
GPU_warp32,128,32,V3,omp_for,klev_first,normal4,245760,13.883097,23754.345013,331823.891694,1024,0.5200,2.7000,4
CPU_scalar,64,1,V3,omp_for,klev_first,sequential,7864320,0.756510,1643.116020,10424.780801,1024,0.5200,2.7000,4
CPU_NEON,64,2,V3,omp_for,klev_first,sequential,3932160,1.513021,3286.232039,20849.561603,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V3,omp_for,klev_first,sequential,983040,6.052083,13144.928157,83398.246412,1024,0.5200,2.7000,4
GPU_scalar,128,1,V3,omp_for,klev_first,sequential,7864320,0.378255,845.030121,5212.353799,1024,0.5200,2.7000,4
GPU_halfw,128,16,V3,omp_for,klev_first,sequential,491520,6.052083,13520.481938,83397.660779,1024,0.5200,2.7000,4
GPU_warp32,128,32,V3,omp_for,klev_first,sequential,245760,12.104167,27304.027621,333585.807049,1024,0.5200,2.7000,4
CPU_scalar,64,1,V3,omp_collapse2,klon_first,uniform,7864320,7.624927,111198.405273,819511.323716,1024,0.5200,2.7000,4
CPU_NEON,64,2,V3,omp_collapse2,klon_first,uniform,3932160,15.249585,61490.373087,919774.136320,1024,0.5200,2.7000,4
CPU_AVX512,64,8,V3,omp_collapse2,klon_first,uniform,983040,60.992969,16086.628490,980259.101324,1024,0.5200,2.7000,4
GPU_scalar,128,1,V3,omp_collapse2,klon_first,uniform,7864320,7.312427,57074.949765,409749.685158,1024,0.5200,2.7000,4
GPU_halfw,128,16,V3,omp_collapse2,klon_first,uniform,491520,116.969727,4242.270191,496150.905301,1024,0.5200,2.7000,4
GPU_warp32,128,32,V3,omp_collapse2,klon_first,uniform,245760,233.891797,2170.855589,507753.283022,1024,0.5200,2.7000,4
CPU_scalar,64,1,V3,omp_collapse2,klon_first,normal1,7864320,6.923683,62079.890628,408869.170054,1024,0.5200,2.7000,4
