nlev,variant,cell_dist,loop_order,target,block_bytes,vector_width,mu,delta,sigma
90,3,normal_var1,klon_first,cpu_scalar,64,1,6.919568,44572.040558,175845.078460
90,3,normal_var1,klon_first,cpu_avx512,64,8,52.231960,8376.975749,174784.635921
90,3,normal_var1,klon_first,gpu_scalar,128,1,6.607068,22921.815954,175845.078460
90,3,normal_var1,klon_first,gpu_warp32,128,32,198.894974,1231.318584,176072.616528
90,3,normal_var1,klon_first,gpu_wave64,128,64,397.725104,748.195510,178834.752050
90,3,normal_var1,klev_first,cpu_scalar,64,1,0.895585,851.968347,1953.784405
90,3,normal_var1,klev_first,cpu_avx512,64,8,6.716884,4405.038415,14653.372740
90,3,normal_var1,klev_first,gpu_scalar,128,1,0.465741,477.109467,1953.784405
90,3,normal_var1,klev_first,gpu_warp32,128,32,13.972221,8367.699652,58612.502739
90,3,normal_var1,klev_first,gpu_wave64,128,64,20.588116,11894.310283,87918.754108
90,4,normal_var1,klon_first,cpu_scalar,64,1,6.919568,44460.613201,175845.220522
90,4,normal_var1,klon_first,cpu_avx512,64,8,52.231960,8365.624542,174785.772318
90,4,normal_var1,klon_first,gpu_scalar,128,1,6.607068,22895.435115,175845.220522
90,4,normal_var1,klon_first,gpu_warp32,128,32,198.894974,1231.328640,176077.160784
90,4,normal_var1,klon_first,gpu_wave64,128,64,397.725104,748.215625,178843.837010
90,4,normal_var1,klev_first,cpu_scalar,64,1,0.895585,850.788881,1953.785198
90,4,normal_var1,klev_first,cpu_avx512,64,8,6.716884,4397.434136,14653.378693
90,4,normal_var1,klev_first,gpu_scalar,128,1,0.465741,476.824088,1953.785198
90,4,normal_var1,klev_first,gpu_warp32,128,32,13.972221,8364.177239,58612.526548
90,4,normal_var1,klev_first,gpu_wave64,128,64,20.588116,11892.247156,87918.789822
90,1,normal_var4,klon_first,cpu_scalar,64,1,3.269238,1764.827702,1954.290627
90,1,normal_var4,klon_first,cpu_avx512,64,8,24.967676,205.213219,1944.578924
90,1,normal_var4,klon_first,gpu_scalar,128,1,2.632947,975.389911,1954.290627
90,1,normal_var4,klon_first,gpu_warp32,128,32,80.859766,32.627036,1965.449433
90,1,normal_var4,klon_first,gpu_wave64,128,64,159.482812,17.951405,2005.736465
90,1,normal_var4,klev_first,cpu_scalar,64,1,6.355077,11199.358370,40504.642761
90,1,normal_var4,klev_first,cpu_avx512,64,8,47.663076,53277.369199,300371.508204
90,1,normal_var4,klev_first,gpu_scalar,128,1,6.178472,5634.821772,40504.642761
90,1,normal_var4,klev_first,gpu_warp32,128,32,185.354167,83960.097572,873808.032815
90,1,normal_var4,klev_first,gpu_wave64,128,64,278.031250,66604.987260,1310712.049223
90,2,normal_var4,klon_first,cpu_scalar,64,1,3.269238,1762.819826,1954.432689
90,2,normal_var4,klon_first,cpu_avx512,64,8,24.967676,203.970213,1945.715321
90,2,normal_var4,klon_first,gpu_scalar,128,1,2.632947,974.902213,1954.432689
90,2,normal_var4,klon_first,gpu_warp32,128,32,80.859766,32.651775,1969.993689
90,2,normal_var4,klon_first,gpu_wave64,128,64,159.482812,18.001576,2014.821426
90,2,normal_var4,klev_first,cpu_scalar,64,1,6.355077,11195.721280,40504.643554
90,2,normal_var4,klev_first,cpu_avx512,64,8,47.663076,53275.343488,300371.514156
90,2,normal_var4,klev_first,gpu_scalar,128,1,6.178472,5633.909875,40504.643554
90,2,normal_var4,klev_first,gpu_warp32,128,32,185.354167,83959.888214,873808.056624
90,2,normal_var4,klev_first,gpu_wave64,128,64,278.031250,66604.910738,1310712.084937
90,3,normal_var4,klon_first,cpu_scalar,64,1,7.101001,43345.831540,175851.549729
90,3,normal_var4,klon_first,cpu_avx512,64,8,52.071315,8405.430057,174784.666659
90,3,normal_var4,klon_first,gpu_scalar,128,1,6.788501,22276.773179,175851.549729
90,3,normal_var4,klon_first,gpu_warp32,128,32,198.243025,1235.498108,176072.626516
90,3,normal_var4,klon_first,gpu_wave64,128,64,396.421207,750.047226,178834.746888
90,3,normal_var4,klev_first,cpu_scalar,64,1,0.897231,809.412525,1953.900774
90,3,normal_var4,klev_first,cpu_avx512,64,8,6.729231,4331.501423,14654.244742
90,3,normal_var4,klev_first,gpu_scalar,128,1,0.467801,447.205161,1953.900774
90,3,normal_var4,klev_first,gpu_warp32,128,32,14.034037,8277.129172,58615.916715
90,3,normal_var4,klev_first,gpu_wave64,128,64,20.775250,11765.364790,87923.875072
90,4,normal_var4,klon_first,cpu_scalar,64,1,7.101001,43242.038088,175851.691791
90,4,normal_var4,klon_first,cpu_avx512,64,8,52.071315,8393.542296,174785.803056
90,4,normal_var4,klon_first,gpu_scalar,128,1,6.788501,22250.998525,175851.691791
90,4,normal_var4,klon_first,gpu_warp32,128,32,198.243025,1235.508198,176077.170772
90,4,normal_var4,klon_first,gpu_wave64,128,64,396.421207,750.067407,178843.831849
90,4,normal_var4,klev_first,cpu_scalar,64,1,0.897231,808.288877,1953.901568
90,4,normal_var4,klev_first,cpu_avx512,64,8,6.729231,4324.199263,14654.250694
90,4,normal_var4,klev_first,gpu_scalar,128,1,0.467801,446.930707,1953.901568
90,4,normal_var4,klev_first,gpu_warp32,128,32,14.034037,8273.657550,58615.940524
90,4,normal_var4,klev_first,gpu_wave64,128,64,20.775250,11763.234484,87923.910786
90,1,sequential,klon_first,cpu_scalar,64,1,3.124524,1835.138896,1954.119358
90,1,sequential,klon_first,cpu_avx512,64,8,24.967578,205.124205,1944.010426
90,1,sequential,klon_first,gpu_scalar,128,1,2.561511,992.833005,1954.119358
90,1,sequential,klon_first,gpu_warp32,128,32,80.859375,32.610859,1963.177310
90,1,sequential,klon_first,gpu_wave64,128,64,159.482031,17.936259,2001.194228
90,1,sequential,klev_first,cpu_scalar,64,1,6.006859,11243.175451,40504.642761
90,1,sequential,klev_first,cpu_avx512,64,8,45.051442,53774.615559,300371.508204
90,1,sequential,klev_first,gpu_scalar,128,1,6.003314,5645.883270,40504.642761
90,1,sequential,klev_first,gpu_warp32,128,32,180.099406,84086.380832,873808.032815
90,1,sequential,klev_first,gpu_wave64,128,64,270.149109,66767.896361,1310712.049223
90,2,sequential,klon_first,cpu_scalar,64,1,3.124524,1832.926140,1954.261420
90,2,sequential,klon_first,cpu_avx512,64,8,24.967578,203.889186,1945.146823
90,2,sequential,klon_first,gpu_scalar,128,1,2.561511,992.296939,1954.261420
