backend,variant,nlev,nproma,cell_dist,parallelization,run_id,time_ms
cpu,1,90,81920,uniform,omp_for,98,0.853625000
cpu,1,90,81920,uniform,omp_for,99,0.821025000
cpu,1,90,81920,uniform,omp_collapse2,0,1.005576000
cpu,1,90,81920,uniform,omp_collapse2,1,0.825635000
cpu,1,90,81920,uniform,omp_collapse2,2,0.668704000
cpu,1,90,81920,uniform,omp_collapse2,3,0.638973000
cpu,1,90,81920,uniform,omp_collapse2,4,0.680395000
cpu,1,90,81920,uniform,omp_collapse2,5,0.631364000
cpu,1,90,81920,uniform,omp_collapse2,6,0.614343000
cpu,1,90,81920,uniform,omp_collapse2,7,0.639934000
cpu,1,90,81920,uniform,omp_collapse2,8,0.611024000
cpu,1,90,81920,uniform,omp_collapse2,9,0.612444000
cpu,1,90,81920,uniform,omp_collapse2,10,0.607394000
cpu,1,90,81920,uniform,omp_collapse2,11,0.678554000
cpu,1,90,81920,uniform,omp_collapse2,12,0.604373000
cpu,1,90,81920,uniform,omp_collapse2,13,0.602904000
cpu,1,90,81920,uniform,omp_collapse2,14,0.584134000
cpu,1,90,81920,uniform,omp_collapse2,15,0.619273000
cpu,1,90,81920,uniform,omp_collapse2,16,0.600514000
cpu,1,90,81920,uniform,omp_collapse2,17,0.584183000
cpu,1,90,81920,uniform,omp_collapse2,18,0.582393000
cpu,1,90,81920,uniform,omp_collapse2,19,0.670784000
cpu,1,90,81920,uniform,omp_collapse2,20,0.606653000
cpu,1,90,81920,uniform,omp_collapse2,21,0.608193000
cpu,1,90,81920,uniform,omp_collapse2,22,0.635073000
cpu,1,90,81920,uniform,omp_collapse2,23,0.597193000
cpu,1,90,81920,uniform,omp_collapse2,24,0.593064000
cpu,1,90,81920,uniform,omp_collapse2,25,0.602714000
cpu,1,90,81920,uniform,omp_collapse2,26,0.644164000
cpu,1,90,81920,uniform,omp_collapse2,27,0.616934000
cpu,1,90,81920,uniform,omp_collapse2,28,0.594464000
cpu,1,90,81920,uniform,omp_collapse2,29,0.593623000
cpu,1,90,81920,uniform,omp_collapse2,30,0.630333000
cpu,1,90,81920,uniform,omp_collapse2,31,0.605123000
cpu,1,90,81920,uniform,omp_collapse2,32,0.585373000
cpu,1,90,81920,uniform,omp_collapse2,33,0.590954000
cpu,1,90,81920,uniform,omp_collapse2,34,0.626754000
cpu,1,90,81920,uniform,omp_collapse2,35,0.604003000
cpu,1,90,81920,uniform,omp_collapse2,36,0.595104000
cpu,1,90,81920,uniform,omp_collapse2,37,0.605824000
cpu,1,90,81920,uniform,omp_collapse2,38,0.626083000
cpu,1,90,81920,uniform,omp_collapse2,39,0.589924000
cpu,1,90,81920,uniform,omp_collapse2,40,0.582514000
cpu,1,90,81920,uniform,omp_collapse2,41,0.635764000
cpu,1,90,81920,uniform,omp_collapse2,42,0.627453000
cpu,1,90,81920,uniform,omp_collapse2,43,0.616663000
cpu,1,90,81920,uniform,omp_collapse2,44,0.637614000
cpu,1,90,81920,uniform,omp_collapse2,45,0.628574000
cpu,1,90,81920,uniform,omp_collapse2,46,0.593723000
cpu,1,90,81920,uniform,omp_collapse2,47,0.575203000
cpu,1,90,81920,uniform,omp_collapse2,48,0.593514000
cpu,1,90,81920,uniform,omp_collapse2,49,0.642874000
cpu,1,90,81920,uniform,omp_collapse2,50,0.604993000
cpu,1,90,81920,uniform,omp_collapse2,51,0.582393000
cpu,1,90,81920,uniform,omp_collapse2,52,0.578344000
cpu,1,90,81920,uniform,omp_collapse2,53,0.637074000
cpu,1,90,81920,uniform,omp_collapse2,54,0.591613000
cpu,1,90,81920,uniform,omp_collapse2,55,0.586043000
cpu,1,90,81920,uniform,omp_collapse2,56,0.586283000
cpu,1,90,81920,uniform,omp_collapse2,57,0.627244000
cpu,1,90,81920,uniform,omp_collapse2,58,0.613734000
cpu,1,90,81920,uniform,omp_collapse2,59,0.605414000
cpu,1,90,81920,uniform,omp_collapse2,60,0.596504000
cpu,1,90,81920,uniform,omp_collapse2,61,0.610423000
cpu,1,90,81920,uniform,omp_collapse2,62,0.589584000
cpu,1,90,81920,uniform,omp_collapse2,63,0.664944000
cpu,1,90,81920,uniform,omp_collapse2,64,0.674214000
cpu,1,90,81920,uniform,omp_collapse2,65,0.675294000
cpu,1,90,81920,uniform,omp_collapse2,66,0.645244000
cpu,1,90,81920,uniform,omp_collapse2,67,0.623883000
cpu,1,90,81920,uniform,omp_collapse2,68,0.683434000
cpu,1,90,81920,uniform,omp_collapse2,69,0.874525000
cpu,1,90,81920,uniform,omp_collapse2,70,0.817635000
cpu,1,90,81920,uniform,omp_collapse2,71,0.980915000
cpu,1,90,81920,uniform,omp_collapse2,72,0.800514000
cpu,1,90,81920,uniform,omp_collapse2,73,0.786854000
cpu,1,90,81920,uniform,omp_collapse2,74,0.714505000
