backend,variant,nlev,nproma,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,72,0.355122
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,73,0.365382
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,74,0.360962
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,75,0.356722
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,76,0.351602
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,77,0.360922
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,78,0.361402
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,79,0.364892
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,80,0.360522
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,81,0.350762
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,82,0.360842
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,83,0.372402
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,84,0.355802
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,85,0.357522
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,86,0.350962
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,87,0.365962
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,88,0.349362
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,89,0.372282
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,90,0.379162
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,91,0.350202
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,92,0.361442
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,93,0.359362
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,94,0.363122
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,95,0.358932
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,96,0.377442
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,97,0.354962
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,98,0.358882
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,99,0.350722
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,0,0.385072
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,1,0.372402
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,2,0.358802
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,3,0.355562
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,4,0.357722
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,5,0.361212
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,6,0.372042
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,7,0.340682
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,8,0.375722
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,9,0.365002
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,10,0.366522
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,11,0.359802
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,12,0.366362
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,13,0.375882
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,14,0.365322
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,15,0.363402
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,16,0.353802
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,17,0.367582
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,18,0.358722
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,19,0.353962
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,20,0.367722
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,21,0.355242
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,22,0.364422
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,23,0.373922
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,24,0.365522
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,25,0.356322
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,26,0.365122
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,27,0.358002
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,28,0.370242
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,29,0.366682
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,30,0.347082
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,31,0.372482
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,32,0.357042
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,33,0.350842
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,34,0.359922
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,35,0.374322
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,36,0.353602
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,37,0.365442
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,38,0.373642
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,39,0.370762
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,40,0.357122
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,41,0.382512
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,42,0.351442
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,43,0.362442
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,44,0.364322
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,45,0.360042
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,46,0.352372
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,47,0.347962
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,48,0.363602
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,49,0.361482
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,50,0.362242
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,51,0.368282
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,52,0.356402
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,53,0.367922
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,54,0.365242
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,55,0.360292
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,56,0.361642
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,57,0.361912
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,58,0.358802
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,59,0.368482
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,60,0.356122
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,61,0.350322
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,62,0.359442
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,63,0.361982
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,64,0.365082
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,65,0.356922
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,66,0.364542
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,67,0.347642
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,68,0.358162
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,69,0.366882
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,70,0.365092
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,71,0.370042
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,72,0.386322
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,73,0.359322
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,74,0.363402
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,75,0.364842
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,76,0.367322
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,77,0.354042
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,78,0.357842
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,79,0.352522
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,80,0.356922
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,81,0.372842
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,82,0.352772
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,83,0.363702
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,84,0.355482
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,85,0.354942
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,86,0.352522
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,87,0.358642
gpu,1,90,81920,uniform,1x1_128x1,1,1,128,1,88,0.366842
