backend,variant,nlev,nproma,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,0,0.250368
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,1,0.247872
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,2,0.247520
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,3,0.247840
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,4,0.247968
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,5,0.248384
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,6,0.247936
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,7,0.248160
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,8,0.248576
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,9,0.248896
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,10,0.248256
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,11,0.248000
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,12,0.247424
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,13,0.247904
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,14,0.248512
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,15,0.247648
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,16,0.247968
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,17,0.248448
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,18,0.247936
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,19,0.247072
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,20,0.248800
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,21,0.247744
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,22,0.248800
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,23,0.247808
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,24,0.248224
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,25,0.247264
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,26,0.248192
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,27,0.247520
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,28,0.248256
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,29,0.248448
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,30,0.247936
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,31,0.248064
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,32,0.248768
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,33,0.247040
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,34,0.247392
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,35,0.247712
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,36,0.247904
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,37,0.247264
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,38,0.248064
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,39,0.247424
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,40,0.248608
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,41,0.248320
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,42,0.248640
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,43,0.247584
gpu,1,96,81920,uniform,1x1_256x1,1,1,256,1,44,0.248128
