target,block_bytes,vec_width,variant,schedule,loop_order,dist,T,mu,delta,sigma,delta_max,mu_delta_max,beta,alpha,gamma,P_NUMA
GPU_halfw,128,16,V4,omp_collapse2,klon_first,normal1,491520,99.462142,2531.115947,293942.402741,28160.996875,2800881.266406,64,0.1600,2.0000,4
GPU_scalar,128,1,V4,omp_collapse2,klon_first,normal1,7864320,6.611183,31878.238974,238501.856493,144426.448660,954736.495758,64,0.1600,2.0000,4
CPU_NEON,64,2,V4,omp_collapse2,klon_first,normal4,3932160,13.502203,34811.841725,457632.555182,217157.482250,2930575.457794,64,0.1600,2.0000,4
CPU_AVX512,64,8,V4,omp_collapse2,klon_first,normal4,983040,52.070532,9420.810485,490205.963212,92889.802730,4835872.684937,64,0.1600,2.0000,4
GPU_warp32,128,32,V4,omp_collapse2,klon_first,normal1,245760,198.907878,1383.671981,320933.655528,16726.689844,3326668.502344,64,0.1600,2.0000,4
CPU_scalar,64,1,V4,omp_collapse2,klon_first,normal4,7864320,7.096277,60243.090303,408583.364463,288850.873931,2047904.753387,64,0.1600,2.0000,4
GPU_scalar,128,1,V4,omp_collapse2,klon_first,normal4,7864320,6.783777,30989.904267,238348.575271,144425.436966,979434.909412,64,0.1600,2.0000,4
GPU_halfw,128,16,V4,omp_collapse2,klon_first,normal4,491520,99.133040,2526.421612,292442.380044,28290.404687,2804399.785938,64,0.1600,2.0000,4
CPU_AVX512,64,8,V4,omp_collapse2,klon_first,sequential,983040,52.998340,9282.525667,491971.035678,92772.405465,4916806.945097,64,0.1600,2.0000,4
CPU_scalar,64,1,V4,omp_collapse2,klon_first,sequential,7864320,6.624976,64480.658316,410142.890163,290060.546148,1920873.886634,64,0.1600,2.0000,4
CPU_NEON,64,2,V4,omp_collapse2,klon_first,sequential,3932160,13.249951,35362.884170,458187.587107,217576.037621,2883583.906257,64,0.1600,2.0000,4
GPU_warp32,128,32,V4,omp_collapse2,klon_first,normal4,245760,198.246159,1380.811080,319564.875537,16759.612500,3322362.454687,64,0.1600,2.0000,4
GPU_halfw,128,16,V4,omp_collapse2,klon_first,sequential,491520,100.990820,2489.461935,293633.392979,27934.629297,2821146.297266,64,0.1600,2.0000,4
GPU_scalar,128,1,V4,omp_collapse2,klon_first,sequential,7864320,6.312476,33205.894399,239256.303976,145030.273074,915452.346518,64,0.1600,2.0000,4
GPU_warp32,128,32,V4,omp_collapse2,klon_first,sequential,245760,201.962565,1366.494775,321939.370683,16919.097656,3416702.889844,64,0.1600,2.0000,4
