backend,variant,nlev,nproma,cell_dist,parallelization,run_id,time_ms
cpu,1,90,81920,uniform,omp_for,98,0.969857000
cpu,1,90,81920,uniform,omp_for,99,0.949923000
cpu,1,90,81920,uniform,omp_collapse2,0,0.520592000
cpu,1,90,81920,uniform,omp_collapse2,1,0.513935000
cpu,1,90,81920,uniform,omp_collapse2,2,0.501233000
cpu,1,90,81920,uniform,omp_collapse2,3,0.488593000
cpu,1,90,81920,uniform,omp_collapse2,4,0.490577000
cpu,1,90,81920,uniform,omp_collapse2,5,0.485521000
cpu,1,90,81920,uniform,omp_collapse2,6,0.492400000
cpu,1,90,81920,uniform,omp_collapse2,7,0.474481000
cpu,1,90,81920,uniform,omp_collapse2,8,0.466929000
cpu,1,90,81920,uniform,omp_collapse2,9,0.464594000
cpu,1,90,81920,uniform,omp_collapse2,10,0.474833000
cpu,1,90,81920,uniform,omp_collapse2,11,0.462130000
cpu,1,90,81920,uniform,omp_collapse2,12,0.450706000
cpu,1,90,81920,uniform,omp_collapse2,13,0.457681000
cpu,1,90,81920,uniform,omp_collapse2,14,0.452082000
cpu,1,90,81920,uniform,omp_collapse2,15,0.439730000
cpu,1,90,81920,uniform,omp_collapse2,16,0.526640000
cpu,1,90,81920,uniform,omp_collapse2,17,0.450546000
cpu,1,90,81920,uniform,omp_collapse2,18,0.461554000
cpu,1,90,81920,uniform,omp_collapse2,19,0.448594000
cpu,1,90,81920,uniform,omp_collapse2,20,0.449106000
cpu,1,90,81920,uniform,omp_collapse2,21,0.438450000
cpu,1,90,81920,uniform,omp_collapse2,22,0.445458000
cpu,1,90,81920,uniform,omp_collapse2,23,0.446130000
cpu,1,90,81920,uniform,omp_collapse2,24,5.415831000
cpu,1,90,81920,uniform,omp_collapse2,25,0.498928000
cpu,1,90,81920,uniform,omp_collapse2,26,0.461329000
cpu,1,90,81920,uniform,omp_collapse2,27,0.438194000
cpu,1,90,81920,uniform,omp_collapse2,28,0.444498000
cpu,1,90,81920,uniform,omp_collapse2,29,0.463314000
cpu,1,90,81920,uniform,omp_collapse2,30,0.437491000
cpu,1,90,81920,uniform,omp_collapse2,31,0.434675000
cpu,1,90,81920,uniform,omp_collapse2,32,0.445106000
cpu,1,90,81920,uniform,omp_collapse2,33,0.501264000
cpu,1,90,81920,uniform,omp_collapse2,34,0.451058000
cpu,1,90,81920,uniform,omp_collapse2,35,0.434930000
cpu,1,90,81920,uniform,omp_collapse2,36,0.444947000
cpu,1,90,81920,uniform,omp_collapse2,37,0.432691000
cpu,1,90,81920,uniform,omp_collapse2,38,0.433651000
cpu,1,90,81920,uniform,omp_collapse2,39,0.451826000
cpu,1,90,81920,uniform,omp_collapse2,40,0.424178000
cpu,1,90,81920,uniform,omp_collapse2,41,0.443346000
cpu,1,90,81920,uniform,omp_collapse2,42,0.430611000
cpu,1,90,81920,uniform,omp_collapse2,43,0.441906000
cpu,1,90,81920,uniform,omp_collapse2,44,0.440658000
cpu,1,90,81920,uniform,omp_collapse2,45,0.435027000
cpu,1,90,81920,uniform,omp_collapse2,46,0.428467000
cpu,1,90,81920,uniform,omp_collapse2,47,0.448626000
cpu,1,90,81920,uniform,omp_collapse2,48,0.439218000
cpu,1,90,81920,uniform,omp_collapse2,49,0.441522000
cpu,1,90,81920,uniform,omp_collapse2,50,0.442386000
cpu,1,90,81920,uniform,omp_collapse2,51,0.445138000
cpu,1,90,81920,uniform,omp_collapse2,52,0.438578000
cpu,1,90,81920,uniform,omp_collapse2,53,0.434003000
cpu,1,90,81920,uniform,omp_collapse2,54,0.422515000
cpu,1,90,81920,uniform,omp_collapse2,55,0.430194000
cpu,1,90,81920,uniform,omp_collapse2,56,0.447954000
cpu,1,90,81920,uniform,omp_collapse2,57,0.443795000
