nlev,variant,cell_dist,loop_order,target,block_bytes,vector_width,mu,W,delta_raw,delta_max,delta_uma,delta_numa,mu_delta_raw,mu_delta_uma,mu_delta_numa,sigma,cost_uma,cost_numa,ref_SL,ref_RL,ref_SR,ref_RR,ref_cost,span,W_delta,beta,alpha,gamma,P_NUMA,T
96,1,normal_var4,klon_first,cpu_scalar,64,1,3.267639,13.347107,1763.213716,3987.965722,1763.213716,1763.269000,4270.693888,4270.693888,4271.356316,34168.508996,3.267632,3.642630,5.621147,3.128853,4.781253,0.468747,4.149018,491533.633181,23533.802011,1,0.0124,1.8000,4,7864320
96,1,normal_var4,klon_first,cpu_avx512,64,8,24.967383,28.785840,205.876229,4947.116815,205.876229,206.072602,5108.536117,5108.536117,5113.835538,40891.951648,24.967266,27.967249,0.913512,7.836488,1.500021,3.749979,14.631257,493531.075616,5926.320151,1,0.0124,1.8000,4,983040
96,1,normal_var4,klon_first,gpu_scalar,128,1,2.632471,13.175061,974.822919,2173.545346,974.822919,974.850548,2135.231762,2135.231762,2135.562939,34166.665632,2.632464,2.819962,6.183928,2.566072,5.015628,0.234372,3.176572,245766.816551,12843.351454,1,0.0124,1.8000,4,7864320
96,1,normal_var4,klon_first,gpu_warp32,128,32,80.853125,83.403125,32.669683,3051.964902,32.669683,32.861931,2644.507161,2644.507161,2660.350745,42406.735742,80.851775,86.851677,0.000533,8.749467,0.000085,5.249915,18.199322,246973.321236,2724.753682,1,0.0124,1.8000,4,245760
96,1,normal_var4,klon_first,gpu_wave64,128,64,159.369531,164.238281,18.312718,3074.131973,18.312718,18.666901,2926.769141,2926.769141,2984.118008,47142.694922,159.364259,171.363868,0.000285,8.749715,0.000171,5.249829,18.199415,247013.409188,3007.649385,1,0.0124,1.8000,4,122880
96,1,sequential,klon_first,cpu_scalar,64,1,3.124658,12.999951,1837.715148,4143.060172,1837.715148,1837.773195,4271.931146,4271.931146,4272.593574,34178.407066,3.124652,3.499650,5.968828,2.781172,4.781253,0.468747,3.805649,491530.744417,23890.207187,1,0.0124,1.8000,4,7864320
96,1,sequential,klon_first,cpu_avx512,64,8,24.965918,27.990137,204.579446,4950.523220,204.579446,204.778640,5073.804732,5073.804732,5079.104154,40614.100602,24.965805,27.965788,0.500622,8.249378,1.500021,3.749979,15.039028,493537.440960,5726.206665,1,0.0124,1.8000,4,983040
96,1,sequential,klon_first,gpu_scalar,128,1,2.561646,12.999817,993.128562,2209.007346,993.128562,993.157584,2135.832013,2135.832013,2136.163191,34176.269660,2.561639,2.749137,6.359563,2.390437,5.015628,0.234372,3.003115,245765.371746,12910.489461,1,0.0124,1.8000,4,7864320
96,1,sequential,klon_first,gpu_warp32,128,32,80.843359,82.629688,32.817363,3052.874114,32.817363,33.010774,2655.247070,2655.247070,2671.090654,42578.574528,80.842025,86.841928,0.000142,8.749858,0.000085,5.249915,18.199707,246975.553060,2711.688486,1,0.0124,1.8000,4,245760
96,1,sequential,klon_first,gpu_wave64,128,64,159.377344,163.489844,18.104175,3074.350288,18.104175,18.458347,2893.661882,2893.661882,2951.010749,46612.978776,159.372071,171.371681,0.000285,8.749715,0.000171,5.249829,18.199415,247014.851880,2959.848792,1,0.0124,1.8000,4,122880
96,1,uniform,klon_first,cpu_scalar,64,1,4.998877,13.999780,1957.287962,4398.560433,1957.287962,1957.338493,8532.166516,8532.166516,8532.828943,68260.290018,4.998870,5.373868,4.219218,4.530782,4.781253,0.468747,5.533563,492392.228573,27401.601394,1,0.0124,1.8000,4,7864320
96,1,uniform,klon_first,cpu_avx512,64,8,39.928613,41.976172,256.051257,5928.892469,256.051257,256.181157,10200.870235,10200.870235,10206.169657,81630.624255,39.928449,42.928431,0.500426,8.249574,1.500021,3.749979,15.039221,493802.245572,10748.051572,1,0.0124,1.8000,4,983040
