variant,experiment,ny,nx,tpb,coarsen,rep,time_ms
aos_scatter,qe,225001,110273,24,1,0,0.114301
aos_scatter,qe,225001,110273,24,1,1,0.102311
aos_scatter,qe,225001,110273,24,1,2,0.096940
aos_scatter,qe,225001,110273,24,1,3,0.091731
aos_scatter,qe,225001,110273,24,1,4,0.090240
aos_scatter,qe,225001,110273,24,1,5,0.097111
aos_scatter,qe,225001,110273,24,1,6,0.101301
aos_scatter,qe,225001,110273,24,1,7,0.093121
aos_scatter,qe,225001,110273,24,1,8,0.102980
aos_scatter,qe,225001,110273,24,1,9,0.099251
aos_scatter,qe,225001,110273,24,1,10,0.098311
aos_scatter,qe,225001,110273,24,1,11,0.102680
aos_scatter,qe,225001,110273,24,1,12,0.088201
aos_scatter,qe,225001,110273,24,1,13,0.112791
aos_scatter,qe,225001,110273,24,1,14,0.098341
aos_scatter,qe,225001,110273,24,1,15,0.096740
aos_scatter,qe,225001,110273,24,1,16,0.107290
aos_scatter,qe,225001,110273,24,1,17,0.104590
aos_scatter,qe,225001,110273,24,1,18,0.087430
aos_scatter,qe,225001,110273,24,1,19,0.104360
aos_scatter,qe,225001,110273,24,1,20,0.100890
aos_scatter,qe,225001,110273,24,1,21,0.097191
aos_scatter,qe,225001,110273,24,1,22,0.098100
aos_scatter,qe,225001,110273,24,1,23,0.101461
aos_scatter,qe,225001,110273,24,1,24,0.094451
aos_scatter,qe,225001,110273,24,1,25,0.101931
aos_scatter,qe,225001,110273,24,1,26,0.103281
aos_scatter,qe,225001,110273,24,1,27,0.096531
aos_scatter,qe,225001,110273,24,1,28,0.094051
aos_scatter,qe,225001,110273,24,1,29,0.089101
aos_scatter,qe,225001,110273,24,1,30,0.102180
aos_scatter,qe,225001,110273,24,1,31,0.098710
aos_scatter,qe,225001,110273,24,1,32,0.129540
aos_scatter,qe,225001,110273,24,1,33,0.097351
aos_scatter,qe,225001,110273,24,1,34,0.100951
aos_scatter,qe,225001,110273,24,1,35,0.093740
aos_scatter,qe,225001,110273,24,1,36,0.088120
aos_scatter,qe,225001,110273,24,1,37,0.094851
aos_scatter,qe,225001,110273,24,1,38,0.098460
aos_scatter,qe,225001,110273,24,1,39,0.100501
aos_scatter,qe,225001,110273,24,1,40,0.089030
aos_scatter,qe,225001,110273,24,1,41,0.096741
aos_scatter,qe,225001,110273,24,1,42,0.100511
aos_scatter,qe,225001,110273,24,1,43,0.092710
aos_scatter,qe,225001,110273,24,1,44,0.095771
aos_scatter,qe,225001,110273,24,1,45,0.094531
aos_scatter,qe,225001,110273,24,1,46,0.101141
aos_scatter,qe,225001,110273,24,1,47,0.089281
aos_scatter,qe,225001,110273,24,1,48,0.099881
aos_scatter,qe,225001,110273,24,1,49,0.096880
aos_scatter,qe,225001,110273,24,1,50,0.103091
aos_scatter,qe,225001,110273,24,1,51,0.103861
aos_scatter,qe,225001,110273,24,1,52,0.087271
aos_scatter,qe,225001,110273,24,1,53,0.102321
aos_scatter,qe,225001,110273,24,1,54,0.100971
aos_scatter,qe,225001,110273,24,1,55,0.092951
aos_scatter,qe,225001,110273,24,1,56,0.100591
aos_scatter,qe,225001,110273,24,1,57,0.081631
aos_scatter,qe,225001,110273,24,1,58,0.094710
aos_scatter,qe,225001,110273,24,1,59,0.095530
aos_scatter,qe,225001,110273,24,1,60,0.103621
aos_scatter,qe,225001,110273,24,1,61,0.093611
aos_scatter,qe,225001,110273,24,1,62,0.101910
aos_scatter,qe,225001,110273,24,1,63,0.087650
aos_scatter,qe,225001,110273,24,1,64,0.098591
aos_scatter,qe,225001,110273,24,1,65,0.098760
aos_scatter,qe,225001,110273,24,1,66,0.095741
aos_scatter,qe,225001,110273,24,1,67,0.092280
aos_scatter,qe,225001,110273,24,1,68,0.092420
aos_scatter,qe,225001,110273,24,1,69,0.098170
aos_scatter,qe,225001,110273,24,1,70,0.100961
aos_scatter,qe,225001,110273,24,1,71,0.086351
aos_scatter,qe,225001,110273,24,1,72,0.103481
aos_scatter,qe,225001,110273,24,1,73,0.105031
aos_scatter,qe,225001,110273,24,1,74,0.092391
aos_scatter,qe,225001,110273,24,1,75,0.104281
aos_scatter,qe,225001,110273,24,1,76,0.096141
aos_scatter,qe,225001,110273,24,1,77,0.104300
aos_scatter,qe,225001,110273,24,1,78,0.107141
aos_scatter,qe,225001,110273,24,1,79,0.094850
aos_scatter,qe,225001,110273,24,1,80,0.126171
aos_scatter,qe,225001,110273,24,1,81,0.103701
aos_scatter,qe,225001,110273,24,1,82,0.099481
aos_scatter,qe,225001,110273,24,1,83,0.103290
aos_scatter,qe,225001,110273,24,1,84,0.092930
aos_scatter,qe,225001,110273,24,1,85,0.097421
aos_scatter,qe,225001,110273,24,1,86,0.092300
aos_scatter,qe,225001,110273,24,1,87,0.094541
aos_scatter,qe,225001,110273,24,1,88,0.099170
aos_scatter,qe,225001,110273,24,1,89,0.098730
aos_scatter,qe,225001,110273,24,1,90,0.091251
aos_scatter,qe,225001,110273,24,1,91,0.091990
aos_scatter,qe,225001,110273,24,1,92,0.102451
aos_scatter,qe,225001,110273,24,1,93,0.105161
aos_scatter,qe,225001,110273,24,1,94,0.094521
aos_scatter,qe,225001,110273,24,1,95,0.090461
aos_scatter,qe,225001,110273,24,1,96,0.085541
aos_scatter,qe,225001,110273,24,1,97,0.092880
aos_scatter,qe,225001,110273,24,1,98,0.093850
aos_scatter,qe,225001,110273,24,1,99,0.089451
aos_sorted,qe,225001,110273,24,1,0,0.107410
aos_sorted,qe,225001,110273,24,1,1,0.125401
aos_sorted,qe,225001,110273,24,1,2,0.120720
aos_sorted,qe,225001,110273,24,1,3,0.119430
aos_sorted,qe,225001,110273,24,1,4,0.107071
aos_sorted,qe,225001,110273,24,1,5,0.103771
aos_sorted,qe,225001,110273,24,1,6,0.117181
aos_sorted,qe,225001,110273,24,1,7,0.111980
aos_sorted,qe,225001,110273,24,1,8,0.101770
aos_sorted,qe,225001,110273,24,1,9,0.105781
aos_sorted,qe,225001,110273,24,1,10,0.103701
aos_sorted,qe,225001,110273,24,1,11,0.106391
aos_sorted,qe,225001,110273,24,1,12,0.108521
aos_sorted,qe,225001,110273,24,1,13,0.106070
aos_sorted,qe,225001,110273,24,1,14,0.104511
aos_sorted,qe,225001,110273,24,1,15,0.108891
aos_sorted,qe,225001,110273,24,1,16,0.104071
aos_sorted,qe,225001,110273,24,1,17,0.104151
aos_sorted,qe,225001,110273,24,1,18,0.108031
aos_sorted,qe,225001,110273,24,1,19,0.106781
aos_sorted,qe,225001,110273,24,1,20,0.112021
aos_sorted,qe,225001,110273,24,1,21,0.104661
aos_sorted,qe,225001,110273,24,1,22,0.106281
aos_sorted,qe,225001,110273,24,1,23,0.110081
aos_sorted,qe,225001,110273,24,1,24,0.104340
aos_sorted,qe,225001,110273,24,1,25,0.103890
aos_sorted,qe,225001,110273,24,1,26,0.119401
aos_sorted,qe,225001,110273,24,1,27,0.115520
aos_sorted,qe,225001,110273,24,1,28,0.105581
aos_sorted,qe,225001,110273,24,1,29,0.108620
aos_sorted,qe,225001,110273,24,1,30,0.103531
aos_sorted,qe,225001,110273,24,1,31,0.108301
aos_sorted,qe,225001,110273,24,1,32,0.108091
aos_sorted,qe,225001,110273,24,1,33,0.099721
aos_sorted,qe,225001,110273,24,1,34,0.108091
aos_sorted,qe,225001,110273,24,1,35,0.112951
aos_sorted,qe,225001,110273,24,1,36,0.111930
aos_sorted,qe,225001,110273,24,1,37,0.101201
aos_sorted,qe,225001,110273,24,1,38,0.103830
aos_sorted,qe,225001,110273,24,1,39,0.109241
aos_sorted,qe,225001,110273,24,1,40,0.106720
aos_sorted,qe,225001,110273,24,1,41,0.114990
aos_sorted,qe,225001,110273,24,1,42,0.120121
aos_sorted,qe,225001,110273,24,1,43,0.113580
aos_sorted,qe,225001,110273,24,1,44,0.114161
aos_sorted,qe,225001,110273,24,1,45,0.108261
aos_sorted,qe,225001,110273,24,1,46,0.116511
aos_sorted,qe,225001,110273,24,1,47,0.118081
aos_sorted,qe,225001,110273,24,1,48,0.101801
aos_sorted,qe,225001,110273,24,1,49,0.102461
aos_sorted,qe,225001,110273,24,1,50,0.105331
aos_sorted,qe,225001,110273,24,1,51,0.104231
aos_sorted,qe,225001,110273,24,1,52,0.105631
aos_sorted,qe,225001,110273,24,1,53,0.105860
aos_sorted,qe,225001,110273,24,1,54,0.103530
aos_sorted,qe,225001,110273,24,1,55,0.103490
aos_sorted,qe,225001,110273,24,1,56,0.101470
aos_sorted,qe,225001,110273,24,1,57,0.112161
aos_sorted,qe,225001,110273,24,1,58,0.105710
aos_sorted,qe,225001,110273,24,1,59,0.105260
aos_sorted,qe,225001,110273,24,1,60,0.105740
aos_sorted,qe,225001,110273,24,1,61,0.106370
aos_sorted,qe,225001,110273,24,1,62,0.109580
aos_sorted,qe,225001,110273,24,1,63,0.106221
aos_sorted,qe,225001,110273,24,1,64,0.100611
aos_sorted,qe,225001,110273,24,1,65,0.103670
aos_sorted,qe,225001,110273,24,1,66,0.109270
aos_sorted,qe,225001,110273,24,1,67,0.114680
aos_sorted,qe,225001,110273,24,1,68,0.103550
aos_sorted,qe,225001,110273,24,1,69,0.110390
aos_sorted,qe,225001,110273,24,1,70,0.109701
aos_sorted,qe,225001,110273,24,1,71,0.110451
aos_sorted,qe,225001,110273,24,1,72,0.111831
aos_sorted,qe,225001,110273,24,1,73,0.112451
aos_sorted,qe,225001,110273,24,1,74,0.099901
aos_sorted,qe,225001,110273,24,1,75,0.110421
