backend,variant,nlev,N_e,N_c,N_v,cell_dist,blocking,parallelization,run_id,time_ms
cpu,1,90,122880,81920,81920,uniform,0,omp_for,0,1.642560000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,1,2.266914000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,2,2.309194000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,3,2.709617000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,4,2.566485000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,5,2.593315000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,6,2.616926000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,7,2.575615000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,8,2.581136000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,9,2.709166000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,10,2.763516000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,11,2.642516000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,12,2.645026000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,13,2.684565000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,14,2.542165000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,15,2.621675000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,16,2.692845000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,17,2.599524000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,18,2.581275000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,19,2.701806000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,20,2.605455000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,21,2.676367000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,22,2.678907000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,23,2.573004000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,24,2.651685000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,25,2.566565000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,26,2.721436000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,27,2.636425000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,28,2.578435000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,29,2.689336000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,30,2.573985000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,31,2.663606000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,32,2.683557000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,33,2.677436000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,34,2.551554000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,35,2.629845000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,36,2.571935000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,37,2.622465000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,38,2.524605000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,39,2.650045000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,40,2.541464000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,41,2.675875000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,42,2.597976000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,43,2.557995000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,44,2.585996000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,45,2.647306000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,46,2.662485000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,47,2.601585000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,48,2.763256000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,49,2.591716000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,50,2.716516000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,51,2.593585000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,52,2.741646000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,53,2.600054000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,54,2.659725000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,55,2.586516000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,56,2.592675000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,57,2.640496000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,58,2.582536000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,59,2.669525000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,60,2.645175000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,61,2.543456000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,62,2.536435000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,63,2.622855000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,64,2.670766000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,65,2.583106000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,66,2.663635000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,67,2.621935000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,68,2.643056000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,69,2.633395000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,70,2.683095000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,71,2.602736000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,72,2.644836000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,73,2.556894000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,74,2.658066000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,75,2.562135000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,76,2.671615000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,77,2.576754000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,78,2.643046000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,79,2.610476000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,80,2.646286000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,81,2.548926000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,82,2.641696000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,83,2.550395000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,84,2.689156000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,85,2.640806000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,86,2.597575000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,87,2.529795000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,88,2.629496000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,89,2.578924000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,90,2.681816000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,91,3.398151000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,92,2.639056000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,93,2.609165000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,94,2.570666000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,95,2.680486000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,96,2.679685000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,97,2.606075000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,98,2.635236000
cpu,1,90,122880,81920,81920,uniform,0,omp_for,99,2.644096000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,0,2.051702000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,1,2.193972000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,2,2.338384000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,3,2.526425000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,4,2.521125000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,5,2.549006000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,6,2.641146000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,7,2.952567000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,8,2.876496000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,9,2.779476000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,10,3.130419000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,11,3.099828000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,12,3.116237000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,13,3.094957000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,14,3.172648000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,15,3.084048000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,16,3.167939000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,17,3.119048000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,18,3.129958000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,19,3.182058000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,20,3.183119000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,21,3.137968000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,22,3.164118000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,23,3.126599000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,24,3.174740000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,25,3.146748000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,26,3.139838000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,27,3.148507000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,28,3.145969000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,29,3.189779000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,30,3.135929000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,31,3.148039000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,32,3.154348000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,33,3.125508000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,34,3.144039000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,35,3.107319000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,36,3.107809000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,37,3.142607000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,38,3.155358000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,39,3.140258000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,40,3.165369000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,41,3.192739000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,42,3.080658000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,43,3.118898000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,44,3.158968000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,45,3.178970000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,46,3.104309000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,47,3.157869000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,48,3.176789000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,49,3.161128000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,50,3.152428000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,51,3.177848000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,52,3.162118000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,53,3.154649000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,54,3.229829000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,55,3.092387000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,56,3.162278000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,57,3.087737000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,58,3.165289000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,59,3.130209000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,60,3.097888000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,61,3.122508000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,62,3.105068000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,63,3.103779000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,64,3.135609000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,65,3.134929000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,66,3.112359000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,67,3.079629000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,68,3.133278000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,69,3.137978000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,70,3.067058000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,71,3.103309000
cpu,1,90,122880,81920,81920,uniform,0,omp_collapse2,72,3.151039000
