backend,variant,nlev,N_e,N_c,N_v,cell_dist,blocking,parallelization,run_id,time_ms
cpu,1,96,122880,81920,81920,uniform,0,omp_for,0,1.429620000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,1,2.117924000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,2,2.524646000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,3,2.470057000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,4,2.547387000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,5,2.511876000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,6,2.467057000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,7,2.482297000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,8,2.584488000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,9,2.563777000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,10,2.568807000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,11,2.467577000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,12,2.474376000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,13,2.567938000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,14,2.508437000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,15,2.554948000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,16,2.531246000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,17,2.540497000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,18,2.577908000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,19,2.547188000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,20,2.550247000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,21,2.592167000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,22,2.518307000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,23,2.523638000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,24,2.539756000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,25,2.588088000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,26,2.492047000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,27,2.543047000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,28,2.506966000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,29,2.561038000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,30,2.539858000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,31,2.525176000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,32,2.500787000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,33,2.545108000
cpu,1,96,122880,81920,81920,uniform,0,omp_for,34,2.471327000
