backend,variant,nlev,nproma,cell_dist,blocking,parallelization,run_id,time_ms
cpu,1,90,81920,uniform,0,omp_for,60,2.084945000
cpu,1,90,81920,uniform,0,omp_for,61,2.171326000
cpu,1,90,81920,uniform,0,omp_for,62,2.063405000
cpu,1,90,81920,uniform,0,omp_for,63,2.085704000
cpu,1,90,81920,uniform,0,omp_for,64,2.122395000
cpu,1,90,81920,uniform,0,omp_for,65,2.125806000
cpu,1,90,81920,uniform,0,omp_for,66,2.147576000
cpu,1,90,81920,uniform,0,omp_for,67,2.093646000
cpu,1,90,81920,uniform,0,omp_for,68,2.144846000
cpu,1,90,81920,uniform,0,omp_for,69,2.117096000
cpu,1,90,81920,uniform,0,omp_for,70,2.100374000
cpu,1,90,81920,uniform,0,omp_for,71,2.145246000
cpu,1,90,81920,uniform,0,omp_for,72,2.057306000
cpu,1,90,81920,uniform,0,omp_for,73,2.328817000
cpu,1,90,81920,uniform,0,omp_for,74,2.370206000
cpu,1,90,81920,uniform,0,omp_for,75,2.315057000
cpu,1,90,81920,uniform,0,omp_for,76,2.320097000
cpu,1,90,81920,uniform,0,omp_for,77,2.082995000
cpu,1,90,81920,uniform,0,omp_for,78,2.165626000
cpu,1,90,81920,uniform,0,omp_for,79,2.038725000
cpu,1,90,81920,uniform,0,omp_for,80,2.147986000
cpu,1,90,81920,uniform,0,omp_for,81,2.109824000
cpu,1,90,81920,uniform,0,omp_for,82,2.045465000
cpu,1,90,81920,uniform,0,omp_for,83,2.069685000
cpu,1,90,81920,uniform,0,omp_for,84,2.101755000
cpu,1,90,81920,uniform,0,omp_for,85,2.072165000
cpu,1,90,81920,uniform,0,omp_for,86,2.031685000
cpu,1,90,81920,uniform,0,omp_for,87,2.123866000
cpu,1,90,81920,uniform,0,omp_for,88,2.154175000
cpu,1,90,81920,uniform,0,omp_for,89,2.048135000
cpu,1,90,81920,uniform,0,omp_for,90,2.116585000
cpu,1,90,81920,uniform,0,omp_for,91,2.119326000
cpu,1,90,81920,uniform,0,omp_for,92,2.123565000
cpu,1,90,81920,uniform,0,omp_for,93,2.072696000
cpu,1,90,81920,uniform,0,omp_for,94,2.065795000
cpu,1,90,81920,uniform,0,omp_for,95,2.075465000
cpu,1,90,81920,uniform,0,omp_for,96,2.076695000
cpu,1,90,81920,uniform,0,omp_for,97,2.139866000
cpu,1,90,81920,uniform,0,omp_for,98,2.110105000
cpu,1,90,81920,uniform,0,omp_for,99,2.074225000
cpu,1,90,81920,uniform,0,omp_collapse2,0,2.194456000
cpu,1,90,81920,uniform,0,omp_collapse2,1,2.561239000
cpu,1,90,81920,uniform,0,omp_collapse2,2,2.525619000
cpu,1,90,81920,uniform,0,omp_collapse2,3,2.542568000
cpu,1,90,81920,uniform,0,omp_collapse2,4,2.558268000
cpu,1,90,81920,uniform,0,omp_collapse2,5,2.539828000
cpu,1,90,81920,uniform,0,omp_collapse2,6,2.566759000
cpu,1,90,81920,uniform,0,omp_collapse2,7,2.589938000
cpu,1,90,81920,uniform,0,omp_collapse2,8,2.587679000
cpu,1,90,81920,uniform,0,omp_collapse2,9,2.558039000
cpu,1,90,81920,uniform,0,omp_collapse2,10,2.526048000
cpu,1,90,81920,uniform,0,omp_collapse2,11,2.586228000
cpu,1,90,81920,uniform,0,omp_collapse2,12,2.563859000
cpu,1,90,81920,uniform,0,omp_collapse2,13,2.556719000
cpu,1,90,81920,uniform,0,omp_collapse2,14,2.556349000
cpu,1,90,81920,uniform,0,omp_collapse2,15,2.590018000
cpu,1,90,81920,uniform,0,omp_collapse2,16,2.554609000
cpu,1,90,81920,uniform,0,omp_collapse2,17,2.606619000
cpu,1,90,81920,uniform,0,omp_collapse2,18,2.581959000
cpu,1,90,81920,uniform,0,omp_collapse2,19,2.530669000
cpu,1,90,81920,uniform,0,omp_collapse2,20,2.598969000
cpu,1,90,81920,uniform,0,omp_collapse2,21,2.578599000
cpu,1,90,81920,uniform,0,omp_collapse2,22,2.597109000
cpu,1,90,81920,uniform,0,omp_collapse2,23,2.607119000
cpu,1,90,81920,uniform,0,omp_collapse2,24,2.561628000
cpu,1,90,81920,uniform,0,omp_collapse2,25,2.619440000
cpu,1,90,81920,uniform,0,omp_collapse2,26,2.540669000
cpu,1,90,81920,uniform,0,omp_collapse2,27,2.586299000
