backend,variant,nlev,nproma,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,0,0.536763
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,1,0.532764
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,2,0.534483
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,3,0.536244
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,4,0.533123
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,5,0.526363
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,6,0.529843
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,7,0.528844
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,8,0.525443
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,9,0.521444
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,10,0.518683
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,11,0.515724
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,12,0.514963
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,13,0.515444
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,14,0.513003
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,15,0.519043
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,16,0.516523
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,17,0.516644
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,18,0.513563
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,19,0.514563
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,20,0.516803
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,21,0.517483
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,22,0.512163
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,23,0.526643
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,24,0.512923
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,25,0.515924
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,26,0.514923
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,27,0.515964
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,28,0.516603
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,29,0.515003
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,30,0.514843
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,31,0.514844
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,32,0.519763
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,33,0.512004
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,34,0.519083
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,35,0.519604
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,36,0.520443
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,37,0.518364
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,38,0.519643
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,39,0.516284
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,40,0.519763
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,41,0.514083
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,42,0.517283
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,43,0.513203
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,44,0.521283
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,45,0.516884
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,46,0.520683
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,47,0.515603
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,48,0.520363
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,49,0.513524
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,50,0.519843
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,51,0.516044
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,52,0.522083
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,53,0.515044
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,54,0.521523
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,55,0.519404
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,56,0.523723
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,57,0.517683
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,58,0.521323
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,59,0.516964
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,60,0.516003
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,61,0.519124
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,62,0.521203
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,63,0.575524
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,64,0.522843
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,65,0.520844
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,66,0.523403
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,67,0.516764
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,68,0.516203
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,69,0.518164
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,70,0.521363
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,71,0.520124
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,72,0.515003
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,73,0.520764
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,74,0.514443
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,75,0.521083
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,76,0.521203
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,77,0.517964
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,78,0.520003
gpu,1,90,81920,uniform,1x1_256x1,1,1,256,1,79,0.515684
