variant,N,TB,SB,MT,threads,med_time_ms,std_time_ms,p5_time_ms,p95_time_ms,min_gbs,med_gbs,max_gbs,pct_peak_bw,status
hptt_patient_blk,16384,0,32,0,96,4.1832,0.3288,4.1643,4.4214,293.9,513.4,516.9,54.7,PASS
hptt_patient_blk,16384,0,64,0,96,4.2915,0.3759,4.2638,5.3318,321.0,500.4,504.6,53.3,PASS
hptt_blk,16384,0,512,0,96,4.6349,0.3163,4.5470,4.9881,284.7,463.3,473.5,49.3,PASS
hptt_patient_blk,16384,0,256,0,96,4.7908,0.2615,4.7154,4.9093,291.9,448.3,457.4,47.7,PASS
hptt_blk,16384,0,256,0,96,4.9109,0.2842,4.7974,5.1774,283.8,437.3,449.6,46.6,PASS
hptt_blk,16384,0,32,0,96,4.9967,0.2732,4.8194,5.4264,305.1,429.8,448.9,45.8,PASS
locbuf_blk_mt_c2_nd,16384,64,32,4,96,5.0898,0.2758,5.0106,5.3658,289.4,421.9,431.6,44.9,PASS
locbuf_blk_mt_c2_nd,16384,64,32,16,96,5.1402,0.3234,5.0194,5.7047,274.1,417.8,432.2,44.5,PASS
locbuf_blk_mt_c2,16384,64,128,4,96,5.1665,0.3039,5.0961,5.8959,342.7,415.7,422.8,44.3,PASS
locbuf_blk_mt_c2,16384,64,256,4,96,5.1936,0.2761,5.1485,5.6495,289.4,413.5,418.7,44.0,PASS
locbuf_blk_mt_c2_nd,16384,64,64,4,96,5.1979,0.2626,4.9799,5.4240,297.8,413.1,437.7,44.0,PASS
locbuf_blk_mt_c2_nd,16384,64,128,4,96,5.2074,0.2331,5.0892,5.8545,351.6,412.4,431.2,43.9,PASS
locbuf_blk_c2,16384,64,128,8,96,5.2107,0.2488,5.0974,5.5482,292.4,412.1,425.4,43.9,PASS
hptt_patient_blk,16384,0,512,0,96,5.3145,0.3546,5.0513,5.9645,271.0,404.1,438.1,43.0,PASS
locbuf_blk_mt_c2_nd,16384,64,256,4,96,5.3181,0.1008,5.2330,5.4110,367.3,403.8,415.5,43.0,PASS
locbuf_blk_mt_c2,16384,64,256,8,96,5.4066,0.2717,5.2427,5.8782,286.3,397.2,414.8,42.3,PASS
locbuf_blk_c2_nd,16384,64,16,8,96,5.4314,0.2444,5.3801,5.7607,291.2,395.4,399.8,42.1,PASS
locbuf_blk_mt_c2,16384,64,128,8,96,5.4512,1.3401,5.3922,6.5480,115.6,393.9,400.5,41.9,PASS
locbuf_blk_mt_c2_nd,16384,64,256,8,96,5.4660,0.3692,5.3207,5.7789,243.0,392.9,408.3,41.8,PASS
locbuf_blk_mt_c2,16384,64,16,16,96,5.4907,0.2362,5.4618,5.6917,279.4,391.1,393.4,41.6,PASS
locbuf_blk_mt_c2_nd,16384,64,128,8,96,5.4939,0.1375,5.3396,5.5997,342.2,390.9,406.0,41.6,PASS
blk_aligned_mt_c2,16384,64,16,16,96,5.4990,0.2737,5.4476,5.8590,268.8,390.5,394.6,41.6,PASS
blk_aligned_c2,16384,64,16,8,96,5.5070,0.2456,5.4546,5.9554,285.9,390.0,394.2,41.5,PASS
locbuf_blk_mt_c2_nd,16384,64,16,16,96,5.5261,0.2703,5.4717,6.1840,288.0,388.6,394.0,41.4,PASS
blk_aligned_c2_nd,16384,64,16,8,96,5.5294,1.2818,5.4482,6.2914,118.5,388.4,395.5,41.3,PASS
locbuf_2buf_c2_nd,16384,64,32,8,96,5.5702,0.3039,5.4462,5.8339,258.7,385.5,395.8,41.0,PASS
blk_aligned_mt_c2,16384,64,8,8,96,5.5891,0.2295,5.5210,5.8652,281.4,384.2,390.6,40.9,PASS
blk_aligned_mt_c2_nd,16384,64,16,16,96,5.5912,0.2529,5.5121,5.9888,287.6,384.1,395.8,40.9,PASS
locbuf_blk_c2,16384,64,8,8,96,5.6052,0.2127,5.5386,6.0947,298.9,383.1,389.4,40.8,PASS
locbuf_blk_c2,16384,64,16,8,96,5.6170,0.1851,5.5587,5.8936,305.3,382.3,387.2,40.7,PASS
locbuf_blk_mt_c2,16384,64,8,8,96,5.6487,0.1475,5.5918,5.7790,321.3,380.2,386.5,40.5,PASS
locbuf_blk_mt_c2,16384,64,512,4,96,5.6997,0.1011,5.6320,5.9540,352.9,376.8,383.3,40.1,PASS
locbuf_blk_mt_c2,16384,64,128,32,96,5.7261,0.4624,5.6730,6.7750,273.8,375.0,379.3,39.9,PASS
locbuf_blk_c2,16384,64,64,8,96,5.7291,1.3102,5.5799,6.1132,114.5,374.8,389.3,39.9,PASS
locbuf_blk_mt_c2,16384,64,64,4,96,5.7309,0.1572,5.6916,5.8225,298.1,374.7,378.9,39.9,PASS
locbuf_blk_mt_c2_nd,16384,64,512,4,96,5.7386,0.2026,5.6848,5.9887,285.2,374.2,379.4,39.8,PASS
blk_aligned_c2,16384,64,8,8,96,5.7781,0.1379,5.7494,5.8593,304.1,371.7,373.8,39.6,PASS
locbuf_blk_c2_nd,16384,64,32,8,96,5.8100,0.2271,5.7373,5.9347,270.8,369.6,379.0,39.4,PASS
locbuf_blk_mt_c2,16384,64,256,16,96,5.8224,0.1093,5.6833,5.8702,329.1,368.8,380.0,39.3,PASS
locbuf_blk_mt_c2_nd,16384,64,64,8,96,5.8257,0.2703,5.7412,6.4700,280.4,368.6,376.3,39.2,PASS
locbuf_blk_mt_c2_nd,16384,64,32,32,96,5.8383,0.3041,5.7305,6.1027,270.6,367.8,376.0,39.2,PASS
locbuf_blk_mt_c2_nd,16384,64,256,16,96,5.8514,0.2311,5.7814,5.9442,270.9,367.0,372.1,39.1,PASS
hptt_blk,16384,0,64,0,96,5.8596,0.1876,5.7762,6.2712,320.1,366.5,409.2,39.0,PASS
locbuf_blk_c2,16384,64,256,8,96,5.9166,0.2324,5.8407,6.0818,263.7,363.0,372.4,38.6,PASS
locbuf_blk_mt_c2,16384,64,512,8,96,5.9253,0.1800,5.8314,6.0973,285.0,362.4,370.3,38.6,PASS
locbuf_blk_mt_c2_nd,16384,64,8,8,96,5.9304,0.1291,5.8856,6.0511,303.3,362.1,365.4,38.6,PASS
locbuf_blk_mt,16384,64,8,8,96,5.9355,0.2021,5.8122,6.2406,299.0,361.8,371.4,38.5,PASS
locbuf_blk_mt_c2,16384,64,32,16,96,5.9464,0.1829,5.8262,6.1957,294.1,361.1,370.6,38.4,PASS
locbuf_blk_mt_c2,16384,64,64,8,96,5.9645,1.0663,5.8826,6.3159,129.6,360.0,366.6,38.3,PASS
locbuf_blk_mt_c2_nd,16384,64,32,8,96,5.9768,0.4058,5.7974,6.9803,251.6,359.3,374.1,38.3,PASS
locbuf_blk_mt_c2_nd,16384,64,128,16,96,6.0335,1.1398,5.8272,6.3120,124.7,355.9,372.9,37.9,PASS
locbuf_blk_c2_nd,16384,64,128,8,96,6.0372,0.1015,5.9080,6.1677,327.3,355.7,373.5,37.9,PASS
hptt_blk,16384,0,128,0,96,6.0570,0.2931,6.0051,6.1722,240.9,354.5,372.6,37.7,PASS
locbuf_blk_mt_c2_nd,16384,64,512,8,96,6.0675,0.2082,5.9803,6.3491,271.8,353.9,366.0,37.7,PASS
locbuf_blk,16384,64,8,8,96,6.1136,0.1365,6.0615,6.1925,291.0,351.3,355.0,37.4,PASS
locbuf_2buf_c2_nd,16384,32,32,8,96,6.1234,0.2004,6.0035,6.3371,281.2,350.7,358.7,37.3,PASS
locbuf_blk_c2_nd,16384,64,64,8,96,6.1237,0.1816,5.9150,6.4032,295.1,350.7,366.5,37.3,PASS
