variant,M,N,tile,nthreads,rep,time_s,bw_gbs,checksum,status
row_major,16384,16384,0,96,0,0.142487220,60.286,2.681670e+09,PASS
row_major,16384,16384,0,96,1,0.142143178,60.432,2.681670e+09,PASS
row_major,16384,16384,0,96,2,0.141973967,60.504,2.681670e+09,PASS
row_major,16384,16384,0,96,3,0.141848228,60.557,2.681670e+09,PASS
row_major,16384,16384,0,96,4,0.142175338,60.418,2.681670e+09,PASS
row_major,16384,16384,0,96,5,0.142335059,60.350,2.681670e+09,PASS
row_major,16384,16384,0,96,6,0.142361669,60.339,2.681670e+09,PASS
row_major,16384,16384,0,96,7,0.142051367,60.471,2.681670e+09,PASS
row_major,16384,16384,0,96,8,0.141880026,60.544,2.681670e+09,PASS
row_major,16384,16384,0,96,9,0.153858953,55.830,2.681670e+09,PASS
row_major,16384,16384,0,96,10,0.141111083,60.874,2.681670e+09,PASS
row_major,16384,16384,0,96,11,0.142219659,60.399,2.681670e+09,PASS
row_major,16384,16384,0,96,12,0.142226908,60.396,2.681670e+09,PASS
row_major,16384,16384,0,96,13,0.141886037,60.541,2.681670e+09,PASS
row_major,16384,16384,0,96,14,0.141599165,60.664,2.681670e+09,PASS
row_major,16384,16384,0,96,15,0.142024507,60.482,2.681670e+09,PASS
row_major,16384,16384,0,96,16,0.142024407,60.482,2.681670e+09,PASS
row_major,16384,16384,0,96,17,0.142312951,60.359,2.681670e+09,PASS
row_major,16384,16384,0,96,18,0.141723035,60.611,2.681670e+09,PASS
row_major,16384,16384,0,96,19,0.142218869,60.399,2.681670e+09,PASS
row_major,16384,16384,0,96,20,0.141742896,60.602,2.681670e+09,PASS
row_major,16384,16384,0,96,21,0.142550760,60.259,2.681670e+09,PASS
row_major,16384,16384,0,96,22,0.141639495,60.646,2.681670e+09,PASS
row_major,16384,16384,0,96,23,0.153460391,55.975,2.681670e+09,PASS
row_major,16384,16384,0,96,24,0.140941721,60.947,2.681670e+09,PASS
row_major,16384,16384,0,96,25,0.142153619,60.427,2.681670e+09,PASS
row_major,16384,16384,0,96,26,0.141708655,60.617,2.681670e+09,PASS
row_major,16384,16384,0,96,27,0.141487924,60.711,2.681670e+09,PASS
row_major,16384,16384,0,96,28,0.142064598,60.465,2.681670e+09,PASS
row_major,16384,16384,0,96,29,0.141923607,60.525,2.681670e+09,PASS
row_major,16384,16384,0,96,30,0.141572005,60.675,2.681670e+09,PASS
row_major,16384,16384,0,96,31,0.141991428,60.496,2.681670e+09,PASS
row_major,16384,16384,0,96,32,0.141893786,60.538,2.681670e+09,PASS
row_major,16384,16384,0,96,33,0.142212818,60.402,2.681670e+09,PASS
row_major,16384,16384,0,96,34,0.142066347,60.464,2.681670e+09,PASS
row_major,16384,16384,0,96,35,0.142174268,60.418,2.681670e+09,PASS
row_major,16384,16384,0,96,36,0.141649475,60.642,2.681670e+09,PASS
row_major,16384,16384,0,96,37,0.141320075,60.784,2.681670e+09,PASS
row_major,16384,16384,0,96,38,0.141874696,60.546,2.681670e+09,PASS
row_major,16384,16384,0,96,39,0.141713185,60.615,2.681670e+09,PASS
row_major,16384,16384,0,96,40,0.142344219,60.346,2.681670e+09,PASS
row_major,16384,16384,0,96,41,0.141780706,60.586,2.681670e+09,PASS
row_major,16384,16384,0,96,42,0.141594635,60.666,2.681670e+09,PASS
row_major,16384,16384,0,96,43,0.141991958,60.496,2.681670e+09,PASS
row_major,16384,16384,0,96,44,0.142136058,60.435,2.681670e+09,PASS
row_major,16384,16384,0,96,45,0.142083917,60.457,2.681670e+09,PASS
row_major,16384,16384,0,96,46,0.142280669,60.373,2.681670e+09,PASS
row_major,16384,16384,0,96,47,0.142418959,60.315,2.681670e+09,PASS
row_major,16384,16384,0,96,48,0.142165098,60.422,2.681670e+09,PASS
row_major,16384,16384,0,96,49,0.141701635,60.620,2.681670e+09,PASS
row_major,16384,16384,0,96,50,0.141714967,60.614,2.681670e+09,PASS
row_major,16384,16384,0,96,51,0.142166348,60.422,2.681670e+09,PASS
row_major,16384,16384,0,96,52,0.141756556,60.596,2.681670e+09,PASS
row_major,16384,16384,0,96,53,0.141953507,60.512,2.681670e+09,PASS
row_major,16384,16384,0,96,54,0.141825406,60.567,2.681670e+09,PASS
row_major,16384,16384,0,96,55,0.142444489,60.304,2.681670e+09,PASS
row_major,16384,16384,0,96,56,0.141719477,60.612,2.681670e+09,PASS
row_major,16384,16384,0,96,57,0.142438289,60.306,2.681670e+09,PASS
row_major,16384,16384,0,96,58,0.142005337,60.490,2.681670e+09,PASS
row_major,16384,16384,0,96,59,0.141985187,60.499,2.681670e+09,PASS
row_major,16384,16384,0,96,60,0.142180298,60.416,2.681670e+09,PASS
row_major,16384,16384,0,96,61,0.142071598,60.462,2.681670e+09,PASS
row_major,16384,16384,0,96,62,0.142567420,60.252,2.681670e+09,PASS
row_major,16384,16384,0,96,63,0.141790978,60.582,2.681670e+09,PASS
row_major,16384,16384,0,96,64,0.141943707,60.516,2.681670e+09,PASS
row_major,16384,16384,0,96,65,0.141453764,60.726,2.681670e+09,PASS
row_major,16384,16384,0,96,66,0.142777241,60.163,2.681670e+09,PASS
row_major,16384,16384,0,96,67,0.142131587,60.436,2.681670e+09,PASS
row_major,16384,16384,0,96,68,0.141688886,60.625,2.681670e+09,PASS
row_major,16384,16384,0,96,69,0.141980558,60.501,2.681670e+09,PASS
row_major,16384,16384,0,96,70,0.142493520,60.283,2.681670e+09,PASS
row_major,16384,16384,0,96,71,0.141448734,60.728,2.681670e+09,PASS
row_major,16384,16384,0,96,72,0.141805396,60.576,2.681670e+09,PASS
row_major,16384,16384,0,96,73,0.141807696,60.575,2.681670e+09,PASS
row_major,16384,16384,0,96,74,0.141923616,60.525,2.681670e+09,PASS
row_major,16384,16384,0,96,75,0.142081048,60.458,2.681670e+09,PASS
row_major,16384,16384,0,96,76,0.142045688,60.473,2.681670e+09,PASS
row_major,16384,16384,0,96,77,0.142548920,60.260,2.681670e+09,PASS
row_major,16384,16384,0,96,78,0.141628285,60.651,2.681670e+09,PASS
