variant,rep,time_ms
3d,1,0.122000
3d,2,0.089000
3d,3,0.098000
3d,4,0.111000
3d,5,0.129000
3d,6,0.104000
3d,7,0.117000
3d,8,0.104000
3d,9,0.097000
3d,10,0.110000
3d,11,0.122000
3d,12,0.119000
3d,13,0.109000
3d,14,0.097000
3d,15,0.103000
3d,16,0.123000
3d,17,0.125000
3d,18,0.094000
3d,19,0.093000
3d,20,0.107000
3d,21,0.091000
3d,22,0.108000
3d,23,0.115000
3d,24,0.097000
3d,25,0.103000
3d,26,0.122000
3d,27,0.119000
3d,28,0.115000
3d,29,0.116000
3d,30,0.116000
3d,31,0.098000
3d,32,0.092000
3d,33,0.090000
3d,34,0.094000
3d,35,0.105000
3d,36,0.088000
3d,37,0.122000
3d,38,0.117000
3d,39,0.090000
3d,40,0.104000
3d,41,0.088000
3d,42,0.120000
3d,43,0.090000
3d,44,0.096000
3d,45,0.111000
3d,46,0.113000
3d,47,0.138000
3d,48,0.117000
3d,49,0.110000
3d,50,0.110000
3d,51,0.106000
3d,52,0.120000
3d,53,0.097000
3d,54,0.120000
3d,55,0.091000
3d,56,0.100000
3d,57,0.093000
3d,58,0.111000
3d,59,0.120000
3d,60,0.110000
3d,61,0.101000
3d,62,0.118000
3d,63,0.109000
3d,64,0.108000
3d,65,0.117000
3d,66,0.119000
3d,67,0.125000
3d,68,0.121000
3d,69,0.116000
3d,70,8.385000
3d,71,0.106000
3d,72,0.123000
3d,73,0.121000
3d,74,0.118000
3d,75,0.160000
3d,76,0.113000
3d,77,0.119000
3d,78,0.266000
3d,79,0.119000
3d,80,0.100000
3d,81,0.104000
3d,82,0.094000
3d,83,0.101000
3d,84,0.113000
3d,85,0.090000
3d,86,0.093000
3d,87,0.105000
3d,88,0.096000
3d,89,0.121000
3d,90,0.123000
3d,91,0.106000
3d,92,0.095000
3d,93,0.113000
3d,94,0.093000
3d,95,0.106000
3d,96,0.122000
3d,97,0.117000
3d,98,0.217000
3d,99,0.102000
3d,100,0.116000
