variant,rep,time_ms
split-gpu,1,1.078000
split-gpu,2,1.076000
split-gpu,3,1.079000
split-gpu,4,1.075000
split-gpu,5,1.077000
split-gpu,6,1.077000
split-gpu,7,1.068000
split-gpu,8,1.067000
split-gpu,9,1.064000
split-gpu,10,1.066000
split-gpu,11,1.068000
split-gpu,12,1.066000
split-gpu,13,1.066000
split-gpu,14,1.063000
split-gpu,15,1.067000
split-gpu,16,1.071000
split-gpu,17,1.072000
split-gpu,18,1.070000
split-gpu,19,1.070000
split-gpu,20,1.073000
split-gpu,21,1.070000
split-gpu,22,1.070000
split-gpu,23,1.071000
split-gpu,24,1.071000
split-gpu,25,1.072000
split-gpu,26,1.071000
split-gpu,27,1.070000
split-gpu,28,1.075000
split-gpu,29,1.075000
split-gpu,30,1.073000
split-gpu,31,1.075000
split-gpu,32,1.073000
split-gpu,33,1.073000
split-gpu,34,1.074000
split-gpu,35,1.077000
split-gpu,36,1.075000
split-gpu,37,1.074000
split-gpu,38,1.074000
split-gpu,39,1.073000
split-gpu,40,1.077000
split-gpu,41,1.073000
split-gpu,42,1.072000
split-gpu,43,1.074000
split-gpu,44,1.074000
split-gpu,45,1.074000
split-gpu,46,1.075000
split-gpu,47,1.074000
split-gpu,48,1.074000
split-gpu,49,1.075000
split-gpu,50,1.076000
split-gpu,51,1.074000
split-gpu,52,1.074000
split-gpu,53,1.074000
split-gpu,54,1.076000
split-gpu,55,1.076000
split-gpu,56,1.076000
split-gpu,57,1.070000
split-gpu,58,1.072000
split-gpu,59,1.071000
split-gpu,60,1.072000
split-gpu,61,1.072000
split-gpu,62,1.072000
split-gpu,63,1.073000
split-gpu,64,1.071000
split-gpu,65,1.071000
split-gpu,66,1.071000
split-gpu,67,1.069000
split-gpu,68,1.072000
split-gpu,69,1.073000
split-gpu,70,1.072000
split-gpu,71,1.073000
split-gpu,72,1.071000
split-gpu,73,1.073000
split-gpu,74,1.070000
split-gpu,75,1.070000
split-gpu,76,1.072000
split-gpu,77,1.073000
split-gpu,78,1.072000
split-gpu,79,1.071000
split-gpu,80,1.073000
split-gpu,81,1.072000
split-gpu,82,1.070000
split-gpu,83,1.074000
split-gpu,84,1.070000
split-gpu,85,1.071000
split-gpu,86,1.071000
split-gpu,87,1.071000
split-gpu,88,1.069000
split-gpu,89,1.073000
split-gpu,90,1.070000
split-gpu,91,1.071000
split-gpu,92,1.069000
split-gpu,93,1.071000
split-gpu,94,1.074000
split-gpu,95,1.073000
split-gpu,96,1.070000
split-gpu,97,1.070000
split-gpu,98,1.070000
split-gpu,99,1.072000
split-gpu,100,1.073000
