n_arrays,run,ms,gbps
5,32,5.499564,488.10
5,33,5.647027,475.36
5,34,5.537396,484.77
5,35,5.648037,475.27
5,36,5.594546,479.82
5,37,5.604587,478.96
5,38,5.494046,488.59
5,39,5.605336,478.89
5,40,5.518395,486.44
5,41,5.500126,488.05
5,42,5.498596,488.19
5,43,5.675427,472.98
5,44,5.498626,488.19
5,45,5.564477,482.41
5,46,5.537876,484.73
5,47,5.519925,486.30
5,48,5.507386,487.41
5,49,5.551866,483.50
10,0,10.936300,490.91
10,1,11.067782,485.08
10,2,10.968671,489.46
10,3,11.115852,482.98
10,4,10.954450,490.09
10,5,11.149232,481.53
10,6,11.033262,486.59
10,7,10.932942,491.06
10,8,10.897751,492.64
10,9,10.945119,490.51
10,10,10.977671,489.06
10,11,10.961781,489.77
10,12,11.135592,482.12
10,13,10.984090,488.77
10,14,11.178663,480.26
10,15,10.969422,489.42
10,16,11.212072,478.83
10,17,10.955290,490.06
10,18,10.985461,488.71
10,19,10.984832,488.74
10,20,10.966461,489.56
10,21,10.957411,489.96
10,22,10.988191,488.59
10,23,10.952751,490.17
10,24,11.092912,483.98
10,25,10.937170,490.87
10,26,11.033752,486.57
10,27,10.981132,488.90
10,28,11.018841,487.23
10,29,11.022411,487.07
10,30,11.012722,487.50
10,31,11.129362,482.39
10,32,11.175741,480.39
10,33,10.969101,489.44
10,34,10.988992,488.55
10,35,11.028882,486.79
10,36,11.092581,483.99
10,37,10.972441,489.29
10,38,11.072132,484.88
10,39,10.920491,491.62
10,40,10.928130,491.27
10,41,10.926501,491.35
10,42,10.913341,491.94
10,43,10.924191,491.45
10,44,10.945149,490.51
10,45,10.927041,491.32
10,46,10.934842,490.97
10,47,10.957012,489.98
10,48,10.998670,488.12
10,49,10.953592,490.13
15,0,16.422236,490.38
15,1,16.560688,486.28
15,2,16.638258,484.01
15,3,16.432646,490.06
15,4,16.416707,490.54
15,5,16.538046,486.94
15,6,16.440068,489.84
15,7,16.422047,490.38
15,8,16.399105,491.07
15,9,16.508187,487.82
15,10,16.527507,487.25
15,11,16.388396,491.39
15,12,16.568578,486.04
15,13,16.459406,489.27
15,14,16.377207,491.72
15,15,16.402717,490.96
15,16,16.504756,487.92
15,17,16.491988,488.30
15,18,16.401087,491.01
15,19,16.402465,490.97
15,20,16.464427,489.12
15,21,16.467788,489.02
15,22,16.409965,490.74
15,23,16.469687,488.96
15,24,16.412996,490.65
15,25,16.653128,483.58
15,26,16.392767,491.26
15,27,16.374545,491.80
15,28,16.399597,491.05
15,29,16.384397,491.51
15,30,16.421386,490.40
15,31,16.460148,489.25
15,32,16.541938,486.83
15,33,16.389755,491.35
15,34,16.526107,487.29
15,35,16.651096,483.64
15,36,16.419747,490.45
15,37,16.517367,487.55
15,38,16.480575,488.64
15,39,16.407197,490.83
15,40,16.452167,489.48
15,41,16.315635,493.58
15,42,16.318726,493.49
15,43,16.361176,492.21
15,44,16.359186,492.27
15,45,16.382657,491.56
15,46,16.507655,487.84
15,47,16.555637,486.42
15,48,16.388457,491.39
15,49,16.487436,488.44
20,0,21.932392,489.57
20,1,21.852573,491.36
20,2,21.841061,491.62
20,3,21.903243,490.22
20,4,22.073062,486.45
20,5,21.996883,488.13
20,6,21.858351,491.23
20,7,21.829683,491.87
20,8,21.895741,490.39
20,9,21.810983,492.29
20,10,21.833201,491.79
20,11,21.865393,491.07
20,12,21.887481,490.57
20,13,21.854043,491.32
20,14,21.968121,488.77
20,15,22.025043,487.51
20,16,22.046602,487.03
20,17,21.800943,492.52
20,18,21.807811,492.37
20,19,21.855023,491.30
20,20,22.000283,488.06
20,21,22.019463,487.63
20,22,21.999704,488.07
20,23,21.986072,488.37
20,24,21.979673,488.52
20,25,22.108193,485.68
20,26,21.750052,493.67
20,27,21.810010,492.32
20,28,21.810403,492.31
20,29,21.873471,490.89
20,30,21.753862,493.59
20,31,21.759470,493.46
20,32,22.034773,487.29
20,33,21.963312,488.88
20,34,21.889533,490.53
20,35,21.833981,491.78
20,36,21.984563,488.41
20,37,21.972751,488.67
20,38,21.773302,493.15
20,39,21.861221,491.16
20,40,21.938963,489.42
20,41,22.038032,487.22
20,42,21.892523,490.46
20,43,21.847811,491.46
20,44,21.860783,491.17
20,45,22.046153,487.04
20,46,21.869932,490.97
20,47,21.829083,491.89
20,48,22.092722,486.02
20,49,22.009494,487.85
