P,layout,run,ms,gbps
3,SoA,63,13.299417,645.89
3,SoA,64,13.348908,643.49
3,SoA,65,13.317677,645.00
3,SoA,66,13.325218,644.63
3,SoA,67,13.319958,644.89
3,SoA,68,13.306997,645.52
3,SoA,69,13.305327,645.60
3,SoA,70,13.324667,644.66
3,SoA,71,13.799830,622.46
3,SoA,72,13.330427,644.38
3,SoA,73,13.356537,643.12
3,SoA,74,13.276547,647.00
3,SoA,75,13.327027,644.55
3,SoA,76,13.353078,643.29
3,SoA,77,13.347889,643.54
3,SoA,78,13.333687,644.23
3,SoA,79,13.318257,644.97
3,SoA,80,13.305278,645.60
3,SoA,81,13.309137,645.41
3,SoA,82,13.348008,643.53
3,SoA,83,13.334328,644.19
3,SoA,84,13.349938,643.44
3,SoA,85,13.307067,645.51
3,SoA,86,13.671109,628.33
3,SoA,87,13.316727,645.05
3,SoA,88,13.360877,642.91
3,SoA,89,13.368107,642.57
3,SoA,90,13.324367,644.68
3,SoA,91,13.289837,646.35
3,SoA,92,13.322778,644.75
3,SoA,93,13.305817,645.57
3,SoA,94,13.348278,643.52
3,SoA,95,13.316088,645.08
3,SoA,96,13.289457,646.37
3,SoA,97,13.573659,632.84
3,SoA,98,13.824419,621.36
3,SoA,99,13.341357,643.86
3,AoSoA-2,0,12.799384,671.12
3,AoSoA-2,1,12.782824,671.99
3,AoSoA-2,2,12.774575,672.42
3,AoSoA-2,3,12.786765,671.78
3,AoSoA-2,4,12.756655,673.37
3,AoSoA-2,5,12.766634,672.84
3,AoSoA-2,6,12.788744,671.68
3,AoSoA-2,7,12.779113,672.18
3,AoSoA-2,8,12.760204,673.18
3,AoSoA-2,9,12.800555,671.06
3,AoSoA-2,10,12.773573,672.47
3,AoSoA-2,11,12.781694,672.05
3,AoSoA-2,12,12.753984,673.51
3,AoSoA-2,13,12.761525,673.11
3,AoSoA-2,14,12.770994,672.61
3,AoSoA-2,15,12.778423,672.22
3,AoSoA-2,16,12.790773,671.57
3,AoSoA-2,17,12.759694,673.21
3,AoSoA-2,18,12.778544,672.21
3,AoSoA-2,19,12.794355,671.38
3,AoSoA-2,20,12.756794,673.36
3,AoSoA-2,21,12.794024,671.40
3,AoSoA-2,22,12.809883,670.57
3,AoSoA-2,23,12.757574,673.32
3,AoSoA-2,24,12.751874,673.62
3,AoSoA-2,25,12.778355,672.22
3,AoSoA-2,26,12.763004,673.03
3,AoSoA-2,27,12.769964,672.66
3,AoSoA-2,28,12.788783,671.67
3,AoSoA-2,29,12.767803,672.78
3,AoSoA-2,30,12.774814,672.41
3,AoSoA-2,31,12.769195,672.71
3,AoSoA-2,32,12.751334,673.65
3,AoSoA-2,33,12.758604,673.26
3,AoSoA-2,34,12.790333,671.59
3,AoSoA-2,35,12.758953,673.25
3,AoSoA-2,36,12.760994,673.14
3,AoSoA-2,37,12.779805,672.15
3,AoSoA-2,38,12.795695,671.31
3,AoSoA-2,39,12.762515,673.06
3,AoSoA-2,40,12.779364,672.17
3,AoSoA-2,41,12.804004,670.88
3,AoSoA-2,42,12.779513,672.16
3,AoSoA-2,43,12.790474,671.59
3,AoSoA-2,44,12.792645,671.47
3,AoSoA-2,45,12.772454,672.53
3,AoSoA-2,46,12.771884,672.56
3,AoSoA-2,47,12.809353,670.60
3,AoSoA-2,48,12.756324,673.38
3,AoSoA-2,49,12.779804,672.15
3,AoSoA-2,50,12.852565,668.34
3,AoSoA-2,51,12.825145,669.77
3,AoSoA-2,52,12.737444,674.38
3,AoSoA-2,53,12.833994,669.31
3,AoSoA-2,54,12.780033,672.13
3,AoSoA-2,55,12.744034,674.03
3,AoSoA-2,56,12.763114,673.03
3,AoSoA-2,57,12.766335,672.86
3,AoSoA-2,58,12.782795,671.99
3,AoSoA-2,59,12.771445,672.59
3,AoSoA-2,60,12.774055,672.45
3,AoSoA-2,61,12.738225,674.34
3,AoSoA-2,62,12.783934,671.93
3,AoSoA-2,63,12.776864,672.30
3,AoSoA-2,64,12.762864,673.04
3,AoSoA-2,65,12.750005,673.72
3,AoSoA-2,66,12.783695,671.94
3,AoSoA-2,67,12.747184,673.87
3,AoSoA-2,68,12.756474,673.38
3,AoSoA-2,69,12.774683,672.42
3,AoSoA-2,70,12.772794,672.52
3,AoSoA-2,71,12.772894,672.51
3,AoSoA-2,72,12.777125,672.29
3,AoSoA-2,73,12.752704,673.57
3,AoSoA-2,74,12.771315,672.59
3,AoSoA-2,75,12.782054,672.03
3,AoSoA-2,76,12.764294,672.96
3,AoSoA-2,77,12.759483,673.22
3,AoSoA-2,78,12.773224,672.49
3,AoSoA-2,79,12.794145,671.39
3,AoSoA-2,80,12.749434,673.75
3,AoSoA-2,81,12.772774,672.52
3,AoSoA-2,82,12.799664,671.10
3,AoSoA-2,83,12.764264,672.96
3,AoSoA-2,84,12.777364,672.27
3,AoSoA-2,85,12.780674,672.10
3,AoSoA-2,86,12.763765,672.99
3,AoSoA-2,87,12.782344,672.01
3,AoSoA-2,88,12.785764,671.83
3,AoSoA-2,89,12.754504,673.48
3,AoSoA-2,90,12.764094,672.97
3,AoSoA-2,91,12.793365,671.43
3,AoSoA-2,92,12.746525,673.90
3,AoSoA-2,93,12.754314,673.49
3,AoSoA-2,94,12.774093,672.45
3,AoSoA-2,95,12.776973,672.30
3,AoSoA-2,96,12.759544,673.21
3,AoSoA-2,97,12.784485,671.90
3,AoSoA-2,98,12.768324,672.75
3,AoSoA-2,99,12.779634,672.16
3,AoSoA-4,0,12.779974,672.14
3,AoSoA-4,1,12.765204,672.92
3,AoSoA-4,2,12.783104,671.97
3,AoSoA-4,3,12.784645,671.89
3,AoSoA-4,4,12.775704,672.36
3,AoSoA-4,5,12.831745,669.43
3,AoSoA-4,6,12.786533,671.79
3,AoSoA-4,7,12.805093,670.82
3,AoSoA-4,8,12.857434,668.09
3,AoSoA-4,9,12.792294,671.49
3,AoSoA-4,10,12.773935,672.46
3,AoSoA-4,11,12.760975,673.14
3,AoSoA-4,12,12.770474,672.64
3,AoSoA-4,13,12.789564,671.63
3,AoSoA-4,14,12.753794,673.52
3,AoSoA-4,15,12.777775,672.25
3,AoSoA-4,16,12.776615,672.31
3,AoSoA-4,17,12.759284,673.23
