device,layout,run,ms,gbps
CPU,AoS,0,22.736342,188.90
CPU,AoS,1,22.699191,189.21
CPU,AoS,2,22.682342,189.35
CPU,AoS,3,22.422211,191.55
CPU,AoS,4,22.168919,193.74
CPU,AoS,5,21.462716,200.11
CPU,AoS,6,21.552287,199.28
CPU,AoS,7,21.546558,199.33
CPU,AoS,8,21.476467,199.98
CPU,AoS,9,21.431397,200.41
CPU,AoS,10,20.821263,206.28
CPU,AoS,11,20.802945,206.46
CPU,AoS,12,20.797903,206.51
CPU,AoS,13,20.884665,205.65
CPU,AoS,14,20.465403,209.86
CPU,AoS,15,20.405171,210.48
CPU,AoS,16,20.402513,210.51
CPU,AoS,17,20.320412,211.36
CPU,AoS,18,20.191422,212.71
CPU,AoS,19,20.420502,210.33
CPU,AoS,20,20.450493,210.02
CPU,AoS,21,20.714973,207.34
CPU,AoS,22,20.684273,207.64
CPU,AoS,23,20.686594,207.62
CPU,AoS,24,20.846934,206.02
CPU,AoS,25,20.762214,206.86
CPU,AoS,26,20.769934,206.79
CPU,AoS,27,20.727073,207.22
CPU,AoS,28,20.422973,210.30
CPU,AoS,29,20.741743,207.07
CPU,AoS,30,20.698314,207.50
CPU,AoS,31,20.818945,206.30
CPU,AoS,32,20.965675,204.86
CPU,AoS,33,20.796923,206.52
CPU,AoS,34,20.294023,211.64
CPU,AoS,35,19.866429,216.19
CPU,AoS,36,20.365563,210.89
CPU,AoS,37,20.452282,210.00
CPU,AoS,38,20.537193,209.13
CPU,AoS,39,20.515303,209.35
CPU,AoS,40,20.460653,209.91
CPU,AoS,41,20.611483,208.38
CPU,AoS,42,20.512732,209.38
CPU,AoS,43,20.699564,207.49
CPU,AoS,44,20.738753,207.10
CPU,AoS,45,20.680854,207.68
CPU,AoS,46,20.670403,207.78
CPU,AoS,47,20.657204,207.92
CPU,AoS,48,20.640693,208.08
CPU,AoS,49,20.393662,210.60
CPU,AoS,50,20.490423,209.61
CPU,AoS,51,20.718783,207.30
CPU,AoS,52,20.678334,207.70
CPU,AoS,53,20.685954,207.63
CPU,AoS,54,20.674763,207.74
CPU,AoS,55,20.637084,208.12
CPU,AoS,56,20.411003,210.42
CPU,AoS,57,20.510162,209.41
CPU,AoS,58,20.711074,207.38
CPU,AoS,59,20.726413,207.22
CPU,AoS,60,20.684524,207.64
CPU,AoS,61,20.683664,207.65
CPU,AoS,62,20.659093,207.90
CPU,AoS,63,20.693244,207.55
CPU,AoS,64,20.405381,210.48
CPU,AoS,65,20.396873,210.57
CPU,AoS,66,20.435212,210.17
CPU,AoS,67,20.705774,207.43
CPU,AoS,68,20.703954,207.45
CPU,AoS,69,20.802743,206.46
CPU,AoS,70,20.815585,206.33
CPU,AoS,71,20.765323,206.83
CPU,AoS,72,20.526553,209.24
CPU,AoS,73,20.472453,209.79
CPU,AoS,74,20.697753,207.51
CPU,AoS,75,20.785475,206.63
CPU,AoS,76,20.826293,206.23
CPU,AoS,77,20.813954,206.35
CPU,AoS,78,20.682085,207.67
CPU,AoS,79,20.436962,210.16
CPU,AoS,80,20.735953,207.13
CPU,AoS,81,20.640973,208.08
CPU,AoS,82,21.084735,203.70
CPU,AoS,83,20.798324,206.51
CPU,AoS,84,20.827994,206.21
CPU,AoS,85,20.742074,207.07
CPU,AoS,86,20.685204,207.63
CPU,AoS,87,20.771573,206.77
CPU,AoS,88,20.520833,209.30
CPU,AoS,89,20.739174,207.09
CPU,AoS,90,20.737033,207.12
CPU,AoS,91,20.712924,207.36
CPU,AoS,92,20.751923,206.97
CPU,AoS,93,20.653844,207.95
CPU,AoS,94,20.421352,210.32
CPU,AoS,95,20.518703,209.32
CPU,AoS,96,20.711304,207.37
CPU,AoS,97,20.744233,207.04
CPU,AoS,98,21.121486,203.35
CPU,AoS,99,20.831964,206.17
CPU,SoA,0,9.845790,436.22
CPU,SoA,1,9.594858,447.63
CPU,SoA,2,9.449148,454.53
CPU,SoA,3,9.217467,465.96
CPU,SoA,4,9.051787,474.49
CPU,SoA,5,8.949696,479.90
CPU,SoA,6,8.851156,485.24
CPU,SoA,7,8.756165,490.51
CPU,SoA,8,8.732065,491.86
CPU,SoA,9,8.657715,496.09
CPU,SoA,10,8.443314,508.68
CPU,SoA,11,8.379584,512.55
CPU,SoA,12,8.238223,521.35
CPU,SoA,13,8.169853,525.71
CPU,SoA,14,8.190883,524.36
CPU,SoA,15,8.099313,530.29
CPU,SoA,16,8.078842,531.63
CPU,SoA,17,8.072543,532.05
CPU,SoA,18,8.056513,533.10
CPU,SoA,19,8.099112,530.30
CPU,SoA,20,8.066203,532.46
CPU,SoA,21,8.022632,535.36
CPU,SoA,22,8.032913,534.67
CPU,SoA,23,8.013212,535.99
CPU,SoA,24,7.989432,537.58
CPU,SoA,25,7.974802,538.57
CPU,SoA,26,8.009903,536.21
CPU,SoA,27,8.002552,536.70
CPU,SoA,28,7.990312,537.52
CPU,SoA,29,7.983942,537.95
CPU,SoA,30,7.972453,538.73
CPU,SoA,31,8.003522,536.63
CPU,SoA,32,8.040342,534.18
CPU,SoA,33,8.009873,536.21
CPU,SoA,34,8.034942,534.54
CPU,SoA,35,8.032883,534.67
CPU,SoA,36,8.012842,536.01
CPU,SoA,37,8.012502,536.03
CPU,SoA,38,7.991823,537.42
CPU,SoA,39,8.008752,536.28
CPU,SoA,40,8.000692,536.82
CPU,SoA,41,8.151533,526.89
CPU,SoA,42,8.153493,526.76
CPU,SoA,43,8.149393,527.03
CPU,SoA,44,8.155383,526.64
CPU,SoA,45,8.136473,527.87
CPU,SoA,46,8.173833,525.45
CPU,SoA,47,8.146703,527.20
CPU,SoA,48,8.125372,528.59
CPU,SoA,49,8.109903,529.60
CPU,SoA,50,8.123723,528.69
CPU,SoA,51,8.138243,527.75
CPU,SoA,52,8.118323,529.05
CPU,SoA,53,8.104612,529.94
CPU,SoA,54,8.090763,530.85
CPU,SoA,55,8.107923,529.72
CPU,SoA,56,8.119533,528.97
CPU,SoA,57,8.118133,529.06
CPU,SoA,58,8.115943,529.20
CPU,SoA,59,8.297173,517.64
CPU,SoA,60,8.294123,517.83
CPU,SoA,61,8.393364,511.71
CPU,SoA,62,8.327284,515.77
CPU,SoA,63,8.320524,516.19
CPU,SoA,64,8.259753,519.99
CPU,SoA,65,8.345234,514.66
CPU,SoA,66,8.602285,499.28
CPU,SoA,67,8.418594,510.18
CPU,SoA,68,8.335793,515.24
CPU,SoA,69,8.244794,520.93
CPU,SoA,70,8.193493,524.19
