5pt,global,16384,100,32,8,1,1,0,0,0.001353,992.124,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,1,0.001352,993.087,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,2,0.001348,995.468,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,3,0.001352,992.993,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,4,0.001348,995.539,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,5,0.001351,993.181,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,6,0.001347,996.059,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,7,0.001351,993.322,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,8,0.001346,996.958,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,9,0.001351,993.464,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,10,0.001347,996.579,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,11,0.001351,993.628,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,12,0.001346,997.290,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,13,0.001350,993.934,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,14,0.001346,997.338,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,15,0.001349,994.901,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,16,0.001347,996.106,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,17,0.001349,995.255,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,18,0.001347,996.745,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,19,0.001347,996.272,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,20,0.001345,997.551,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,21,0.001348,995.633,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,22,0.001347,996.224,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,23,0.001348,996.035,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,24,0.001345,998.264,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,25,0.001348,995.491,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,26,0.001346,997.480,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,27,0.001349,994.594,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,28,0.001345,998.216,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,29,0.001349,995.279,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,30,0.001345,998.121,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,31,0.001349,995.255,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,32,0.001345,998.097,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,33,0.001347,996.248,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,34,0.001345,998.145,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,35,0.001347,996.295,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,36,0.001346,997.243,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,37,0.001347,996.082,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,38,0.001347,996.319,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,39,0.001348,995.468,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,40,0.001347,996.532,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,41,0.001349,995.137,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,42,0.001348,995.917,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,43,0.001349,995.232,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,44,0.001346,997.338,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,45,0.001350,994.547,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,46,0.001346,997.006,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,47,0.001349,994.594,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,48,0.001346,997.361,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,49,0.001350,994.217,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,50,0.001347,996.248,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,51,0.001349,994.878,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,52,0.001346,997.290,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,53,0.001352,992.852,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,54,0.001347,996.698,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,55,0.001351,993.628,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,56,0.001346,997.053,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,57,0.001351,993.487,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,58,0.001348,995.491,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,59,0.001350,994.241,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,60,0.001347,996.319,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,61,0.001351,993.464,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,62,0.001348,995.350,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,63,0.001350,994.382,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,64,0.001347,996.437,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,65,0.001349,994.642,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,66,0.001349,995.043,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,67,0.001350,994.429,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,68,0.001348,995.775,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,69,0.001350,994.194,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,70,0.001349,995.090,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,71,0.001349,995.137,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,72,0.001347,996.153,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,73,0.001350,994.571,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,74,0.001347,996.153,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,75,0.001350,994.146,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,76,0.001346,997.267,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,77,0.001350,994.029,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,78,0.001346,996.840,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,79,0.001351,993.675,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,80,0.001347,996.532,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,81,0.001350,993.864,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,82,0.001347,996.627,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,83,0.001350,994.005,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,84,0.001346,997.053,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,85,0.001351,993.534,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,86,0.001348,995.846,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,87,0.001352,993.087,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,88,0.001348,995.893,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,89,0.001351,993.605,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,90,0.001349,995.255,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,91,0.001350,993.958,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,92,0.001349,994.665,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,93,0.001351,993.675,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,94,0.001349,994.948,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,95,0.001350,994.335,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,96,0.001348,995.326,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,97,0.001350,994.052,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,98,0.001349,995.043,1.099914e+12
5pt,global,16384,100,32,8,1,1,0,99,0.001350,993.958,1.099914e+12
