variant,N,tsteps,BX,BY,TX,TY,PAD,time_s,gflops,eff_bw_gbs,pct_attainable,pct_peak_bw,checksum
smem_pad,16384,100,16,16,1,2,1,0.179142,749.225,2398.1,64.5,64.5,1.099914e+12
smem_pad,16384,100,16,16,1,2,2,0.179635,747.167,2391.5,64.4,64.4,1.099914e+12
smem_swap,16384,100,16,16,1,2,0,0.178337,752.606,2408.9,64.8,64.8,1.099914e+12
global,16384,100,16,8,2,2,0,0.150160,893.831,2861.0,77.0,77.0,1.099914e+12
smem,16384,100,16,8,2,2,0,0.162228,827.341,2648.1,71.3,71.3,1.099914e+12
smem_pad,16384,100,16,8,2,2,1,0.163167,822.579,2632.9,70.9,70.9,1.099914e+12
smem_pad,16384,100,16,8,2,2,2,0.162915,823.851,2637.0,71.0,71.0,1.099914e+12
smem_swap,16384,100,16,8,2,2,0,0.166657,805.354,2577.8,69.4,69.4,1.099914e+12
global,16384,100,32,4,2,2,0,0.139141,964.616,3087.5,83.1,83.1,1.099914e+12
smem,16384,100,32,4,2,2,0,0.163594,820.431,2626.0,70.7,70.7,1.099914e+12
smem_pad,16384,100,32,4,2,2,1,0.163914,818.830,2620.9,70.5,70.5,1.099914e+12
smem_pad,16384,100,32,4,2,2,2,0.164260,817.106,2615.4,70.4,70.4,1.099914e+12
smem_swap,16384,100,32,4,2,2,0,0.163856,819.122,2621.8,70.6,70.6,1.099914e+12
global,16384,100,32,8,4,1,0,0.185282,724.397,2318.6,62.4,62.4,1.099914e+12
smem,16384,100,32,8,4,1,0,0.240869,557.222,1783.5,48.0,48.0,1.099914e+12
smem_pad,16384,100,32,8,4,1,1,0.241390,556.021,1779.7,47.9,47.9,1.099914e+12
smem_pad,16384,100,32,8,4,1,2,0.240825,557.324,1783.9,48.0,48.0,1.099914e+12
smem_swap,16384,100,32,8,4,1,0,0.240856,557.253,1783.6,48.0,48.0,1.099914e+12
global,16384,100,16,16,4,1,0,0.192730,696.403,2229.0,60.0,60.0,1.099914e+12
smem,16384,100,16,16,4,1,0,0.240866,557.231,1783.6,48.0,48.0,1.099914e+12
smem_pad,16384,100,16,16,4,1,1,0.241119,556.644,1781.7,48.0,48.0,1.099914e+12
smem_pad,16384,100,16,16,4,1,2,0.240806,557.368,1784.0,48.0,48.0,1.099914e+12
smem_swap,16384,100,16,16,4,1,0,0.240751,557.495,1784.4,48.0,48.0,1.099914e+12
global,16384,100,32,8,1,4,0,0.127355,1053.885,3373.3,90.8,90.8,1.099914e+12
smem,16384,100,32,8,1,4,0,0.141071,951.421,3045.3,82.0,82.0,1.099914e+12
smem_pad,16384,100,32,8,1,4,1,0.136800,981.121,3140.4,84.5,84.5,1.099914e+12
smem_pad,16384,100,32,8,1,4,2,0.136132,985.941,3155.8,84.9,84.9,1.099914e+12
smem_swap,16384,100,32,8,1,4,0,0.140135,957.772,3065.6,82.5,82.5,1.099914e+12
global,16384,100,16,8,4,2,0,0.196171,684.188,2189.9,58.9,58.9,1.099914e+12
smem,16384,100,16,8,4,2,0,0.245618,546.450,1749.1,47.1,47.1,1.099914e+12
smem_pad,16384,100,16,8,4,2,1,0.245734,546.192,1748.2,47.0,47.0,1.099914e+12
smem_pad,16384,100,16,8,4,2,2,0.245790,546.067,1747.8,47.0,47.0,1.099914e+12
smem_swap,16384,100,16,8,4,2,0,0.264763,506.936,1622.6,43.7,43.7,1.099914e+12
global,16384,100,32,8,4,4,0,0.185351,724.126,2317.8,62.4,62.4,1.099914e+12
smem,16384,100,32,8,4,4,0,0.244755,548.375,1755.2,47.2,47.2,1.099914e+12
smem_pad,16384,100,32,8,4,4,1,0.245043,547.732,1753.2,47.2,47.2,1.099914e+12
smem_pad,16384,100,32,8,4,4,2,0.244944,547.952,1753.9,47.2,47.2,1.099914e+12
smem_swap,16384,100,32,8,4,4,0,0.306628,437.722,1401.1,37.7,37.7,1.099914e+12
