stencil,variant,N,tsteps,BX,BY,TX,TY,PAD,med_time_s,std_time_s,min_gflops,med_gflops,max_gflops,eff_bw_gbs,pct_attainable,pct_peak_bw
box3,smem_swap,16384,100,32,8,2,1,0,0.001868,0.000016,1260.96,1293.61,1327.66,2299.8,61.8,61.8
box3,global,16384,100,16,16,2,1,0,0.001795,0.000015,1332.82,1346.31,1382.81,2394.0,64.3,64.3
box3,smem,16384,100,16,16,2,1,0,0.002132,0.000015,1116.64,1133.26,1158.20,2015.0,54.1,54.1
box3,smem_pad,16384,100,16,16,2,1,1,0.002062,0.000033,1170.14,1171.81,1223.17,2083.4,56.0,56.0
box3,smem_pad,16384,100,16,16,2,1,2,0.002178,0.000012,1085.92,1109.06,1126.95,1972.5,53.0,53.0
box3,smem_swap,16384,100,16,16,2,1,0,0.002136,0.000011,1112.78,1131.06,1144.27,2011.2,54.0,54.0
box3,global,16384,100,32,4,2,1,0,0.001759,0.000018,1367.63,1373.91,1417.66,2443.0,65.6,65.6
box3,smem,16384,100,32,4,2,1,0,0.001917,0.000035,1252.97,1260.18,1327.55,2241.0,60.2,60.2
box3,smem_pad,16384,100,32,4,2,1,1,0.002087,0.000046,1150.14,1157.47,1235.80,2058.5,55.3,55.3
box3,smem_pad,16384,100,32,4,2,1,2,0.001928,0.000042,1245.05,1253.05,1345.31,2228.2,59.9,59.9
box3,smem_swap,16384,100,32,4,2,1,0,0.001918,0.000036,1252.51,1259.61,1324.75,2239.8,60.2,60.2
box3,global,16384,100,32,8,1,2,0,0.001345,0.000015,1778.21,1796.23,1834.15,3194.1,85.8,85.8
box3,smem,16384,100,32,8,1,2,0,0.001757,0.000029,1367.88,1375.26,1439.44,2445.1,65.7,65.7
box3,smem_pad,16384,100,32,8,1,2,1,0.001767,0.000032,1365.01,1366.96,1442.31,2431.2,65.3,65.3
box3,smem_pad,16384,100,32,8,1,2,2,0.001759,0.000029,1369.52,1373.11,1441.92,2441.6,65.6,65.6
box3,smem_swap,16384,100,32,8,1,2,0,0.001757,0.000028,1373.03,1375.32,1442.19,2445.1,65.7,65.7
box3,global,16384,100,16,16,1,2,0,0.001422,0.000015,1691.71,1699.07,1742.54,3021.1,81.2,81.2
box3,smem,16384,100,16,16,1,2,0,0.001973,0.000011,1219.00,1224.44,1250.62,2177.4,58.5,58.5
box3,smem_pad,16384,100,16,16,1,2,1,0.001952,0.000017,1220.04,1237.89,1260.64,2201.4,59.1,59.1
box3,smem_pad,16384,100,16,16,1,2,2,0.001964,0.000014,1218.15,1230.13,1254.49,2187.4,58.8,58.8
box3,smem_swap,16384,100,16,16,1,2,0,0.001971,0.000012,1219.96,1225.93,1254.11,2179.6,58.6,58.6
box3,global,16384,100,16,8,2,2,0,0.001722,0.000035,1372.11,1403.21,1476.95,2494.8,67.0,67.0
box3,smem,16384,100,16,8,2,2,0,0.001885,0.000022,1278.12,1281.40,1326.40,2279.1,61.2,61.2
box3,smem_pad,16384,100,16,8,2,2,1,0.001894,0.000025,1271.58,1275.42,1328.50,2268.2,60.9,60.9
box3,smem_pad,16384,100,16,8,2,2,2,0.001888,0.000021,1269.78,1279.28,1323.22,2274.8,61.1,61.1
box3,smem_swap,16384,100,16,8,2,2,0,0.001888,0.000029,1275.94,1279.87,1340.37,2275.4,61.1,61.1
box3,global,16384,100,32,4,2,2,0,0.001689,0.000040,1405.13,1430.77,1514.52,2543.5,68.3,68.3
box3,smem,16384,100,32,4,2,2,0,0.001958,0.000024,1227.58,1233.67,1277.17,2194.1,58.9,58.9
box3,smem_pad,16384,100,32,4,2,2,1,0.001972,0.000031,1217.56,1225.26,1279.81,2178.5,58.5,58.5
box3,smem_pad,16384,100,32,4,2,2,2,0.001964,0.000026,1222.23,1230.25,1276.81,2187.4,58.8,58.8
box3,smem_swap,16384,100,32,4,2,2,0,0.001954,0.000028,1231.33,1236.65,1286.29,2198.6,59.1,59.1
box3,global,16384,100,32,4,4,1,0,0.002803,0.000007,844.59,862.05,862.38,1532.6,41.2,41.2
box3,smem,16384,100,32,4,4,1,0,0.002482,0.000006,961.58,973.12,977.33,1730.5,46.5,46.5
box3,smem_pad,16384,100,32,4,4,1,1,0.002880,0.000014,809.29,838.78,839.30,1491.7,40.1,40.1
box3,smem_pad,16384,100,32,4,4,1,2,0.002472,0.000003,969.86,977.36,980.63,1737.9,46.7,46.7
box3,smem_swap,16384,100,32,4,4,1,0,0.002481,0.000006,960.40,973.91,977.69,1731.6,46.5,46.5
box3,global,16384,100,16,8,4,1,0,0.002809,0.000010,839.18,860.16,860.52,1529.4,41.1,41.1
box3,smem,16384,100,16,8,4,1,0,0.002432,0.000003,985.55,993.29,995.54,1766.5,47.5,47.5
box3,smem_pad,16384,100,16,8,4,1,1,0.002850,0.000009,825.28,847.66,848.09,1507.4,40.5,40.5
box3,smem_pad,16384,100,16,8,4,1,2,0.002434,0.000003,985.03,992.47,994.51,1765.0,47.4,47.4
box3,smem_swap,16384,100,16,8,4,1,0,0.002432,0.000003,985.77,993.30,995.59,1766.5,47.5,47.5
box3,global,16384,100,32,4,1,4,0,0.001315,0.000010,1827.10,1837.88,1864.78,3268.2,87.8,87.8
box3,smem,16384,100,32,4,1,4,0,0.001464,0.000080,1530.02,1649.93,1847.67,2934.4,78.8,78.8
box3,smem_pad,16384,100,32,4,1,4,1,0.001498,0.000078,1611.09,1612.66,1837.28,2867.8,77.0,77.0
box3,smem_pad,16384,100,32,4,1,4,2,0.001498,0.000079,1610.82,1612.54,1842.80,2867.8,77.0,77.0
box3,smem_swap,16384,100,32,4,1,4,0,0.001463,0.000072,1576.94,1650.81,1857.85,2936.4,78.9,78.9
box3,global,16384,100,16,4,4,2,0,0.002824,0.000018,827.00,855.30,856.68,1521.0,40.9,40.9
box3,smem,16384,100,16,4,4,2,0,0.002466,0.000006,965.32,979.67,981.68,1742.1,46.8,46.8
box3,smem_pad,16384,100,16,4,4,2,1,0.002467,0.000006,967.47,979.24,981.37,1741.4,46.8,46.8
box3,smem_pad,16384,100,16,4,4,2,2,0.002465,0.000006,966.43,980.23,982.34,1742.8,46.8,46.8
box3,smem_swap,16384,100,16,4,4,2,0,0.002561,0.000008,928.74,943.43,948.78,1677.5,45.1,45.1
box3,global,16384,100,8,8,4,4,0,0.003369,0.000007,712.66,717.08,720.16,1275.2,34.3,34.3
