P,layout,run,ms,gbps
3,SoA,54,0.607648,3534.09
3,SoA,55,0.609120,3525.55
3,SoA,56,0.609312,3524.44
3,SoA,57,0.608128,3531.30
3,SoA,58,0.608864,3527.03
3,SoA,59,0.604672,3551.48
3,SoA,60,0.608672,3528.14
3,SoA,61,0.607552,3534.65
3,SoA,62,0.606816,3538.93
3,SoA,63,0.608832,3527.22
3,SoA,64,0.607584,3534.46
3,SoA,65,0.608640,3528.33
3,SoA,66,0.607328,3535.95
3,SoA,67,0.607680,3533.90
3,SoA,68,0.609216,3524.99
3,SoA,69,0.608224,3530.74
3,SoA,70,0.607744,3533.53
3,SoA,71,0.608192,3530.93
3,SoA,72,0.607712,3533.72
3,SoA,73,0.608352,3530.00
3,SoA,74,0.606464,3540.99
3,SoA,75,0.608384,3529.81
3,SoA,76,0.606880,3538.56
3,SoA,77,0.608352,3530.00
3,SoA,78,0.607936,3532.41
3,SoA,79,0.607360,3535.76
3,SoA,80,0.607520,3534.83
3,SoA,81,0.608480,3529.26
3,SoA,82,0.607104,3537.25
3,SoA,83,0.607936,3532.41
3,SoA,84,0.607968,3532.23
3,SoA,85,0.608128,3531.30
3,SoA,86,0.606912,3538.37
3,SoA,87,0.608608,3528.51
3,SoA,88,0.607840,3532.97
3,SoA,89,0.606976,3538.00
3,SoA,90,0.609664,3522.40
3,SoA,91,0.607680,3533.90
3,SoA,92,0.606848,3538.75
3,SoA,93,0.608704,3527.96
3,SoA,94,0.608288,3530.37
3,SoA,95,0.608160,3531.11
3,SoA,96,0.609344,3524.25
3,SoA,97,0.609664,3522.40
3,SoA,98,0.605440,3546.98
3,SoA,99,0.608288,3530.37
3,AoSoA-2,0,0.864352,2484.50
3,AoSoA-2,1,0.864960,2482.75
3,AoSoA-2,2,0.863744,2486.25
3,AoSoA-2,3,0.861024,2494.10
3,AoSoA-2,4,0.861664,2492.25
3,AoSoA-2,5,0.861632,2492.34
3,AoSoA-2,6,0.860672,2495.12
3,AoSoA-2,7,0.860416,2495.86
3,AoSoA-2,8,0.860992,2494.19
3,AoSoA-2,9,0.863456,2487.08
3,AoSoA-2,10,0.864096,2485.24
3,AoSoA-2,11,0.861536,2492.62
3,AoSoA-2,12,0.860192,2496.51
3,AoSoA-2,13,0.864480,2484.13
3,AoSoA-2,14,0.859584,2498.28
3,AoSoA-2,15,0.862816,2488.92
3,AoSoA-2,16,0.858624,2501.07
3,AoSoA-2,17,0.865056,2482.48
3,AoSoA-2,18,0.858720,2500.79
3,AoSoA-2,19,0.859360,2498.93
3,AoSoA-2,20,0.862400,2490.12
3,AoSoA-2,21,0.857728,2503.69
3,AoSoA-2,22,0.859296,2499.12
3,AoSoA-2,23,0.861216,2493.55
3,AoSoA-2,24,0.862752,2489.11
3,AoSoA-2,25,0.858976,2500.05
3,AoSoA-2,26,0.862720,2489.20
3,AoSoA-2,27,0.862304,2490.40
3,AoSoA-2,28,0.861504,2492.71
3,AoSoA-2,29,0.860256,2496.33
3,AoSoA-2,30,0.860160,2496.61
3,AoSoA-2,31,0.861920,2491.51
3,AoSoA-2,32,0.862304,2490.40
3,AoSoA-2,33,0.857856,2503.31
3,AoSoA-2,34,0.863040,2488.28
3,AoSoA-2,35,0.860192,2496.51
3,AoSoA-2,36,0.860736,2494.94
3,AoSoA-2,37,0.864480,2484.13
3,AoSoA-2,38,0.860256,2496.33
3,AoSoA-2,39,0.860576,2495.40
3,AoSoA-2,40,0.858688,2500.89
3,AoSoA-2,41,0.858848,2500.42
3,AoSoA-2,42,0.859936,2497.26
3,AoSoA-2,43,0.860000,2497.07
3,AoSoA-2,44,0.859808,2497.63
3,AoSoA-2,45,0.861824,2491.79
3,AoSoA-2,46,0.861088,2493.92
3,AoSoA-2,47,0.861920,2491.51
3,AoSoA-2,48,0.864288,2484.68
3,AoSoA-2,49,0.859968,2497.16
3,AoSoA-2,50,0.863008,2488.37
3,AoSoA-2,51,0.862112,2490.95
3,AoSoA-2,52,0.859840,2497.54
3,AoSoA-2,53,0.863392,2487.26
3,AoSoA-2,54,0.859552,2498.37
3,AoSoA-2,55,0.859008,2499.96
3,AoSoA-2,56,0.860576,2495.40
3,AoSoA-2,57,0.861824,2491.79
3,AoSoA-2,58,0.859648,2498.09
3,AoSoA-2,59,0.858656,2500.98
3,AoSoA-2,60,0.861888,2491.60
3,AoSoA-2,61,0.859392,2498.84
3,AoSoA-2,62,0.862368,2490.21
3,AoSoA-2,63,0.860800,2494.75
3,AoSoA-2,64,0.861152,2493.73
3,AoSoA-2,65,0.864480,2484.13
3,AoSoA-2,66,0.865792,2480.37
3,AoSoA-2,67,0.860896,2494.47
3,AoSoA-2,68,0.862304,2490.40
3,AoSoA-2,69,0.859296,2499.12
3,AoSoA-2,70,0.861632,2492.34
3,AoSoA-2,71,0.860032,2496.98
3,AoSoA-2,72,0.860448,2495.77
3,AoSoA-2,73,0.862464,2489.94
3,AoSoA-2,74,0.862464,2489.94
3,AoSoA-2,75,0.861952,2491.42
3,AoSoA-2,76,0.860544,2495.49
3,AoSoA-2,77,0.859968,2497.16
3,AoSoA-2,78,0.863712,2486.34
3,AoSoA-2,79,0.859904,2497.35
3,AoSoA-2,80,0.863840,2485.97
3,AoSoA-2,81,0.862656,2489.38
3,AoSoA-2,82,0.859936,2497.26
3,AoSoA-2,83,0.861952,2491.42
3,AoSoA-2,84,0.862112,2490.95
3,AoSoA-2,85,0.860896,2494.47
3,AoSoA-2,86,0.858176,2502.38
3,AoSoA-2,87,0.859616,2498.19
3,AoSoA-2,88,0.866880,2477.25
3,AoSoA-2,89,0.859840,2497.54
3,AoSoA-2,90,0.859776,2497.72
3,AoSoA-2,91,0.859872,2497.44
3,AoSoA-2,92,0.862880,2488.74
3,AoSoA-2,93,0.859520,2498.47
