P,layout,med_gbps,p5_gbps,p95_gbps,spread_pct,n_base,cycles,instructions,L1D-access,L1D-refill,L1D-writeback,L2D-access,L2D-refill,L2D-writeback,mem-access,bus-access,L1D-TLB-access,L1D-TLB-refill,L2D-TLB-access,L2D-TLB-refill,stall-backend
6,AoSoA-128,1149.01,388.89,1181.87,69.0,22369280,480.376484,3279.804540,1038.003614,0.302645,0.353442,0.739717,0.014257,0.408352,929.909773,1.722191,942.886772,0.000926,0.000971,0.000005,78.064657
6,AoSoA-512,1209.81,322.01,1234.18,75.4,22369280,483.300410,3304.884780,1045.720868,0.245970,0.351741,0.772300,0.025289,0.355007,939.479821,1.597912,953.403493,0.000928,0.000971,0.000006,76.958143
9,AoS,743.59,317.49,749.78,58.1,14913024,753.055687,4935.982001,1564.942708,0.821399,1.019028,2.067196,0.001556,0.923027,1414.528326,3.795727,1428.728690,0.001418,0.001497,0.000008,144.589076
9,SoA,1177.25,500.82,1220.15,61.1,14913024,730.189311,5038.884258,1597.146745,2.264978,1.486956,5.350108,0.008525,0.490679,1436.483245,2.005174,1456.311602,0.001069,0.001124,0.000007,112.465551
9,AoSoA-16,1424.96,311.45,1466.01,81.0,14913024,717.139231,4939.653205,1562.690191,0.485044,0.521710,1.109464,0.005390,0.482323,1411.589699,1.978646,1427.967990,0.001415,0.001467,0.000008,112.117907
9,AoSoA-64,1133.83,445.72,1150.34,62.1,14913024,721.379117,4887.965562,1545.269917,0.459976,0.518832,1.106418,0.017473,0.626100,1400.862995,2.663410,1423.457196,0.001415,0.001463,0.000010,119.597350
9,AoSoA-128,1158.92,488.96,1179.26,59.6,14913024,720.042004,4896.375593,1546.144985,0.444952,0.520523,1.095848,0.022304,0.607350,1396.273342,2.591835,1416.451102,0.001417,0.001469,0.000008,118.417193
9,AoSoA-512,1225.63,332.07,1241.34,74.2,14913024,720.740936,4932.130265,1555.604005,0.352181,0.520578,1.159244,0.039519,0.532416,1412.959236,2.383296,1434.487358,0.001411,0.001447,0.000009,114.304650
12,AoS,738.22,346.92,746.17,54.1,11184640,1019.094880,6696.104149,2108.090612,1.104945,1.336868,2.757514,0.002079,1.244700,1917.976059,5.104361,1943.595630,0.001918,0.001991,0.000010,196.002698
12,SoA,1402.53,828.54,1428.79,42.8,11184640,965.468237,6671.851384,2105.943217,4.135364,2.635687,9.264433,0.015765,0.656510,1922.441157,2.679090,1957.277203,0.001481,0.001551,0.000013,146.786120
