layout,run,ms,gbps
SoA,45,1.178026,1822.95
SoA,46,1.157045,1856.01
SoA,47,1.150846,1866.00
SoA,48,1.150846,1866.00
SoA,49,1.215935,1766.12
SoA,50,2.499819,859.06
SoA,51,1.156092,1857.54
SoA,52,1.150846,1866.00
SoA,53,1.153946,1860.99
SoA,54,1.192093,1801.44
SoA,55,1.158953,1852.95
SoA,56,1.151085,1865.62
SoA,57,1.155138,1859.07
SoA,58,1.153946,1860.99
SoA,59,3.489017,615.50
SoA,60,1.170874,1834.09
SoA,61,1.151085,1865.62
SoA,62,1.157045,1856.01
SoA,63,1.146078,1873.77
SoA,64,1.143932,1877.28
SoA,65,2.300978,933.29
SoA,66,1.147032,1872.21
SoA,67,1.184940,1812.31
SoA,68,1.163960,1844.98
SoA,69,1.157999,1854.48
SoA,70,1.158953,1852.95
SoA,71,1.150846,1866.00
SoA,72,1.153946,1860.99
SoA,73,1.172066,1832.22
SoA,74,1.156807,1856.39
SoA,75,1.579046,1359.99
SoA,76,1.163006,1846.49
SoA,77,1.150131,1867.16
SoA,78,1.151085,1865.62
SoA,79,1.157999,1854.48
SoA,80,1.145840,1874.16
SoA,81,1.143932,1877.28
SoA,82,1.165867,1841.96
SoA,83,1.141787,1880.81
SoA,84,1.162052,1848.01
SoA,85,1.185179,1811.95
SoA,86,1.155138,1859.07
SoA,87,1.153946,1860.99
SoA,88,1.147985,1870.65
SoA,89,1.151085,1865.62
SoA,90,1.151085,1865.62
SoA,91,1.191854,1801.80
SoA,92,1.147985,1870.65
SoA,93,1.140833,1882.38
SoA,94,1.152992,1862.53
SoA,95,1.151085,1865.62
SoA,96,30.719042,69.91
SoA,97,1.213074,1770.28
SoA,98,1.162052,1848.01
SoA,99,1.204014,1783.60
AoSoA-2,0,2.544165,844.08
AoSoA-2,1,2.555847,840.22
AoSoA-2,2,2.635002,814.98
AoSoA-2,3,2.547979,842.82
AoSoA-2,4,2.544880,843.84
AoSoA-2,5,2.615929,820.93
AoSoA-2,6,2.530098,848.77
AoSoA-2,7,2.547979,842.82
AoSoA-2,8,2.624989,818.09
AoSoA-2,9,2.555132,840.46
AoSoA-2,10,2.523184,851.10
AoSoA-2,11,3.786087,567.20
AoSoA-2,12,2.548933,842.50
AoSoA-2,13,2.573013,834.62
AoSoA-2,14,2.545834,843.53
AoSoA-2,15,2.539873,845.51
AoSoA-2,16,2.565861,836.94
AoSoA-2,17,2.536058,846.78
AoSoA-2,18,2.552986,841.17
AoSoA-2,19,5.340099,402.14
AoSoA-2,20,2.550125,842.11
AoSoA-2,21,2.542019,844.79
AoSoA-2,22,2.547026,843.13
AoSoA-2,23,2.538919,845.83
AoSoA-2,24,2.520084,852.15
AoSoA-2,25,2.530098,848.77
AoSoA-2,26,2.518177,852.79
AoSoA-2,27,2.523899,850.86
AoSoA-2,28,2.530098,848.77
AoSoA-2,29,2.522945,851.18
AoSoA-2,30,2.516985,853.20
AoSoA-2,31,2.518892,852.55
AoSoA-2,32,2.532005,848.14
AoSoA-2,33,2.582073,831.69
AoSoA-2,34,2.556801,839.91
AoSoA-2,35,2.537966,846.14
AoSoA-2,36,2.518892,852.55
AoSoA-2,37,2.521038,851.83
AoSoA-2,38,2.532959,847.82
AoSoA-2,39,2.525091,850.46
AoSoA-2,40,2.513885,854.25
AoSoA-2,41,4.738092,453.24
AoSoA-2,42,2.517939,852.87
AoSoA-2,43,2.513885,854.25
AoSoA-2,44,2.542973,844.48
AoSoA-2,45,3.414869,628.86
AoSoA-2,46,2.531052,848.46
AoSoA-2,47,2.546072,843.45
AoSoA-2,48,2.525806,850.22
AoSoA-2,49,2.532005,848.14
AoSoA-2,50,2.525091,850.46
AoSoA-2,51,2.509832,855.63
AoSoA-2,52,2.507925,856.28
AoSoA-2,53,2.511978,854.90
