P,layout,run,ms,gbps
3,SoA,54,0.314176,3417.64
3,SoA,55,0.313216,3428.12
3,SoA,56,0.312064,3440.77
3,SoA,57,0.312960,3430.92
3,SoA,58,0.313920,3420.43
3,SoA,59,0.313888,3420.78
3,SoA,60,0.311968,3441.83
3,SoA,61,0.314208,3417.29
3,SoA,62,0.313056,3429.87
3,SoA,63,0.316320,3394.48
3,SoA,64,0.312768,3433.03
3,SoA,65,0.311904,3442.54
3,SoA,66,0.313600,3423.92
3,SoA,67,0.312032,3441.12
3,SoA,68,0.313088,3429.52
3,SoA,69,0.312800,3432.68
3,SoA,70,0.311936,3442.18
3,SoA,71,0.313056,3429.87
3,SoA,72,0.311936,3442.18
3,SoA,73,0.312032,3441.12
3,SoA,74,0.312704,3433.73
3,SoA,75,0.313920,3420.43
3,SoA,76,0.312224,3439.01
3,SoA,77,0.311712,3444.66
3,SoA,78,0.312544,3435.49
3,SoA,79,0.313152,3428.82
3,SoA,80,0.311968,3441.83
3,SoA,81,0.312096,3440.42
3,SoA,82,0.312064,3440.77
3,SoA,83,0.313408,3426.02
3,SoA,84,0.314400,3415.21
3,SoA,85,0.312032,3441.12
3,SoA,86,0.314080,3418.69
3,SoA,87,0.313376,3426.37
3,SoA,88,0.311904,3442.54
3,SoA,89,0.312000,3441.48
3,SoA,90,0.312000,3441.48
3,SoA,91,0.312064,3440.77
3,SoA,92,0.312864,3431.97
3,SoA,93,0.312416,3436.89
3,SoA,94,0.315040,3408.27
3,SoA,95,0.314208,3417.29
3,SoA,96,0.313152,3428.82
3,SoA,97,0.313024,3430.22
3,SoA,98,0.313952,3420.08
3,SoA,99,0.312960,3430.92
3,AoSoA-2,0,0.627360,1711.52
3,AoSoA-2,1,0.624704,1718.80
3,AoSoA-2,2,0.622272,1725.52
3,AoSoA-2,3,0.622944,1723.66
3,AoSoA-2,4,0.623104,1723.21
3,AoSoA-2,5,0.625824,1715.72
3,AoSoA-2,6,0.623808,1721.27
3,AoSoA-2,7,0.623360,1722.51
3,AoSoA-2,8,0.623264,1722.77
3,AoSoA-2,9,0.627520,1711.09
3,AoSoA-2,10,0.623232,1722.86
3,AoSoA-2,11,0.625312,1717.13
3,AoSoA-2,12,0.625088,1717.74
3,AoSoA-2,13,0.623424,1722.33
3,AoSoA-2,14,0.625504,1716.60
3,AoSoA-2,15,0.625344,1717.04
3,AoSoA-2,16,0.624448,1719.50
3,AoSoA-2,17,0.623712,1721.53
3,AoSoA-2,18,0.622816,1724.01
3,AoSoA-2,19,0.624288,1719.94
3,AoSoA-2,20,0.624320,1719.86
3,AoSoA-2,21,0.623904,1721.00
3,AoSoA-2,22,0.621600,1727.38
3,AoSoA-2,23,0.622880,1723.83
3,AoSoA-2,24,0.622688,1724.36
3,AoSoA-2,25,0.624032,1720.65
3,AoSoA-2,26,0.622688,1724.36
3,AoSoA-2,27,0.624576,1719.15
3,AoSoA-2,28,0.623456,1722.24
3,AoSoA-2,29,0.623136,1723.12
3,AoSoA-2,30,0.625152,1717.57
3,AoSoA-2,31,0.625440,1716.78
3,AoSoA-2,32,0.622784,1724.10
3,AoSoA-2,33,0.627712,1710.56
3,AoSoA-2,34,0.622208,1725.69
3,AoSoA-2,35,0.626592,1713.62
3,AoSoA-2,36,0.622208,1725.69
3,AoSoA-2,37,0.623168,1723.04
3,AoSoA-2,38,0.623936,1720.91
3,AoSoA-2,39,0.624512,1719.33
3,AoSoA-2,40,0.624032,1720.65
3,AoSoA-2,41,0.622368,1725.25
3,AoSoA-2,42,0.624032,1720.65
3,AoSoA-2,43,0.622656,1724.45
3,AoSoA-2,44,0.622624,1724.54
3,AoSoA-2,45,0.623904,1721.00
3,AoSoA-2,46,0.622912,1723.74
3,AoSoA-2,47,0.623840,1721.18
3,AoSoA-2,48,0.625344,1717.04
3,AoSoA-2,49,0.629056,1706.91
3,AoSoA-2,50,0.623648,1721.71
3,AoSoA-2,51,0.623072,1723.30
3,AoSoA-2,52,0.622720,1724.28
3,AoSoA-2,53,0.622432,1725.07
3,AoSoA-2,54,0.623296,1722.68
3,AoSoA-2,55,0.622464,1724.98
3,AoSoA-2,56,0.623232,1722.86
3,AoSoA-2,57,0.622688,1724.36
3,AoSoA-2,58,0.625440,1716.78
3,AoSoA-2,59,0.623008,1723.48
3,AoSoA-2,60,0.625600,1716.34
3,AoSoA-2,61,0.625568,1716.43
3,AoSoA-2,62,0.623360,1722.51
3,AoSoA-2,63,0.624416,1719.59
3,AoSoA-2,64,0.623808,1721.27
3,AoSoA-2,65,0.624352,1719.77
3,AoSoA-2,66,0.624416,1719.59
3,AoSoA-2,67,0.623136,1723.12
3,AoSoA-2,68,0.622944,1723.66
3,AoSoA-2,69,0.625216,1717.39
3,AoSoA-2,70,0.622080,1726.05
3,AoSoA-2,71,0.622176,1725.78
3,AoSoA-2,72,0.622464,1724.98
3,AoSoA-2,73,0.623776,1721.36
3,AoSoA-2,74,0.625120,1717.66
3,AoSoA-2,75,0.623424,1722.33
3,AoSoA-2,76,0.626240,1714.58
3,AoSoA-2,77,0.623264,1722.77
3,AoSoA-2,78,0.625344,1717.04
3,AoSoA-2,79,0.623072,1723.30
3,AoSoA-2,80,0.624448,1719.50
3,AoSoA-2,81,0.624256,1720.03
3,AoSoA-2,82,0.622816,1724.01
3,AoSoA-2,83,0.622304,1725.43
3,AoSoA-2,84,0.622944,1723.66
3,AoSoA-2,85,0.625792,1715.81
3,AoSoA-2,86,0.626656,1713.45
3,AoSoA-2,87,0.623808,1721.27
3,AoSoA-2,88,0.624832,1718.45
3,AoSoA-2,89,0.624448,1719.50
3,AoSoA-2,90,0.624736,1718.71
3,AoSoA-2,91,0.621984,1726.32
3,AoSoA-2,92,0.623520,1722.06
3,AoSoA-2,93,0.625760,1715.90
3,AoSoA-2,94,0.625472,1716.69
3,AoSoA-2,95,0.624320,1719.86
3,AoSoA-2,96,0.621696,1727.12
3,AoSoA-2,97,0.624736,1718.71
3,AoSoA-2,98,0.627552,1711.00
3,AoSoA-2,99,0.623840,1721.18
3,AoSoA-4,0,0.539648,1989.71
3,AoSoA-4,1,0.535328,2005.76
3,AoSoA-4,2,0.531776,2019.16
3,AoSoA-4,3,0.535136,2006.48
3,AoSoA-4,4,0.529568,2027.58
3,AoSoA-4,5,0.530208,2025.13
3,AoSoA-4,6,0.533472,2012.74
3,AoSoA-4,7,0.530880,2022.57
3,AoSoA-4,8,0.533088,2014.19
3,AoSoA-4,9,0.530912,2022.45
3,AoSoA-4,10,0.532160,2017.70
3,AoSoA-4,11,0.528704,2030.89
3,AoSoA-4,12,0.535072,2006.72
3,AoSoA-4,13,0.528672,2031.02
3,AoSoA-4,14,0.536448,2001.57
3,AoSoA-4,15,0.530368,2024.52
3,AoSoA-4,16,0.531520,2020.13
3,AoSoA-4,17,0.531776,2019.16
3,AoSoA-4,18,0.534656,2008.28
3,AoSoA-4,19,0.528992,2029.79
3,AoSoA-4,20,0.533312,2013.34
3,AoSoA-4,21,0.531936,2018.55
3,AoSoA-4,22,0.533504,2012.62
3,AoSoA-4,23,0.532096,2017.95
3,AoSoA-4,24,0.532288,2017.22
3,AoSoA-4,25,0.533920,2011.05
3,AoSoA-4,26,0.532704,2015.64
3,AoSoA-4,27,0.531840,2018.92
3,AoSoA-4,28,0.529792,2026.72
3,AoSoA-4,29,0.531488,2020.25
3,AoSoA-4,30,0.534272,2009.73
3,AoSoA-4,31,0.532000,2018.31
3,AoSoA-4,32,0.536832,2000.14
3,AoSoA-4,33,0.529504,2027.82
3,AoSoA-4,34,0.532224,2017.46
3,AoSoA-4,35,0.532800,2015.28
3,AoSoA-4,36,0.532832,2015.16
3,AoSoA-4,37,0.531968,2018.43
3,AoSoA-4,38,0.528032,2033.48
3,AoSoA-4,39,0.533536,2012.50
3,AoSoA-4,40,0.532672,2015.76
3,AoSoA-4,41,0.530112,2025.50
3,AoSoA-4,42,0.535104,2006.60
3,AoSoA-4,43,0.532800,2015.28
3,AoSoA-4,44,0.530144,2025.38
3,AoSoA-4,45,0.530336,2024.64
3,AoSoA-4,46,0.532192,2017.58
3,AoSoA-4,47,0.531904,2018.67
3,AoSoA-4,48,0.532416,2016.73
3,AoSoA-4,49,0.534368,2009.37
3,AoSoA-4,50,0.530560,2023.79
3,AoSoA-4,51,0.531616,2019.77
3,AoSoA-4,52,0.535168,2006.36
3,AoSoA-4,53,0.530464,2024.15
3,AoSoA-4,54,0.531584,2019.89
3,AoSoA-4,55,0.533312,2013.34
3,AoSoA-4,56,0.533312,2013.34
3,AoSoA-4,57,0.534144,2010.21
3,AoSoA-4,58,0.533056,2014.31
3,AoSoA-4,59,0.532256,2017.34
3,AoSoA-4,60,0.533248,2013.59
3,AoSoA-4,61,0.531488,2020.25
3,AoSoA-4,62,0.530944,2022.32
3,AoSoA-4,63,0.535520,2005.04
3,AoSoA-4,64,0.529120,2029.30
3,AoSoA-4,65,0.533184,2013.83
3,AoSoA-4,66,0.530336,2024.64
3,AoSoA-4,67,0.533664,2012.02
3,AoSoA-4,68,0.536736,2000.50
3,AoSoA-4,69,0.532480,2016.49
3,AoSoA-4,70,0.534368,2009.37
3,AoSoA-4,71,0.537184,1998.83
3,AoSoA-4,72,0.528736,2030.77
3,AoSoA-4,73,0.535392,2005.52
3,AoSoA-4,74,0.531168,2021.47
3,AoSoA-4,75,0.535072,2006.72
3,AoSoA-4,76,0.531648,2019.65
3,AoSoA-4,77,0.536512,2001.34
3,AoSoA-4,78,0.528928,2030.03
3,AoSoA-4,79,0.534656,2008.28
3,AoSoA-4,80,0.529376,2028.31
3,AoSoA-4,81,0.529472,2027.95
3,AoSoA-4,82,0.532864,2015.04
3,AoSoA-4,83,0.527136,2036.93
3,AoSoA-4,84,0.534752,2007.92
3,AoSoA-4,85,0.531744,2019.28
3,AoSoA-4,86,0.534080,2010.45
3,AoSoA-4,87,0.533952,2010.93
3,AoSoA-4,88,0.529600,2027.46
3,AoSoA-4,89,0.535392,2005.52
3,AoSoA-4,90,0.536320,2002.05
