P,layout,run,ms,gbps
3,AoS,0,4.589081,467.95
3,AoS,1,2.835989,757.22
3,AoS,2,3.288031,653.12
3,AoS,3,8.727789,246.05
3,AoS,4,7.991076,268.73
3,AoS,5,8.420944,255.02
3,AoS,6,2.882957,744.89
3,AoS,7,2.879143,745.87
3,AoS,8,2.861977,750.35
3,AoS,9,2.848148,753.99
3,AoS,10,2.871990,747.73
3,AoS,11,2.852201,752.92
3,AoS,12,2.850056,753.49
3,AoS,13,2.861977,750.35
3,AoS,14,2.861977,750.35
3,AoS,15,2.846003,754.56
3,AoS,16,2.873898,747.23
3,AoS,17,2.908945,738.23
3,AoS,18,2.857924,751.41
3,AoS,19,2.870083,748.23
3,AoS,20,2.857924,751.41
3,AoS,21,2.876043,746.68
3,AoS,22,2.853155,752.67
3,AoS,23,2.867937,748.79
3,AoS,24,2.896070,741.51
3,AoS,25,2.882957,744.89
3,AoS,26,2.856016,751.91
3,AoS,27,2.902031,739.99
3,AoS,28,3.273010,656.12
3,AoS,29,2.859831,750.91
3,AoS,30,2.869844,748.29
3,AoS,31,2.851009,753.23
3,AoS,32,3.830910,560.57
3,AoS,33,2.858162,751.35
3,AoS,34,2.860069,750.85
3,AoS,35,2.883911,744.64
3,AoS,36,16.531944,129.90
3,AoS,37,2.882957,744.89
3,AoS,38,2.880096,745.63
3,AoS,39,2.861977,750.35
3,AoS,40,2.874851,746.99
3,AoS,41,2.881050,745.38
3,AoS,42,2.868891,748.54
3,AoS,43,2.873898,747.23
3,AoS,44,10.562897,203.30
3,AoS,45,2.861977,750.35
3,AoS,46,2.866983,749.04
3,AoS,47,3.016949,711.80
3,AoS,48,2.866030,749.29
3,AoS,49,2.861023,750.60
3,SoA,0,1.442909,1488.30
3,SoA,1,1.461983,1468.88
3,SoA,2,1.450062,1480.95
3,SoA,3,1.476049,1454.88
3,SoA,4,1.434088,1497.45
3,SoA,5,1.428127,1503.70
3,SoA,6,1.418829,1513.55
3,SoA,7,1.485109,1446.00
3,SoA,8,1.430988,1500.69
3,SoA,9,1.461983,1468.88
3,SoA,10,1.466990,1463.87
3,SoA,11,5.975962,359.35
3,SoA,12,1.452923,1478.04
3,SoA,13,1.597881,1343.95
3,SoA,14,1.413107,1519.68
3,SoA,15,1.420975,1511.27
3,SoA,16,1.426935,1504.96
3,SoA,17,1.427174,1504.71
3,SoA,18,1.431942,1499.69
3,SoA,19,1.424074,1507.98
3,SoA,20,1.405954,1527.41
3,SoA,21,1.449823,1481.20
3,SoA,22,1.416922,1515.59
3,SoA,23,1.425982,1505.96
3,SoA,24,1.423120,1508.99
3,SoA,25,1.437902,1493.48
3,SoA,26,1.423120,1508.99
3,SoA,27,1.432896,1498.70
3,SoA,28,1.425028,1506.97
3,SoA,29,1.420021,1512.28
3,SoA,30,1.417875,1514.57
3,SoA,31,1.431227,1500.44
3,SoA,32,1.422167,1510.00
3,SoA,33,1.420975,1511.27
3,SoA,34,6.050825,354.91
3,SoA,35,1.425982,1505.96
3,SoA,36,1.458168,1472.72
3,SoA,37,1.426935,1504.96
3,SoA,38,1.424074,1507.98
3,SoA,39,1.421928,1510.26
3,SoA,40,1.434088,1497.45
3,SoA,41,1.413822,1518.91
3,SoA,42,1.394987,1539.42
3,SoA,43,1.425028,1506.97
3,SoA,44,1.406908,1526.38
3,SoA,45,1.410007,1523.02
3,SoA,46,1.418114,1514.32
3,SoA,47,1.438141,1493.23
3,SoA,48,1.427174,1504.71
3,SoA,49,3.817797,562.49
3,AoSoA-16,0,1.414776,1517.89
3,AoSoA-16,1,1.514196,1418.23
3,AoSoA-16,2,1.533985,1399.93
3,AoSoA-16,3,1.563072,1373.88
3,AoSoA-16,4,1.574993,1363.48
3,AoSoA-16,5,2.096176,1024.47
3,AoSoA-16,6,9.501934,226.00
3,AoSoA-16,7,2.133131,1006.72
3,AoSoA-16,8,1.585960,1354.05
3,AoSoA-16,9,1.569033,1368.66
3,AoSoA-16,10,1.586199,1353.85
3,AoSoA-16,11,1.556873,1379.35
3,AoSoA-16,12,1.594067,1347.17
3,AoSoA-16,13,1.584053,1355.68
3,AoSoA-16,14,1.589060,1351.41
3,AoSoA-16,15,1.575947,1362.66
3,AoSoA-16,16,1.566887,1370.54
3,AoSoA-16,17,1.596928,1344.75
3,AoSoA-16,18,1.569033,1368.66
3,AoSoA-16,19,1.574039,1364.31
3,AoSoA-16,20,1.605034,1337.96
3,AoSoA-16,21,1.559973,1376.61
3,AoSoA-16,22,1.568079,1369.49
3,AoSoA-16,23,2.479076,866.24
3,AoSoA-16,24,1.592159,1348.78
3,AoSoA-16,25,1.564980,1372.21
3,AoSoA-16,26,1.562119,1374.72
3,AoSoA-16,27,1.587152,1353.04
