device,layout,run,ms,gbps
CPU,AoS,0,12.385130,346.78
CPU,AoS,1,14.703035,292.11
CPU,AoS,2,14.461994,296.98
CPU,AoS,3,12.320995,348.59
CPU,AoS,4,12.295008,349.33
CPU,AoS,5,12.351036,347.74
CPU,AoS,6,12.277126,349.83
CPU,AoS,7,13.766050,312.00
CPU,AoS,8,12.305975,349.01
CPU,AoS,9,12.283087,349.67
CPU,AoS,10,13.578892,316.30
CPU,AoS,11,13.267040,323.73
CPU,AoS,12,13.020039,329.87
CPU,AoS,13,12.198925,352.08
CPU,AoS,14,12.212038,351.70
CPU,AoS,15,12.239933,350.90
CPU,AoS,16,12.215137,351.61
CPU,AoS,17,12.887955,333.25
CPU,AoS,18,12.165070,353.06
CPU,AoS,19,12.156010,353.32
CPU,AoS,20,18.522978,231.87
CPU,AoS,21,12.340069,348.05
CPU,AoS,22,12.189865,352.34
CPU,AoS,23,12.122154,354.31
CPU,AoS,24,12.176991,352.71
CPU,AoS,25,12.148142,353.55
CPU,AoS,26,12.161016,353.18
CPU,AoS,27,12.111902,354.61
CPU,AoS,28,12.102127,354.89
CPU,AoS,29,13.978958,307.25
CPU,AoS,30,15.018940,285.97
CPU,AoS,31,12.169123,352.94
CPU,AoS,32,12.277842,349.81
CPU,AoS,33,12.098074,355.01
CPU,AoS,34,12.143135,353.70
CPU,AoS,35,12.088776,355.29
CPU,AoS,36,12.108088,354.72
CPU,AoS,37,12.121916,354.31
CPU,AoS,38,12.101173,354.92
CPU,AoS,39,15.553951,276.13
CPU,AoS,40,13.222933,324.81
CPU,AoS,41,14.329195,299.74
CPU,AoS,42,12.083054,355.45
CPU,AoS,43,12.108803,354.70
CPU,AoS,44,12.085915,355.37
CPU,AoS,45,12.892008,333.15
CPU,AoS,46,12.130022,354.08
CPU,AoS,47,12.082100,355.48
CPU,AoS,48,15.056133,285.26
CPU,AoS,49,12.704849,338.06
CPU,AoS,50,12.125015,354.22
CPU,AoS,51,12.151003,353.47
CPU,AoS,52,12.197971,352.11
CPU,AoS,53,12.094021,355.13
CPU,AoS,54,12.076855,355.64
CPU,AoS,55,12.111187,354.63
CPU,AoS,56,12.044907,356.58
CPU,AoS,57,12.681961,338.67
CPU,AoS,58,14.490128,296.41
CPU,AoS,59,12.487888,343.93
CPU,AoS,60,12.083054,355.45
CPU,AoS,61,12.125015,354.22
CPU,AoS,62,12.133121,353.99
CPU,AoS,63,12.404919,346.23
CPU,AoS,64,12.120962,354.34
CPU,AoS,65,13.952971,307.82
CPU,AoS,66,12.084961,355.40
CPU,AoS,67,15.498877,277.11
CPU,AoS,68,13.776064,311.77
CPU,AoS,69,12.069941,355.84
CPU,AoS,70,12.102127,354.89
CPU,AoS,71,12.124062,354.25
CPU,AoS,72,12.071848,355.78
CPU,AoS,73,13.112068,327.56
CPU,AoS,74,12.077093,355.63
CPU,AoS,75,12.091875,355.19
CPU,AoS,76,13.710022,313.27
CPU,AoS,77,13.574123,316.41
CPU,AoS,78,12.460947,344.67
CPU,AoS,79,13.091087,328.08
CPU,AoS,80,12.050152,356.42
CPU,AoS,81,12.066841,355.93
CPU,AoS,82,12.042999,356.64
CPU,AoS,83,12.064934,355.99
CPU,AoS,84,12.619972,340.33
CPU,AoS,85,13.253927,324.05
CPU,AoS,86,12.026072,357.14
CPU,AoS,87,14.749050,291.20
CPU,AoS,88,12.386084,346.76
CPU,AoS,89,12.045860,356.55
CPU,AoS,90,12.056112,356.25
CPU,AoS,91,13.028145,329.67
CPU,AoS,92,12.061834,356.08
CPU,AoS,93,12.035131,356.87
CPU,AoS,94,12.944937,331.79
CPU,AoS,95,12.853861,334.14
CPU,AoS,96,12.097120,355.04
CPU,AoS,97,14.266968,301.04
CPU,AoS,98,12.035131,356.87
CPU,AoS,99,12.028933,357.05
CPU,SoA,0,8.034945,534.54
CPU,SoA,1,6.294966,682.29
CPU,SoA,2,6.306171,681.07
CPU,SoA,3,6.309986,680.66
CPU,SoA,4,6.294012,682.39
CPU,SoA,5,6.383896,672.78
CPU,SoA,6,6.308079,680.87
CPU,SoA,7,6.291866,682.62
CPU,SoA,8,8.275032,519.03
CPU,SoA,9,6.273985,684.57
CPU,SoA,10,6.258011,686.32
CPU,SoA,11,6.278992,684.02
CPU,SoA,12,6.312132,680.43
CPU,SoA,13,6.258011,686.32
CPU,SoA,14,6.263018,685.77
CPU,SoA,15,6.278992,684.02
CPU,SoA,16,7.226944,594.30
CPU,SoA,17,6.263971,685.66
CPU,SoA,18,6.880999,624.18
CPU,SoA,19,6.531000,657.63
CPU,SoA,20,6.233931,688.97
CPU,SoA,21,7.477045,574.42
