variant,N,TB,SB,MT,threads,med_time_ms,std_time_ms,p5_time_ms,p95_time_ms,min_gbs,med_gbs,max_gbs,pct_peak_bw,status
locbuf_blk_mt_c2_nd,16384,64,8,8,288,1.4665,0.6317,1.4150,1.9447,296.0,1464.3,1539.4,296.1,PASS
locbuf_blk_c2_nd,16384,64,8,8,288,1.4917,0.8194,1.4277,2.8975,255.1,1439.7,1561.9,291.1,PASS
locbuf_blk_mt_c2_nd,16384,64,128,32,288,1.5476,0.7390,1.5019,3.0512,265.3,1387.6,1450.9,280.6,PASS
locbuf_blk_c2_nd,16384,64,128,8,288,1.5820,0.6690,1.5268,2.6168,278.9,1357.4,1422.3,274.4,PASS
locbuf_blk_mt_c2_nd,16384,64,16,16,288,1.6965,0.9755,1.5817,2.7139,254.1,1265.9,1375.8,255.9,PASS
locbuf_blk_c2_nd,16384,64,16,8,288,1.6974,0.4989,1.5867,2.8789,407.8,1265.1,1404.5,255.8,PASS
locbuf_blk_mt_c2_nd,16384,64,32,16,288,1.7517,0.9348,1.6436,2.2380,260.4,1226.0,1348.2,247.9,PASS
locbuf_blk_mt_nd,16384,64,8,8,288,1.7600,0.6689,1.6689,3.0231,289.8,1220.2,1290.6,246.7,PASS
locbuf_blk_c2_nd,16384,64,32,8,288,1.7750,0.6131,1.6949,2.7771,308.8,1209.8,1282.2,244.6,PASS
locbuf_blk_nd,16384,64,8,8,288,1.7805,0.9783,1.6541,2.7894,252.5,1206.1,1319.9,243.9,PASS
locbuf_blk_mt_c2_nd,16384,64,32,32,288,1.7990,0.9619,1.7080,2.8010,261.4,1193.7,1279.1,241.4,PASS
locbuf_blk_mt_c2_nd,16384,64,256,32,288,1.8724,0.9523,1.7695,3.4639,256.1,1146.9,1269.9,231.9,PASS
locbuf_blk_c2_nd,16384,64,256,8,288,1.9255,0.9035,1.7867,2.8925,265.0,1115.3,1229.8,225.5,PASS
locbuf_blk_c2_nd,16384,64,64,8,288,2.0211,0.8907,1.8659,3.3005,272.0,1062.5,1195.7,214.8,PASS
locbuf_blk_mt_c2_nd,16384,64,64,32,288,2.0366,0.7603,1.8819,3.3382,250.5,1054.5,1171.0,213.2,PASS
locbuf_blk_mt_c2_nd,16384,64,512,32,288,2.6575,0.9677,2.4921,3.8376,250.8,808.1,888.8,163.4,PASS
hptt_patient_blk,16384,0,256,0,288,2.6771,0.8831,2.5327,2.9755,241.9,802.2,854.5,162.2,PASS
locbuf_blk_c2_nd,16384,64,512,8,288,2.6875,1.0931,2.5904,4.6278,244.3,799.1,867.7,161.6,PASS
hptt_patient_blk,16384,0,16,0,288,2.8244,1.0760,2.7429,4.0029,236.9,760.3,791.0,153.7,PASS
locbuf_blk_mt_nd,16384,64,16,16,288,2.8571,0.8489,2.7177,3.6422,247.3,751.6,802.6,152.0,PASS
locbuf_blk_nd,16384,64,16,8,288,2.8661,1.0209,2.7078,4.4075,235.1,749.3,820.9,151.5,PASS
hptt_patient_blk,16384,0,128,0,288,2.9141,0.9477,2.6969,4.3462,232.4,736.9,826.0,149.0,PASS
hptt_blk,16384,0,256,0,288,2.9639,0.9007,2.7656,3.9408,235.0,724.6,821.8,146.5,PASS
hptt_blk,16384,0,128,0,288,2.9734,1.0872,2.8820,4.4685,231.5,722.2,756.7,146.0,PASS
hptt_blk,16384,0,64,0,288,3.1170,0.8991,3.0328,4.3633,234.8,689.0,713.5,139.3,PASS
hptt_patient_blk,16384,0,64,0,288,3.1810,1.0923,2.9205,4.9580,226.7,675.1,761.5,136.5,PASS
blk_aligned_mt_c2_nd,16384,64,128,32,288,3.2225,0.9530,3.1338,5.0588,236.3,666.4,690.9,134.7,PASS
