variant,N,BX,BY,TX,TY,SB,PAD,med_time_ms,std_time_ms,min_gbs,med_gbs,max_gbs,pct_peak_bw
naive,16384,32,8,1,8,32,1,4.3787,0.0120,486.2,490.4,493.4,14.4
blocked,16384,32,8,1,8,8,1,4.3598,0.0127,486.2,492.6,496.3,14.5
blocked,16384,32,8,1,8,32,1,4.3856,0.0121,484.6,489.7,492.4,14.4
blocked,16384,32,8,1,8,64,1,4.3625,0.0131,485.6,492.3,495.9,14.5
blocked,16384,32,8,1,8,128,1,4.3633,0.0128,487.4,492.2,494.8,14.5
blocked,16384,32,8,1,8,256,1,4.3313,0.0125,489.2,495.8,498.9,14.6
smem,16384,32,8,1,8,32,1,1.1888,0.0136,1633.0,1806.4,1817.2,53.2
smem_blk,16384,32,8,1,8,8,1,1.1858,0.0072,1715.8,1811.0,1824.7,53.4
smem_blk,16384,32,8,1,8,32,1,1.1860,0.0076,1708.9,1810.6,1820.8,53.3
smem_blk,16384,32,8,1,8,64,1,1.1868,0.0074,1707.1,1809.5,1817.2,53.3
smem_blk,16384,32,8,1,8,128,1,1.1792,0.0072,1725.7,1821.2,1832.0,53.7
smem_blk,16384,32,8,1,8,256,1,1.1831,0.0078,1712.3,1815.1,1826.2,53.5
smem_pad,16384,32,8,1,8,32,1,0.6710,0.0096,2807.1,3200.3,3221.4,94.3
smem_pad_blk,16384,32,8,1,8,32,1,0.6700,0.0096,2823.7,3205.0,3234.2,94.4
naive,16384,32,16,1,8,32,1,4.3818,0.0102,483.8,490.1,492.2,14.4
blocked,16384,32,16,1,8,8,1,4.3666,0.0117,484.3,491.8,495.0,14.5
blocked,16384,32,16,1,8,32,1,4.3681,0.0123,483.6,491.6,493.8,14.5
blocked,16384,32,16,1,8,64,1,4.3913,0.0102,482.6,489.0,491.5,14.4
blocked,16384,32,16,1,8,128,1,4.3622,0.0118,483.7,492.3,495.7,14.5
blocked,16384,32,16,1,8,256,1,4.3486,0.0127,487.3,493.8,497.2,14.5
smem,16384,32,16,1,8,32,1,1.1793,0.0071,1722.3,1820.9,1829.0,53.6
smem_blk,16384,32,16,1,8,8,1,1.1800,0.0067,1728.3,1819.9,1826.6,53.6
smem_blk,16384,32,16,1,8,32,1,1.1863,0.0065,1727.7,1810.2,1816.7,53.3
smem_blk,16384,32,16,1,8,64,1,1.1889,0.0069,1713.6,1806.3,1815.1,53.2
smem_blk,16384,32,16,1,8,128,1,1.1869,0.0074,1709.4,1809.3,1815.7,53.3
smem_blk,16384,32,16,1,8,256,1,1.1897,0.0078,1700.3,1805.1,1813.0,53.2
smem_pad,16384,32,16,1,8,32,1,0.7076,0.0259,2222.7,3034.8,3071.8,89.4
smem_pad_blk,16384,32,16,1,8,32,1,0.7103,0.0061,2814.1,3023.4,3067.3,89.1
naive,16384,32,8,2,4,32,1,4.2568,0.0064,498.5,504.5,505.5,14.9
blocked,16384,32,8,2,4,8,1,4.2657,0.0071,497.4,503.4,504.7,14.8
blocked,16384,32,8,2,4,32,1,4.2570,0.0078,497.5,504.5,505.7,14.9
blocked,16384,32,8,2,4,64,1,4.2700,0.0066,497.0,502.9,504.2,14.8
blocked,16384,32,8,2,4,128,1,4.3014,0.0112,493.3,499.2,501.5,14.7
blocked,16384,32,8,2,4,256,1,4.2806,0.0074,494.8,501.7,503.0,14.8
smem,16384,32,8,2,4,32,1,1.1913,0.0078,1711.0,1802.6,1814.3,53.1
smem_blk,16384,32,8,2,4,8,1,1.1898,0.0073,1722.6,1804.9,1811.7,53.2
smem_blk,16384,32,8,2,4,32,1,1.1888,0.0097,1689.7,1806.4,1816.8,53.2
smem_blk,16384,32,8,2,4,64,1,1.1878,0.0088,1708.8,1807.9,1819.5,53.3
smem_blk,16384,32,8,2,4,128,1,1.1919,0.0088,1698.3,1801.7,1809.8,53.1
smem_blk,16384,32,8,2,4,256,1,1.1893,0.0088,1692.6,1805.7,1815.6,53.2
smem_pad,16384,32,8,2,4,32,1,0.6722,0.0080,2861.9,3194.7,3211.4,94.1
smem_swiz,16384,32,8,2,4,32,1,0.6787,0.0086,2810.0,3164.2,3178.1,93.2
smem_blk_swiz,16384,32,8,2,4,8,1,0.6736,0.0085,2837.7,3188.1,3205.3,93.9
smem_blk_swiz,16384,32,8,2,4,32,1,0.6767,0.0083,2833.6,3173.7,3186.7,93.5
smem_blk_swiz,16384,32,8,2,4,64,1,0.6750,0.0088,2822.2,3181.4,3208.0,93.7
smem_blk_swiz,16384,32,8,2,4,128,1,0.6760,0.0104,2758.7,3176.8,3200.4,93.6
smem_blk_swiz,16384,32,8,2,4,256,1,0.6748,0.0084,2835.3,3182.2,3198.7,93.7
smem_pad_blk,16384,32,8,2,4,32,1,0.6736,0.0082,2847.0,3188.1,3207.1,93.9
naive,16384,32,16,2,4,32,1,4.3434,0.0082,488.4,494.4,496.2,14.6
blocked,16384,32,16,2,4,8,1,4.3199,0.0074,491.0,497.1,498.4,14.6
blocked,16384,32,16,2,4,32,1,4.2952,0.0099,491.0,500.0,501.6,14.7
blocked,16384,32,16,2,4,64,1,4.2946,0.0084,492.6,500.0,501.3,14.7
blocked,16384,32,16,2,4,128,1,4.2735,0.0089,494.2,502.5,503.9,14.8
blocked,16384,32,16,2,4,256,1,4.2539,0.0110,496.7,504.8,507.0,14.9
smem,16384,32,16,2,4,32,1,1.1815,0.0073,1714.8,1817.6,1822.9,53.5
smem_blk,16384,32,16,2,4,8,1,1.1847,0.0064,1728.5,1812.7,1820.1,53.4
smem_blk,16384,32,16,2,4,32,1,1.1812,0.0062,1729.9,1818.1,1822.6,53.6
smem_blk,16384,32,16,2,4,64,1,1.1828,0.0064,1726.2,1815.5,1822.5,53.5
smem_blk,16384,32,16,2,4,128,1,1.1820,0.0061,1729.9,1816.8,1822.9,53.5
smem_blk,16384,32,16,2,4,256,1,1.1823,0.0073,1714.4,1816.4,1821.7,53.5
smem_pad,16384,32,16,2,4,32,1,0.6720,0.0068,2919.7,3195.6,3218.7,94.1
smem_swiz,16384,32,16,2,4,32,1,0.6735,0.0094,2808.7,3188.7,3214.0,93.9
