backend,variant,nlev,N_e,N_c,N_v,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,0,0.212361
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,1,0.193841
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,2,0.192600
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,3,0.195001
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,4,0.193120
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,5,0.192001
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,6,0.194440
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,7,0.193801
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,8,0.192520
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,9,0.190001
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,10,0.193880
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,11,0.189761
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,12,0.189560
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,13,0.189121
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,14,0.188440
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,15,0.190482
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,16,0.190200
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,17,0.192281
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,18,0.187040
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,19,0.193081
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,20,0.221160
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,21,0.221082
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,22,0.248201
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,23,0.213001
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,24,0.193960
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,25,0.212801
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,26,0.191440
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,27,0.190241
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,28,0.216480
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,29,0.192961
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,30,0.192760
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,31,0.191241
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,32,0.191880
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,33,0.190201
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,34,0.191960
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,35,0.190521
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,36,0.194760
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,37,0.217202
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,38,0.194880
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,39,0.192401
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,40,0.191520
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,41,0.194801
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,42,0.193120
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,43,0.195281
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,44,0.193800
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,45,0.188881
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,46,0.194840
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,47,0.211961
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,48,0.194960
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,49,0.195361
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,50,0.192320
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,51,0.192441
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,52,0.287881
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,53,0.196481
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,54,0.191960
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,55,0.218082
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,56,0.192760
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,57,0.192841
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,58,0.196240
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,59,0.193801
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,60,0.192280
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,61,0.193281
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,62,0.192360
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,63,0.195761
gpu,1,90,122880,81920,81920,exact,1x1_256x1,1,1,256,1,64,0.195480
