backend,variant,nlev,N_e,N_c,N_v,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,0,0.258201
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,1,0.243602
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,2,0.323921
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,3,0.242041
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,4,0.239601
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,5,0.234242
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,6,0.235441
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,7,0.237202
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,8,0.234001
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,9,0.237122
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,10,0.233001
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,11,0.233122
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,12,0.233601
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,13,0.231922
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,14,0.231961
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,15,0.233361
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,16,0.233321
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,17,0.233881
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,18,0.233161
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,19,0.235561
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,20,0.235401
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,21,0.233922
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,22,0.236721
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,23,0.233882
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,24,0.233641
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,25,0.235882
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,26,0.234601
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,27,0.236282
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,28,0.235401
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,29,0.237841
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,30,0.236881
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,31,0.242002
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,32,0.235801
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,33,0.235322
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,34,0.234001
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,35,0.234081
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,36,0.238041
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,37,0.234802
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,38,0.237761
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,39,0.233721
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,40,0.236481
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,41,0.236081
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,42,0.235201
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,43,0.313322
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,44,0.238561
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,45,0.233761
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,46,0.235921
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,47,0.236522
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,48,0.235641
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,49,0.237041
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,50,0.237121
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,51,0.236242
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,52,0.236481
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,53,0.236922
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,54,0.235561
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,55,0.235642
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,56,0.236521
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,57,0.236681
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,58,0.236441
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,59,0.236322
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,60,0.236281
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,61,0.235122
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,62,0.237121
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,63,0.236562
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,64,0.236761
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,65,0.235322
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,66,0.234881
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,67,0.236922
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,68,0.238441
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,69,0.237322
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,70,0.236761
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,71,0.236442
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,72,0.236041
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,73,0.232442
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,74,0.236761
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,75,0.236761
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,76,0.238121
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,77,0.233921
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,78,0.236201
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,79,0.237522
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,80,0.235881
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,81,0.236522
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,82,0.235601
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,83,0.235522
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,84,0.238241
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,85,0.237082
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,86,0.237481
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,87,0.240202
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,88,0.237361
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,89,0.235841
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,90,0.238041
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,91,0.237961
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,92,0.237481
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,93,0.235242
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,94,0.238521
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,95,0.239601
