Running on nid005694
Threads: 288
Building GPU (nvcc)
Loading data...

=== GPU SWEEP: variant x tblock x coarsen x unroll ===
variant                            tblock   cf  median_ms ok
gpu_shared_bec_soa_u                   32   16     6.4765 PASS
gpu_optimized_soa                      32   16     7.2379 PASS
gpu_optimized_soa_u                    32   16     5.7107 PASS
gpu_baseline_aos                       64    1     0.7235 PASS
gpu_baseline_aos_u                     64    1     0.7233 PASS
gpu_eigts_t_aos                        64    1     0.7126 PASS
gpu_eigts_t_aos_u                      64    1     0.7129 PASS
gpu_shared_bec_aos                     64    1     0.6822 PASS
gpu_shared_bec_aos_u                   64    1     0.6819 PASS
gpu_optimized_aos                      64    1     1.3753 PASS
gpu_optimized_aos_u                    64    1     1.3756 PASS
gpu_baseline_soa                       64    1     0.6495 PASS
gpu_baseline_soa_u                     64    1     0.6500 PASS
gpu_eigts_t_soa                        64    1     0.6114 PASS
gpu_eigts_t_soa_u                      64    1     0.6116 PASS
gpu_shared_bec_soa                     64    1     0.7190 PASS
gpu_shared_bec_soa_u                   64    1     0.7193 PASS
gpu_optimized_soa                      64    1     2.3006 PASS
gpu_optimized_soa_u                    64    1     2.3010 PASS
gpu_baseline_aos                       64    2     1.4615 PASS
gpu_baseline_aos_u                     64    2     1.2741 PASS
gpu_eigts_t_aos                        64    2     1.3859 PASS
gpu_eigts_t_aos_u                      64    2     1.3805 PASS
gpu_shared_bec_aos                     64    2     1.2274 PASS
gpu_shared_bec_aos_u                   64    2     1.2262 PASS
gpu_optimized_aos                      64    2     1.5408 PASS
gpu_optimized_aos_u                    64    2     1.5358 PASS
gpu_baseline_soa                       64    2     1.2497 PASS
gpu_baseline_soa_u                     64    2     1.4054 PASS
gpu_eigts_t_soa                        64    2     1.2321 PASS
gpu_eigts_t_soa_u                      64    2     1.4974 PASS
gpu_shared_bec_soa                     64    2     1.0001 PASS
gpu_shared_bec_soa_u                   64    2     1.2212 PASS
gpu_optimized_soa                      64    2     2.3630 PASS
gpu_optimized_soa_u                    64    2     2.3711 PASS
gpu_baseline_aos                       64    4     3.0147 PASS
gpu_baseline_aos_u                     64    4     2.7502 PASS
gpu_eigts_t_aos                        64    4     2.8644 PASS
gpu_eigts_t_aos_u                      64    4     2.8964 PASS
gpu_shared_bec_aos                     64    4     2.5275 PASS
gpu_shared_bec_aos_u                   64    4     2.9790 PASS
gpu_optimized_aos                      64    4     2.0231 PASS
gpu_optimized_aos_u                    64    4     1.3867 PASS
gpu_baseline_soa                       64    4     2.5191 PASS
gpu_baseline_soa_u                     64    4     2.9498 PASS
gpu_eigts_t_soa                        64    4     2.5096 PASS
gpu_eigts_t_soa_u                      64    4     2.1998 PASS
gpu_shared_bec_soa                     64    4     2.0123 PASS
gpu_shared_bec_soa_u                   64    4     3.0031 PASS
gpu_optimized_soa                      64    4     2.4713 PASS
gpu_optimized_soa_u                    64    4     1.8169 PASS
gpu_baseline_aos                       64    8     6.1047 PASS
gpu_baseline_aos_u                     64    8     4.9729 PASS
gpu_eigts_t_aos                        64    8     5.7791 PASS
gpu_eigts_t_aos_u                      64    8     5.8810 PASS
gpu_shared_bec_aos                     64    8     5.7172 PASS
gpu_shared_bec_aos_u                   64    8     4.7784 PASS
gpu_optimized_aos                      64    8     3.5987 PASS
gpu_optimized_aos_u                    64    8     2.4514 PASS
gpu_baseline_soa                       64    8     5.2761 PASS
gpu_baseline_soa_u                     64    8     6.4253 PASS
gpu_eigts_t_soa                        64    8     5.2783 PASS
gpu_eigts_t_soa_u                      64    8     4.7448 PASS
gpu_shared_bec_soa                     64    8     4.2035 PASS
gpu_shared_bec_soa_u                   64    8     3.4376 PASS
gpu_optimized_soa                      64    8     4.1514 PASS
gpu_optimized_soa_u                    64    8     3.1430 PASS
gpu_baseline_aos                       64   16    11.6222 PASS
gpu_baseline_aos_u                     64   16     7.3722 PASS
gpu_eigts_t_aos                        64   16    11.0324 PASS
gpu_eigts_t_aos_u                      64   16     9.1332 PASS
gpu_shared_bec_aos                     64   16    10.9121 PASS
gpu_shared_bec_aos_u                   64   16     5.0150 PASS
gpu_optimized_aos                      64   16     7.4672 PASS
gpu_optimized_aos_u                    64   16     7.4917 PASS
gpu_baseline_soa                       64   16    10.7666 PASS
gpu_baseline_soa_u                     64   16    10.7583 PASS
gpu_eigts_t_soa                        64   16    10.7594 PASS
gpu_eigts_t_soa_u                      64   16     8.9110 PASS
gpu_shared_bec_soa                     64   16     8.3617 PASS
gpu_shared_bec_soa_u                   64   16     6.3481 PASS
gpu_optimized_soa                      64   16     8.7251 PASS
gpu_optimized_soa_u                    64   16     6.6925 PASS
gpu_baseline_aos                      128    1     0.7251 PASS
gpu_baseline_aos_u                    128    1     0.7254 PASS
gpu_eigts_t_aos                       128    1     0.7152 PASS
gpu_eigts_t_aos_u                     128    1     0.7150 PASS
gpu_shared_bec_aos                    128    1     0.6845 PASS
gpu_shared_bec_aos_u                  128    1     0.6845 PASS
gpu_optimized_aos                     128    1     1.3834 PASS
gpu_optimized_aos_u                   128    1     1.3852 PASS
gpu_baseline_soa                      128    1     0.6520 PASS
gpu_baseline_soa_u                    128    1     0.6518 PASS
gpu_eigts_t_soa                       128    1     0.6153 PASS
gpu_eigts_t_soa_u                     128    1     0.6158 PASS
gpu_shared_bec_soa                    128    1     0.7240 PASS
gpu_shared_bec_soa_u                  128    1     0.7226 PASS
gpu_optimized_soa                     128    1     2.4463 PASS
gpu_optimized_soa_u                   128    1     2.4469 PASS
gpu_baseline_aos                      128    2     1.4593 PASS
gpu_baseline_aos_u                    128    2     1.2725 PASS
gpu_eigts_t_aos                       128    2     1.3837 PASS
gpu_eigts_t_aos_u                     128    2     1.3767 PASS
gpu_shared_bec_aos                    128    2     1.2322 PASS
gpu_shared_bec_aos_u                  128    2     1.2309 PASS
gpu_optimized_aos                     128    2     1.5317 PASS
gpu_optimized_aos_u                   128    2     1.5259 PASS
gpu_baseline_soa                      128    2     1.2462 PASS
gpu_baseline_soa_u                    128    2     1.4041 PASS
gpu_eigts_t_soa                       128    2     1.2290 PASS
gpu_eigts_t_soa_u                     128    2     1.4935 PASS
gpu_shared_bec_soa                    128    2     1.0011 PASS
gpu_shared_bec_soa_u                  128    2     1.2204 PASS
gpu_optimized_soa                     128    2     2.3014 PASS
gpu_optimized_soa_u                   128    2     2.3086 PASS
gpu_baseline_aos                      128    4     3.0278 PASS
