variant,M,N,tile,nthreads,rep,time_s,bw_gbs,checksum,status
row_major,16384,16384,0,288,0,0.016820724,510.676,2.681670e+09,PASS
row_major,16384,16384,0,288,1,0.018453663,465.487,2.681670e+09,PASS
row_major,16384,16384,0,288,2,0.016457534,521.945,2.681670e+09,PASS
row_major,16384,16384,0,288,3,0.017348452,495.141,2.681670e+09,PASS
row_major,16384,16384,0,288,4,0.017623290,487.419,2.681670e+09,PASS
row_major,16384,16384,0,288,5,0.016353121,525.278,2.681670e+09,PASS
row_major,16384,16384,0,288,6,0.016876786,508.979,2.681670e+09,PASS
row_major,16384,16384,0,288,7,0.017175047,500.140,2.681670e+09,PASS
row_major,16384,16384,0,288,8,0.017749334,483.958,2.681670e+09,PASS
row_major,16384,16384,0,288,9,0.016370850,524.709,2.681670e+09,PASS
row_major,16384,16384,0,288,10,0.016262148,528.216,2.681670e+09,PASS
row_major,16384,16384,0,288,11,0.017420767,493.086,2.681670e+09,PASS
row_major,16384,16384,0,288,12,0.016639353,516.242,2.681670e+09,PASS
row_major,16384,16384,0,288,13,0.016654777,515.764,2.681670e+09,PASS
row_major,16384,16384,0,288,14,0.017960911,478.257,2.681670e+09,PASS
row_major,16384,16384,0,288,15,0.016763892,512.407,2.681670e+09,PASS
row_major,16384,16384,0,288,16,0.016492798,520.829,2.681670e+09,PASS
row_major,16384,16384,0,288,17,0.016612985,517.061,2.681670e+09,PASS
row_major,16384,16384,0,288,18,0.016330786,525.996,2.681670e+09,PASS
row_major,16384,16384,0,288,19,0.017017614,504.767,2.681670e+09,PASS
row_major,16384,16384,0,288,20,0.016574682,518.256,2.681670e+09,PASS
row_major,16384,16384,0,288,21,0.018374499,467.492,2.681670e+09,PASS
row_major,16384,16384,0,288,22,0.016863347,509.385,2.681670e+09,PASS
row_major,16384,16384,0,288,23,0.016769332,512.241,2.681670e+09,PASS
row_major,16384,16384,0,288,24,0.018144681,473.413,2.681670e+09,PASS
row_major,16384,16384,0,288,25,0.016428383,522.872,2.681670e+09,PASS
row_major,16384,16384,0,288,26,0.017304901,496.387,2.681670e+09,PASS
row_major,16384,16384,0,288,27,0.017046156,503.922,2.681670e+09,PASS
row_major,16384,16384,0,288,28,0.019258119,446.042,2.681670e+09,PASS
row_major,16384,16384,0,288,29,0.017002926,505.203,2.681670e+09,PASS
row_major,16384,16384,0,288,30,0.017715383,484.886,2.681670e+09,PASS
row_major,16384,16384,0,288,31,0.016624025,516.718,2.681670e+09,PASS
row_major,16384,16384,0,288,32,0.016565148,518.555,2.681670e+09,PASS
row_major,16384,16384,0,288,33,0.017157640,500.648,2.681670e+09,PASS
row_major,16384,16384,0,288,34,0.019665050,436.812,2.681670e+09,PASS
row_major,16384,16384,0,288,35,0.016424800,522.986,2.681670e+09,PASS
row_major,16384,16384,0,288,36,0.016536380,519.457,2.681670e+09,PASS
row_major,16384,16384,0,288,37,0.016476541,521.343,2.681670e+09,PASS
row_major,16384,16384,0,288,38,0.016456351,521.983,2.681670e+09,PASS
row_major,16384,16384,0,288,39,0.016823604,510.588,2.681670e+09,PASS
row_major,16384,16384,0,288,40,0.016581722,518.036,2.681670e+09,PASS
row_major,16384,16384,0,288,41,0.020013583,429.205,2.681670e+09,PASS
row_major,16384,16384,0,288,42,0.018184233,472.384,2.681670e+09,PASS
row_major,16384,16384,0,288,43,0.017779285,483.143,2.681670e+09,PASS
row_major,16384,16384,0,288,44,0.016474493,521.408,2.681670e+09,PASS
row_major,16384,16384,0,288,45,0.016220422,529.575,2.681670e+09,PASS
row_major,16384,16384,0,288,46,0.017378689,494.280,2.681670e+09,PASS
row_major,16384,16384,0,288,47,0.016611449,517.109,2.681670e+09,PASS
row_major,16384,16384,0,288,48,0.019230313,446.687,2.681670e+09,PASS
row_major,16384,16384,0,288,49,0.017569691,488.906,2.681670e+09,PASS
row_major,16384,16384,0,288,50,0.016938191,507.134,2.681670e+09,PASS
row_major,16384,16384,0,288,51,0.016427615,522.896,2.681670e+09,PASS
row_major,16384,16384,0,288,52,0.016498621,520.646,2.681670e+09,PASS
row_major,16384,16384,0,288,53,0.016807091,511.090,2.681670e+09,PASS
row_major,16384,16384,0,288,54,0.016554203,518.898,2.681670e+09,PASS
row_major,16384,16384,0,288,55,0.016839507,510.106,2.681670e+09,PASS
row_major,16384,16384,0,288,56,0.017461758,491.928,2.681670e+09,PASS
row_major,16384,16384,0,288,57,0.017040141,504.100,2.681670e+09,PASS
row_major,16384,16384,0,288,58,0.016556187,518.835,2.681670e+09,PASS
row_major,16384,16384,0,288,59,0.017539645,489.744,2.681670e+09,PASS
row_major,16384,16384,0,288,60,0.016606905,517.251,2.681670e+09,PASS
row_major,16384,16384,0,288,61,0.016205094,530.076,2.681670e+09,PASS
row_major,16384,16384,0,288,62,0.016278916,527.672,2.681670e+09,PASS
row_major,16384,16384,0,288,63,0.017229862,498.549,2.681670e+09,PASS
row_major,16384,16384,0,288,64,0.017587675,488.406,2.681670e+09,PASS
row_major,16384,16384,0,288,65,0.016381408,524.371,2.681670e+09,PASS
row_major,16384,16384,0,288,66,0.017093450,502.528,2.681670e+09,PASS
row_major,16384,16384,0,288,67,0.019028654,451.421,2.681670e+09,PASS
row_major,16384,16384,0,288,68,0.016674391,515.157,2.681670e+09,PASS
row_major,16384,16384,0,288,69,0.017888881,480.183,2.681670e+09,PASS
row_major,16384,16384,0,288,70,0.016210758,529.891,2.681670e+09,PASS
row_major,16384,16384,0,288,71,0.016801012,511.275,2.681670e+09,PASS
row_major,16384,16384,0,288,72,0.016410751,523.433,2.681670e+09,PASS
row_major,16384,16384,0,288,73,0.016886768,508.678,2.681670e+09,PASS
row_major,16384,16384,0,288,74,0.018641850,460.788,2.681670e+09,PASS
row_major,16384,16384,0,288,75,0.017569307,488.917,2.681670e+09,PASS
row_major,16384,16384,0,288,76,0.016358017,525.121,2.681670e+09,PASS
row_major,16384,16384,0,288,77,0.016301028,526.957,2.681670e+09,PASS
row_major,16384,16384,0,288,78,0.016376352,524.533,2.681670e+09,PASS
row_major,16384,16384,0,288,79,0.016595482,517.607,2.681670e+09,PASS
row_major,16384,16384,0,288,80,0.016435743,522.637,2.681670e+09,PASS
row_major,16384,16384,0,288,81,0.018972496,452.757,2.681670e+09,PASS
row_major,16384,16384,0,288,82,0.016569594,518.416,2.681670e+09,PASS
row_major,16384,16384,0,288,83,0.016353729,525.258,2.681670e+09,PASS
row_major,16384,16384,0,288,84,0.016316163,526.468,2.681670e+09,PASS
row_major,16384,16384,0,288,85,0.016802355,511.234,2.681670e+09,PASS
row_major,16384,16384,0,288,86,0.017969263,478.035,2.681670e+09,PASS
row_major,16384,16384,0,288,87,0.018261382,470.388,2.681670e+09,PASS
row_major,16384,16384,0,288,88,0.017086890,502.721,2.681670e+09,PASS
row_major,16384,16384,0,288,89,0.016101353,533.491,2.681670e+09,PASS
row_major,16384,16384,0,288,90,0.017040589,504.087,2.681670e+09,PASS
row_major,16384,16384,0,288,91,0.016785684,511.742,2.681670e+09,PASS
row_major,16384,16384,0,288,92,0.016774133,512.094,2.681670e+09,PASS
row_major,16384,16384,0,288,93,0.018442785,465.761,2.681670e+09,PASS
row_major,16384,16384,0,288,94,0.016304739,526.837,2.681670e+09,PASS
