n,m,mode,variant,bi,bj,bk,ti,tj,tk,run,time_us
8192,8192,5,openblas,0,0,0,0,0,0,0,803975.42
8192,8192,5,openblas,0,0,0,0,0,0,1,780630.77
8192,8192,5,openblas,0,0,0,0,0,0,2,768466.03
8192,8192,5,openblas,0,0,0,0,0,0,3,745197.67
8192,8192,5,openblas,0,0,0,0,0,0,4,725675.01
8192,8192,5,openblas,0,0,0,0,0,0,5,755137.36
8192,8192,5,openblas,0,0,0,0,0,0,6,712606.24
8192,8192,5,openblas,0,0,0,0,0,0,7,721024.08
8192,8192,5,openblas,0,0,0,0,0,0,8,697736.43
8192,8192,5,openblas,0,0,0,0,0,0,9,715652.54
8192,8192,5,openblas,0,0,0,0,0,0,10,672510.71
8192,8192,5,openblas,0,0,0,0,0,0,11,668793.07
8192,8192,5,openblas,0,0,0,0,0,0,12,670097.70
8192,8192,5,openblas,0,0,0,0,0,0,13,678249.86
8192,8192,5,openblas,0,0,0,0,0,0,14,668339.45
8192,8192,5,openblas,0,0,0,0,0,0,15,665022.31
8192,8192,5,openblas,0,0,0,0,0,0,16,652627.69
8192,8192,5,openblas,0,0,0,0,0,0,17,723494.60
8192,8192,5,openblas,0,0,0,0,0,0,18,724158.74
8192,8192,5,openblas,0,0,0,0,0,0,19,733685.20
8192,8192,5,openblas,0,0,0,0,0,0,20,738742.54
8192,8192,5,openblas,0,0,0,0,0,0,21,735668.53
8192,8192,5,openblas,0,0,0,0,0,0,22,739110.95
8192,8192,5,openblas,0,0,0,0,0,0,23,748090.28
8192,8192,5,openblas,0,0,0,0,0,0,24,763182.71
8192,8192,5,openblas,0,0,0,0,0,0,25,748422.75
8192,8192,5,openblas,0,0,0,0,0,0,26,769603.98
8192,8192,5,openblas,0,0,0,0,0,0,27,808549.58
8192,8192,5,openblas,0,0,0,0,0,0,28,786712.44
8192,8192,5,openblas,0,0,0,0,0,0,29,788977.88
8192,8192,5,openblas,0,0,0,0,0,0,30,773876.14
8192,8192,5,openblas,0,0,0,0,0,0,31,768989.89
8192,8192,5,openblas,0,0,0,0,0,0,32,817362.94
8192,8192,5,openblas,0,0,0,0,0,0,33,814144.10
8192,8192,5,openblas,0,0,0,0,0,0,34,780316.10
8192,8192,5,openblas,0,0,0,0,0,0,35,811354.11
8192,8192,5,openblas,0,0,0,0,0,0,36,782839.67
8192,8192,5,openblas,0,0,0,0,0,0,37,772962.60
8192,8192,5,openblas,0,0,0,0,0,0,38,738757.74
8192,8192,5,openblas,0,0,0,0,0,0,39,722670.31
8192,8192,5,openblas,0,0,0,0,0,0,40,727965.18
8192,8192,5,openblas,0,0,0,0,0,0,41,758910.78
8192,8192,5,openblas,0,0,0,0,0,0,42,730818.05
8192,8192,5,openblas,0,0,0,0,0,0,43,768660.07
8192,8192,5,openblas,0,0,0,0,0,0,44,778067.81
4096,4096,5,openblas,0,0,0,0,0,0,0,74550.22
4096,4096,5,openblas,0,0,0,0,0,0,1,74569.36
4096,4096,5,openblas,0,0,0,0,0,0,2,74467.31
4096,4096,5,openblas,0,0,0,0,0,0,3,75032.32
4096,4096,5,openblas,0,0,0,0,0,0,4,104311.80
4096,4096,5,openblas,0,0,0,0,0,0,5,102173.79
4096,4096,5,openblas,0,0,0,0,0,0,6,102227.33
4096,4096,5,openblas,0,0,0,0,0,0,7,102992.87
4096,4096,1,RRR,0,0,0,0,0,0,0,27291774.75
4096,4096,1,RRR,0,0,0,0,0,0,1,27328049.91
4096,4096,1,RRR,0,0,0,0,0,0,2,27457659.10
4096,4096,1,RRR,0,0,0,0,0,0,3,27369559.77
4096,4096,1,RRR,0,0,0,0,0,0,4,27383455.66
4096,4096,1,RRR,0,0,0,0,0,0,5,27390817.85
4096,4096,1,RRR,0,0,0,0,0,0,6,27426889.03
4096,4096,1,RRR,0,0,0,0,0,0,7,27374200.28
4096,4096,1,RRC,0,0,0,0,0,0,0,26935149.68
4096,4096,1,RRC,0,0,0,0,0,0,1,26843450.67
4096,4096,1,RRC,0,0,0,0,0,0,2,26800080.94
4096,4096,1,RRC,0,0,0,0,0,0,3,26861872.58
4096,4096,1,RRC,0,0,0,0,0,0,4,26924194.28
4096,4096,1,RRC,0,0,0,0,0,0,5,26920700.63
4096,4096,1,RRC,0,0,0,0,0,0,6,26821822.84
4096,4096,1,RRC,0,0,0,0,0,0,7,26813760.52
4096,4096,1,RCR,0,0,0,0,0,0,0,87238369.17
4096,4096,1,RCR,0,0,0,0,0,0,1,87298750.87
4096,4096,1,RCR,0,0,0,0,0,0,2,87372125.86
4096,4096,1,RCR,0,0,0,0,0,0,3,87269767.13
4096,4096,1,RCR,0,0,0,0,0,0,4,87176706.98
4096,4096,1,RCR,0,0,0,0,0,0,5,87384160.72
4096,4096,1,RCR,0,0,0,0,0,0,6,87227733.23
4096,4096,1,RCR,0,0,0,0,0,0,7,173358465.61
4096,4096,1,RCC,0,0,0,0,0,0,0,105200179.68
4096,4096,1,RCC,0,0,0,0,0,0,1,105031783.95
4096,4096,1,RCC,0,0,0,0,0,0,2,105229142.00
4096,4096,1,RCC,0,0,0,0,0,0,3,105231363.98
4096,4096,1,RCC,0,0,0,0,0,0,4,105461273.14
4096,4096,1,RCC,0,0,0,0,0,0,5,105615568.32
4096,4096,1,RCC,0,0,0,0,0,0,6,105153083.23
4096,4096,1,RCC,0,0,0,0,0,0,7,105087338.48
4096,4096,1,CRR,0,0,0,0,0,0,0,85851815.72
4096,4096,1,CRR,0,0,0,0,0,0,1,86185221.62
4096,4096,1,CRR,0,0,0,0,0,0,2,92428909.13
4096,4096,1,CRR,0,0,0,0,0,0,3,164017835.71
4096,4096,1,CRR,0,0,0,0,0,0,4,164549715.74
4096,4096,1,CRR,0,0,0,0,0,0,5,164708933.46
4096,4096,1,CRR,0,0,0,0,0,0,6,168792870.25
4096,4096,1,CRR,0,0,0,0,0,0,7,168942212.38
4096,4096,1,CRC,0,0,0,0,0,0,0,106495932.55
4096,4096,1,CRC,0,0,0,0,0,0,1,106456282.86
4096,4096,1,CRC,0,0,0,0,0,0,2,106456047.83
4096,4096,1,CRC,0,0,0,0,0,0,3,106503954.00
4096,4096,1,CRC,0,0,0,0,0,0,4,106407956.98
4096,4096,1,CRC,0,0,0,0,0,0,5,106330974.59
4096,4096,1,CRC,0,0,0,0,0,0,6,103825929.13
4096,4096,1,CRC,0,0,0,0,0,0,7,103402949.49
4096,4096,1,CCR,0,0,0,0,0,0,0,23978205.35
4096,4096,1,CCR,0,0,0,0,0,0,1,23958873.25
4096,4096,1,CCR,0,0,0,0,0,0,2,23920991.47
4096,4096,1,CCR,0,0,0,0,0,0,3,23933977.68
4096,4096,1,CCR,0,0,0,0,0,0,4,23936227.68
4096,4096,1,CCR,0,0,0,0,0,0,5,24373464.83
4096,4096,1,CCR,0,0,0,0,0,0,6,24578711.03
4096,4096,1,CCR,0,0,0,0,0,0,7,24648544.78
4096,4096,1,CCC,0,0,0,0,0,0,0,67256208.08
4096,4096,1,CCC,0,0,0,0,0,0,1,65746341.79
4096,4096,1,CCC,0,0,0,0,0,0,2,65723877.10
4096,4096,1,CCC,0,0,0,0,0,0,3,68564760.76
4096,4096,1,CCC,0,0,0,0,0,0,4,66931749.11
4096,4096,1,CCC,0,0,0,0,0,0,5,66659591.64
4096,4096,1,CCC,0,0,0,0,0,0,6,66534007.76
4096,4096,1,CCC,0,0,0,0,0,0,7,67090743.18
4096,4096,2,ikj,0,0,0,0,0,0,0,2500319.32
4096,4096,2,ikj,0,0,0,0,0,0,1,2732279.36
4096,4096,2,ikj,0,0,0,0,0,0,2,2614860.38
4096,4096,2,ikj,0,0,0,0,0,0,3,2592737.80
4096,4096,2,ikj,0,0,0,0,0,0,4,2744251.71
4096,4096,2,ikj,0,0,0,0,0,0,5,2580038.35
4096,4096,2,ikj,0,0,0,0,0,0,6,2458806.54
4096,4096,2,ikj,0,0,0,0,0,0,7,2589807.05
4096,4096,2,ijk,0,0,0,0,0,0,0,449792.46
4096,4096,2,ijk,0,0,0,0,0,0,1,461878.29
4096,4096,2,ijk,0,0,0,0,0,0,2,462580.22
4096,4096,2,ijk,0,0,0,0,0,0,3,479095.93
4096,4096,2,ijk,0,0,0,0,0,0,4,465250.25
4096,4096,2,ijk,0,0,0,0,0,0,5,453801.38
4096,4096,2,ijk,0,0,0,0,0,0,6,481684.45
4096,4096,2,ijk,0,0,0,0,0,0,7,467579.32
4096,4096,2,kij,0,0,0,0,0,0,0,2239693.62
4096,4096,2,kij,0,0,0,0,0,0,1,2358571.95
4096,4096,2,kij,0,0,0,0,0,0,2,2225340.82
4096,4096,2,kij,0,0,0,0,0,0,3,2242810.29
4096,4096,2,kij,0,0,0,0,0,0,4,2232880.25
4096,4096,2,kij,0,0,0,0,0,0,5,2256362.57
4096,4096,2,kij,0,0,0,0,0,0,6,2342446.79
4096,4096,2,kij,0,0,0,0,0,0,7,2249862.56
4096,4096,2,kji,0,0,0,0,0,0,0,5376119.45
4096,4096,2,kji,0,0,0,0,0,0,1,5338495.51
4096,4096,2,kji,0,0,0,0,0,0,2,5403100.93
4096,4096,2,kji,0,0,0,0,0,0,3,5285869.90
4096,4096,2,kji,0,0,0,0,0,0,4,5419461.19
4096,4096,2,kji,0,0,0,0,0,0,5,5305622.59
