variant,rep,time_ms
3d-reduce,1,36.097000
3d-reduce,2,36.245000
3d-reduce,3,36.095000
3d-reduce,4,36.556000
3d-reduce,5,36.412000
3d-reduce,6,36.313000
3d-reduce,7,36.212000
3d-reduce,8,36.454000
3d-reduce,9,36.302000
3d-reduce,10,36.132000
3d-reduce,11,36.626000
3d-reduce,12,36.241000
3d-reduce,13,36.440000
3d-reduce,14,36.145000
3d-reduce,15,36.293000
3d-reduce,16,36.511000
3d-reduce,17,36.329000
3d-reduce,18,36.751000
3d-reduce,19,36.112000
3d-reduce,20,36.290000
3d-reduce,21,36.210000
3d-reduce,22,35.830000
3d-reduce,23,36.024000
3d-reduce,24,34.908000
3d-reduce,25,36.219000
3d-reduce,26,36.104000
3d-reduce,27,36.123000
3d-reduce,28,36.422000
3d-reduce,29,36.359000
3d-reduce,30,36.284000
3d-reduce,31,35.566000
3d-reduce,32,36.385000
3d-reduce,33,36.344000
3d-reduce,34,35.827000
3d-reduce,35,36.047000
3d-reduce,36,36.105000
3d-reduce,37,35.729000
3d-reduce,38,36.123000
3d-reduce,39,36.315000
3d-reduce,40,36.296000
3d-reduce,41,36.680000
3d-reduce,42,36.300000
3d-reduce,43,35.967000
3d-reduce,44,36.502000
3d-reduce,45,36.160000
3d-reduce,46,35.910000
3d-reduce,47,36.465000
3d-reduce,48,36.046000
3d-reduce,49,36.182000
3d-reduce,50,36.353000
3d-reduce,51,36.384000
3d-reduce,52,36.334000
3d-reduce,53,36.407000
3d-reduce,54,36.244000
3d-reduce,55,36.401000
3d-reduce,56,36.498000
3d-reduce,57,36.518000
3d-reduce,58,36.295000
3d-reduce,59,36.166000
3d-reduce,60,36.261000
3d-reduce,61,36.081000
3d-reduce,62,35.782000
3d-reduce,63,36.357000
3d-reduce,64,36.259000
3d-reduce,65,36.098000
3d-reduce,66,36.347000
3d-reduce,67,36.334000
3d-reduce,68,36.053000
3d-reduce,69,36.268000
3d-reduce,70,36.196000
3d-reduce,71,36.408000
3d-reduce,72,36.265000
3d-reduce,73,36.420000
3d-reduce,74,36.083000
3d-reduce,75,36.350000
3d-reduce,76,36.403000
3d-reduce,77,35.667000
3d-reduce,78,36.239000
3d-reduce,79,36.154000
3d-reduce,80,36.212000
3d-reduce,81,36.376000
3d-reduce,82,36.223000
3d-reduce,83,36.323000
3d-reduce,84,36.233000
3d-reduce,85,36.303000
3d-reduce,86,36.068000
3d-reduce,87,36.364000
3d-reduce,88,36.161000
3d-reduce,89,36.267000
3d-reduce,90,36.123000
3d-reduce,91,36.344000
3d-reduce,92,36.022000
3d-reduce,93,35.617000
3d-reduce,94,36.402000
3d-reduce,95,36.159000
3d-reduce,96,36.595000
3d-reduce,97,36.228000
3d-reduce,98,36.228000
3d-reduce,99,36.160000
3d-reduce,100,36.433000
