variant,rep,time_ms
split-reduce-gpu,1,6.872000
split-reduce-gpu,2,6.897000
split-reduce-gpu,3,6.899000
split-reduce-gpu,4,6.920000
split-reduce-gpu,5,6.966000
split-reduce-gpu,6,6.904000
split-reduce-gpu,7,6.955000
split-reduce-gpu,8,6.923000
split-reduce-gpu,9,6.831000
split-reduce-gpu,10,6.842000
split-reduce-gpu,11,6.821000
split-reduce-gpu,12,6.957000
split-reduce-gpu,13,7.606000
split-reduce-gpu,14,7.570000
split-reduce-gpu,15,7.576000
split-reduce-gpu,16,7.595000
split-reduce-gpu,17,7.428000
split-reduce-gpu,18,7.324000
split-reduce-gpu,19,7.346000
split-reduce-gpu,20,7.488000
split-reduce-gpu,21,7.528000
split-reduce-gpu,22,7.445000
split-reduce-gpu,23,7.583000
split-reduce-gpu,24,7.554000
split-reduce-gpu,25,7.596000
split-reduce-gpu,26,7.548000
split-reduce-gpu,27,7.597000
split-reduce-gpu,28,7.644000
split-reduce-gpu,29,7.606000
split-reduce-gpu,30,7.626000
split-reduce-gpu,31,7.504000
split-reduce-gpu,32,7.693000
split-reduce-gpu,33,7.636000
split-reduce-gpu,34,7.625000
split-reduce-gpu,35,6.522000
split-reduce-gpu,36,6.593000
split-reduce-gpu,37,6.438000
split-reduce-gpu,38,6.780000
split-reduce-gpu,39,6.515000
split-reduce-gpu,40,6.523000
split-reduce-gpu,41,6.488000
split-reduce-gpu,42,6.657000
split-reduce-gpu,43,6.542000
split-reduce-gpu,44,6.604000
split-reduce-gpu,45,5.989000
split-reduce-gpu,46,6.609000
split-reduce-gpu,47,6.336000
split-reduce-gpu,48,6.733000
split-reduce-gpu,49,7.168000
split-reduce-gpu,50,7.044000
split-reduce-gpu,51,7.211000
split-reduce-gpu,52,7.173000
split-reduce-gpu,53,7.162000
split-reduce-gpu,54,7.213000
split-reduce-gpu,55,7.281000
split-reduce-gpu,56,7.400000
split-reduce-gpu,57,7.350000
split-reduce-gpu,58,7.224000
split-reduce-gpu,59,7.473000
split-reduce-gpu,60,7.435000
split-reduce-gpu,61,7.334000
split-reduce-gpu,62,7.485000
split-reduce-gpu,63,7.219000
split-reduce-gpu,64,7.233000
split-reduce-gpu,65,7.177000
split-reduce-gpu,66,7.053000
split-reduce-gpu,67,7.142000
split-reduce-gpu,68,7.185000
split-reduce-gpu,69,7.195000
split-reduce-gpu,70,7.152000
split-reduce-gpu,71,7.273000
split-reduce-gpu,72,7.252000
split-reduce-gpu,73,7.224000
split-reduce-gpu,74,7.253000
split-reduce-gpu,75,7.222000
split-reduce-gpu,76,7.381000
split-reduce-gpu,77,7.218000
split-reduce-gpu,78,7.090000
split-reduce-gpu,79,7.073000
split-reduce-gpu,80,7.114000
split-reduce-gpu,81,7.033000
split-reduce-gpu,82,7.180000
split-reduce-gpu,83,7.049000
split-reduce-gpu,84,6.902000
split-reduce-gpu,85,7.015000
split-reduce-gpu,86,7.080000
split-reduce-gpu,87,6.974000
split-reduce-gpu,88,7.330000
split-reduce-gpu,89,7.240000
split-reduce-gpu,90,7.269000
split-reduce-gpu,91,7.348000
split-reduce-gpu,92,7.393000
split-reduce-gpu,93,7.445000
split-reduce-gpu,94,7.361000
split-reduce-gpu,95,7.257000
split-reduce-gpu,96,7.291000
split-reduce-gpu,97,7.332000
split-reduce-gpu,98,7.347000
split-reduce-gpu,99,7.405000
split-reduce-gpu,100,7.146000
