variant,rep,time_ms
3d,1,0.192000
3d,2,0.193000
3d,3,0.205000
3d,4,0.224000
3d,5,0.193000
3d,6,0.190000
3d,7,0.192000
3d,8,0.190000
3d,9,0.191000
3d,10,0.190000
3d,11,0.193000
3d,12,0.197000
3d,13,0.185000
3d,14,0.200000
3d,15,0.194000
3d,16,0.193000
3d,17,0.190000
3d,18,0.190000
3d,19,0.192000
3d,20,0.194000
3d,21,0.192000
3d,22,0.194000
3d,23,0.194000
3d,24,0.196000
3d,25,0.189000
3d,26,0.193000
3d,27,0.191000
3d,28,0.189000
3d,29,0.198000
3d,30,0.219000
3d,31,0.191000
3d,32,0.199000
3d,33,0.197000
3d,34,0.193000
3d,35,0.189000
3d,36,0.198000
3d,37,0.196000
3d,38,0.192000
3d,39,0.190000
3d,40,0.188000
3d,41,0.187000
3d,42,0.189000
3d,43,0.192000
3d,44,0.194000
3d,45,0.193000
3d,46,0.190000
3d,47,0.191000
3d,48,0.191000
3d,49,0.192000
3d,50,0.197000
3d,51,0.189000
3d,52,0.197000
3d,53,0.194000
3d,54,0.227000
3d,55,0.191000
3d,56,0.192000
3d,57,0.193000
3d,58,0.190000
3d,59,0.197000
3d,60,0.195000
3d,61,0.200000
3d,62,0.195000
3d,63,0.197000
3d,64,0.194000
3d,65,0.194000
3d,66,0.195000
3d,67,0.196000
3d,68,0.192000
3d,69,0.198000
3d,70,0.191000
3d,71,0.193000
3d,72,0.195000
3d,73,0.193000
3d,74,0.197000
3d,75,0.227000
3d,76,0.194000
3d,77,0.192000
3d,78,0.190000
3d,79,0.192000
3d,80,0.189000
3d,81,0.188000
3d,82,0.195000
3d,83,0.190000
3d,84,0.196000
3d,85,0.194000
3d,86,0.191000
3d,87,0.189000
3d,88,0.190000
3d,89,0.195000
3d,90,0.193000
3d,91,0.194000
3d,92,0.195000
3d,93,0.190000
3d,94,0.197000
3d,95,0.192000
3d,96,0.193000
3d,97,0.191000
3d,98,0.196000
3d,99,0.190000
3d,100,0.202000
