variant,rep,time_ms
3d-gpu,1,0.007000
3d-gpu,2,0.004000
3d-gpu,3,0.005000
3d-gpu,4,0.010000
3d-gpu,5,0.004000
3d-gpu,6,0.005000
3d-gpu,7,0.013000
3d-gpu,8,0.011000
3d-gpu,9,0.010000
3d-gpu,10,0.010000
3d-gpu,11,0.012000
3d-gpu,12,0.006000
3d-gpu,13,0.009000
3d-gpu,14,0.011000
3d-gpu,15,0.005000
3d-gpu,16,0.006000
3d-gpu,17,0.005000
3d-gpu,18,0.006000
3d-gpu,19,0.008000
3d-gpu,20,0.005000
3d-gpu,21,0.005000
3d-gpu,22,0.010000
3d-gpu,23,0.010000
3d-gpu,24,0.012000
3d-gpu,25,0.008000
3d-gpu,26,0.010000
3d-gpu,27,0.010000
3d-gpu,28,0.013000
3d-gpu,29,0.010000
3d-gpu,30,0.007000
3d-gpu,31,0.009000
3d-gpu,32,0.009000
3d-gpu,33,0.010000
3d-gpu,34,0.007000
3d-gpu,35,0.009000
3d-gpu,36,0.008000
3d-gpu,37,0.008000
3d-gpu,38,0.007000
3d-gpu,39,0.011000
3d-gpu,40,0.010000
3d-gpu,41,0.007000
3d-gpu,42,0.007000
3d-gpu,43,0.009000
3d-gpu,44,0.006000
3d-gpu,45,0.009000
3d-gpu,46,0.009000
3d-gpu,47,0.010000
3d-gpu,48,0.011000
3d-gpu,49,0.010000
3d-gpu,50,0.010000
3d-gpu,51,0.011000
3d-gpu,52,0.011000
3d-gpu,53,0.009000
3d-gpu,54,0.066000
3d-gpu,55,0.011000
3d-gpu,56,0.010000
3d-gpu,57,0.008000
3d-gpu,58,0.008000
3d-gpu,59,0.007000
3d-gpu,60,0.011000
3d-gpu,61,0.008000
3d-gpu,62,0.009000
3d-gpu,63,0.010000
3d-gpu,64,0.013000
3d-gpu,65,0.009000
3d-gpu,66,0.010000
3d-gpu,67,0.008000
3d-gpu,68,0.007000
3d-gpu,69,0.009000
3d-gpu,70,0.011000
3d-gpu,71,0.008000
3d-gpu,72,0.008000
3d-gpu,73,0.007000
3d-gpu,74,0.009000
3d-gpu,75,0.008000
3d-gpu,76,0.008000
3d-gpu,77,0.008000
3d-gpu,78,0.009000
3d-gpu,79,0.008000
3d-gpu,80,0.007000
3d-gpu,81,0.009000
3d-gpu,82,0.010000
3d-gpu,83,0.011000
3d-gpu,84,0.007000
3d-gpu,85,0.009000
3d-gpu,86,0.009000
3d-gpu,87,0.010000
3d-gpu,88,0.006000
3d-gpu,89,0.006000
3d-gpu,90,0.008000
3d-gpu,91,0.010000
3d-gpu,92,0.010000
3d-gpu,93,0.009000
3d-gpu,94,0.007000
3d-gpu,95,0.008000
3d-gpu,96,0.007000
3d-gpu,97,0.008000
3d-gpu,98,0.007000
3d-gpu,99,0.008000
3d-gpu,100,0.009000
